zentriert,bilderrahmen-fixed src,hauptlink,hauptlink href,inline-table,zentriert 2,app,zentriert href,goal,assist,rechts,owngoal,period
1,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Abdul Kadir,https://www.transfermarkt.us/abdul-kadir/profil/spieler/894270,Left Winger,0,111,https://www.transfermarkt.us/kadir/nationalmannschaft/spieler/894270,70,11-Aug-67,18 years 07 months 15 days,24-Sep-73,11-Aug-67/24-Sep-73
2,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Iswadi Idris,https://www.transfermarkt.us/iswadi-idris/profil/spieler/892589,Attacking Midfield,0,97,https://www.transfermarkt.us/idris/nationalmannschaft/spieler/892589,55,15-Aug-68,20 years 04 months 28 days,21-Mar-80,15-Aug-68/21-Mar-80
3,https://img.a.transfermarkt.technology/portrait/medium/192480-1721145553.jpeg?lm=1,Bambang Pamungkas,https://www.transfermarkt.us/bambang-pamungkas/profil/spieler/192480,Centre-Forward,44,87,https://www.transfermarkt.us/pamungkas/nationalmannschaft/spieler/192480,38,2-Jul-99,19 years 22 days,15-Nov-11,02-Jul-99/15-Nov-11
4,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Soetjipto Soentoro,https://www.transfermarkt.us/soetjipto-soentoro/profil/spieler/891036,Second Striker,0,61,https://www.transfermarkt.us/soentoro/nationalmannschaft/spieler/891036,37,2-Aug-65,24 years 06 months 17 days,,02-Aug-65/00-Jan-00
5,https://img.a.transfermarkt.technology/portrait/medium/s_253562_38649_2012_12_11_1.jpg?lm=1,Kurniawan Dwi Yulianto,https://www.transfermarkt.us/kurniawan-dwi-yulianto/profil/spieler/253562,Centre-Forward,48,59,https://www.transfermarkt.us/dwi-yulianto/nationalmannschaft/spieler/253562,33,4-Dec-95,19 years 04 months 21 days,29-Mar-05,04-Dec-95/29-Mar-05
6,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Kainun Waskito,https://www.transfermarkt.us/kainun-waskito/profil/spieler/1007590,Striker,76,80,https://www.transfermarkt.us/waskito/nationalmannschaft/spieler/1007590,31,11-Aug-67,18 years 06 months 13 days,3-Sep-74,11-Aug-67/03-Sep-74
7,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Risdianto,https://www.transfermarkt.us/risdianto/profil/spieler/1023708,Centre-Forward,75,59,https://www.transfermarkt.us/risdianto/nationalmannschaft/spieler/1023708,27,23-Aug-71,21 years 07 months 20 days,30-Aug-81,23-Aug-71/30-Aug-81
8,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Jacob Sihasale,https://www.transfermarkt.us/jacob-sihasale/profil/spieler/1023707,Centre-Forward,0,70,https://www.transfermarkt.us/sihasale/nationalmannschaft/spieler/1023707,23,11-Dec-66,22 years 07 months 25 days,24-Sep-73,11-Dec-66/24-Sep-73
9,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Rochy Putiray,https://www.transfermarkt.us/rochy-putiray/profil/spieler/891037,Centre-Forward,54,41,https://www.transfermarkt.us/putiray/nationalmannschaft/spieler/891037,17,26-Nov-91,21 years 05 months 00 days,25-Jul-04,26-Nov-91/25-Jul-04
10,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Budi Sudarsono,https://www.transfermarkt.us/budi-sudarsono/profil/spieler/201691,Centre-Forward,45,46,https://www.transfermarkt.us/sudarsono/nationalmannschaft/spieler/201691,16,7-Apr-01,21 years 06 months 19 days,3-Mar-10,07-Apr-01/03-Mar-10
