zentriert,bilderrahmen-fixed src,hauptlink,hauptlink href,inline-table,zentriert 2,app,zentriert href,goal,assist,rechts,owngoal,period
26,https://img.a.transfermarkt.technology/portrait/medium/177775-1625839380.jpg?lm=1,Mitchell Duke,https://www.transfermarkt.us/mitchell-duke/profil/spieler/177775,Centre-Forward,34,45,https://www.transfermarkt.us/duke/nationalmannschaft/spieler/177775,12,20-Jul-13,22 years 06 months 02 days,14-Nov-24,20-Jul-13/14-Nov-24
27,https://img.a.transfermarkt.technology/portrait/medium/192557-1723631725.jpeg?lm=1,Jackson Irvine,https://www.transfermarkt.us/jackson-irvine/profil/spieler/192557,Central Midfield,32,76,https://www.transfermarkt.us/irvine/nationalmannschaft/spieler/192557,11,15-Oct-13,20 years 07 months 08 days,19-Nov-24,15-Oct-13/19-Nov-24
78,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Dave Harding,https://www.transfermarkt.us/dave-harding/profil/spieler/143082,Midfielder,28,45,https://www.transfermarkt.us/harding/nationalmannschaft/spieler/143082,11,,?,13-Nov-77,00-Jan-00/13-Nov-77
49,https://img.a.transfermarkt.technology/portrait/medium/3242-1590497020.jpg?lm=1,Mark Viduka,https://www.transfermarkt.us/mark-viduka/profil/spieler/3242,Centre-Forward,29,43,https://www.transfermarkt.us/viduka/nationalmannschaft/spieler/3242,11,8-Jun-94,18 years 07 months 30 days,21-Jul-07,08-Jun-94/21-Jul-07
30,https://img.a.transfermarkt.technology/portrait/medium/298091-1669819322.jpg?lm=1,Harry Souttar,https://www.transfermarkt.us/harry-souttar/profil/spieler/298091,Centre-Back,26,36,https://www.transfermarkt.us/souttar/nationalmannschaft/spieler/298091,11,10-Oct-19,20 years 11 months 18 days,19-Nov-24,10-Oct-19/19-Nov-24
62,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Dave Mitchell,https://www.transfermarkt.us/dave-mitchell/profil/spieler/110321,Centre-Forward,31,29,https://www.transfermarkt.us/mitchell/nationalmannschaft/spieler/110321,11,,?,31-Oct-93,00-Jan-00/31-Oct-93
53,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Kris Trajanovski,https://www.transfermarkt.us/kris-trajanovski/profil/spieler/202162,Centre-Forward,32,16,https://www.transfermarkt.us/trajanovski/nationalmannschaft/spieler/202162,11,21-Sep-96,24 years 07 months 02 days,4-Oct-98,21-Sep-96/04-Oct-98
32,https://img.a.transfermarkt.technology/portrait/medium/213672-1497545136.jpg?lm=1,Tom Rogic,https://www.transfermarkt.us/tom-rogic/profil/spieler/213672,Attacking Midfield,33,53,https://www.transfermarkt.us/rogic/nationalmannschaft/spieler/213672,10,14-Nov-12,19 years 10 months 29 days,1-Feb-22,14-Nov-12/01-Feb-22
51,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Kevin Muscat,https://www.transfermarkt.us/kevin-muscat/profil/spieler/9409,Centre-Back,34,52,https://www.transfermarkt.us/muscat/nationalmannschaft/spieler/9409,10,24-Sep-94,21 years 01 month 17 days,16-Aug-06,24-Sep-94/16-Aug-06
49,https://img.a.transfermarkt.technology/portrait/medium/s_545_123_2013_05_23_1.jpg?lm=1,Paul Agostino,https://www.transfermarkt.us/paul-agostino/profil/spieler/545,Centre-Forward,35,19,https://www.transfermarkt.us/agostino/nationalmannschaft/spieler/545,10,,?,10-Feb-05,00-Jan-00/10-Feb-05
