profile_url,name,jersey_name,full_name,date_of_birth,,place_of_birth,,,,
https://www.transfermarkt.us/tim-cahill/profil/spieler/13556,Tim Cahill,Cahill,Timothy Filiga Cahill,6-Dec-79,,Sydney,,,,
https://www.transfermarkt.us/damian-mori/profil/spieler/17299,Damian Mori,Mori,,30-Sep-70,,Melbourne,,,,
https://www.transfermarkt.us/george-smith/profil/spieler/604920,George Smith,Smith,,,,,,,,
https://www.transfermarkt.us/archie-thompson/profil/spieler/13148,Archie Thompson,Thompson,Archibald Gerald Thompson,23-Oct-78,,Otorohanga,,,,
https://www.transfermarkt.us/john-aloisi/profil/spieler/7741,John Aloisi,Aloisi,,5-Feb-76,,Adelaide,,,,
https://www.transfermarkt.us/attila-abonyi/profil/spieler/143076,Attila Abonyi,Abonyi,,16-Aug-46,,Budapest,,,,
https://www.transfermarkt.us/john-kosmina/profil/spieler/437022,John Kosmina,Kosmina,Alexander John Kosmina,17-Aug-56,,Adelaide,,,,
https://www.transfermarkt.us/david-zdrilic/profil/spieler/462,David Zdrilic,Zdrilic,David Allen Zdrilic,13-Apr-74,,Sydney,,,,
https://www.transfermarkt.us/brett-emerton/profil/spieler/4367,Brett Emerton,Emerton,Brett Michael Emerton,22-Feb-79,,Sydney,,,,
https://www.transfermarkt.us/mile-jedinak/profil/spieler/28336,Mile Jedinak,Jedinak,Michael John Jedinak,3-Aug-84,,Sydney,,,,
https://www.transfermarkt.us/gary-cole/profil/spieler/625726,Gary Cole,Cole,,5-Feb-56,,,,,,
https://www.transfermarkt.us/joshua-kennedy/profil/spieler/701,Joshua Kennedy,Kennedy,Joshua Blake Kennedy,20-Aug-82,,Wodonga,,,,
https://www.transfermarkt.us/graham-arnold/profil/spieler/158582,Graham Arnold,Arnold,Graham James Arnold,3-Aug-63,,Sydney,,,,
https://www.transfermarkt.us/aurelio-vidmar/profil/spieler/129623,Aurelio Vidmar,Vidmar,,3-Feb-67,,Adelaide,,,,
https://www.transfermarkt.us/harry-kewell/profil/spieler/3241,Harry Kewell,Kewell,Harold Kewell,22-Sep-78,,"Smithfield, Sydney",,,,
https://www.transfermarkt.us/ray-baartz/profil/spieler/176272,Ray Baartz,Baartz,Raymond Henry Baartz,6-Mar-47,,Newcastle,,,,
https://www.transfermarkt.us/eddie-krncevic/profil/spieler/114167,Eddie Krncevic,Krncevic,Edward Krncevic,14-Aug-60,,Geelong,,,,
https://www.transfermarkt.us/mathew-leckie/profil/spieler/126214,Mathew Leckie,Leckie,Mathew Allan Leckie,,,Melbourne,,,,
https://www.transfermarkt.us/frank-farina/profil/spieler/129611,Frank Farina,Farina,,5-Sep-64,,Darwin,,,,
https://www.transfermarkt.us/judy-masters/profil/spieler/604224,Judy Masters,Masters,James William Masters,"May 21, 1892",,Balgownie,,,,
https://www.transfermarkt.us/frank-parsons/profil/spieler/612957,Frank Parsons,Parsons,,,,,,,,
https://www.transfermarkt.us/mark-bresciano/profil/spieler/5867,Mark Bresciano,Bresciano,,11-Feb-80,,Melbourne,,,,
https://www.transfermarkt.us/paul-trimboli/profil/spieler/201886,Paul Trimboli,Trimboli,,25-Feb-69,,Melbourne,,,,
