Date,Match,Result,Score,Competition
23 Aug 1986,Arsenal v Manchester United,L,1-0,League Division One
25 Aug 1986,Manchester United v West Ham United,L,2-3,League Division One
30 Aug 1986,Manchester United v Charlton Athletic,L,0-1,League Division One
06 Sep 1986,Leicester City v Manchester United,D,1-1,League Division One
13 Sep 1986,Manchester United v Southampton,W,5-1,League Division One
16 Sep 1986,Watford v Manchester United,L,1-0,League Division One
21 Sep 1986,Everton v Manchester United,L,3-1,League Division One
24 Sep 1986,Manchester United v Port Vale,W,2-0,League Cup
28 Sep 1986,Manchester United v Chelsea,L,0-1,League Division One
04 Oct 1986,Nottingham Forest v Manchester United,D,1-1,League Division One
07 Oct 1986,Port Vale v Manchester United,W,2-5Agg: 2-7,League Cup
11 Oct 1986,Manchester United v Sheffield Wednesday,W,3-1,League Division One
18 Oct 1986,Manchester United v Luton Town,W,1-0,League Division One
26 Oct 1986,Manchester City v Manchester United,D,1-1,League Division One
29 Oct 1986,Manchester United v Southampton,D,0-0,League Cup
01 Nov 1986,Manchester United v Coventry City,D,1-1,League Division One
04 Nov 1986,Southampton v Manchester United,L,4-1,League Cup
08 Nov 1986,Oxford United v Manchester United,L,2-0,League Division One
15 Nov 1986,Norwich City v Manchester United,D,0-0,League Division One
22 Nov 1986,Manchester United v Queens Park Rangers,W,1-0,League Division One
29 Nov 1986,Wimbledon v Manchester United,L,1-0,League Division One
07 Dec 1986,Manchester United v Tottenham Hotspur,D,3-3,League Division One
13 Dec 1986,Aston Villa v Manchester United,D,3-3,League Division One
20 Dec 1986,Manchester United v Leicester City,W,2-0,League Division One
26 Dec 1986,Liverpool v Manchester United,W,0-1,League Division One
27 Dec 1986,Manchester United v Norwich City,L,0-1,League Division One
01 Jan 1987,Manchester United v Newcastle United,W,4-1,League Division One
03 Jan 1987,Southampton v Manchester United,D,1-1,League Division One
10 Jan 1987,Manchester United v Manchester City,W,1-0,FA Cup
24 Jan 1987,Manchester United v Arsenal,W,2-0,League Division One
31 Jan 1987,Manchester United v Coventry City,L,0-1,FA Cup
07 Feb 1987,Charlton Athletic v Manchester United,D,0-0,League Division One
14 Feb 1987,Manchester United v Watford,W,3-1,League Division One
21 Feb 1987,Chelsea v Manchester United,D,1-1,League Division One
28 Feb 1987,Manchester United v Everton,D,0-0,League Division One
07 Mar 1987,Manchester United v Manchester City,W,2-0,League Division One
14 Mar 1987,Luton Town v Manchester United,L,2-1,League Division One
21 Mar 1987,Sheffield Wednesday v Manchester United,L,1-0,League Division One
28 Mar 1987,Manchester United v Nottingham Forest,W,2-0,League Division One
04 Apr 1987,Manchester United v Oxford United,W,3-2,League Division One
14 Apr 1987,West Ham United v Manchester United,D,0-0,League Division One
18 Apr 1987,Newcastle United v Manchester United,L,2-1,League Division One
20 Apr 1987,Manchester United v Liverpool,W,1-0,League Division One
25 Apr 1987,Queens Park Rangers v Manchester United,D,1-1,League Division One
02 May 1987,Manchester United v Wimbledon,L,0-1,League Division One
04 May 1987,Tottenham Hotspur v Manchester United,L,4-0,League Division One
06 May 1987,Coventry City v Manchester United,D,1-1,League Division One
09 May 1987,Manchester United v Aston Villa,W,3-1,League Division One
