Date,Match,Result,Score,Competition
07 Aug 2022,Manchester United v Brighton and Hove Albion,L,1-2,Premier League
13 Aug 2022,Brentford v Manchester United,L,4-0,Premier League
22 Aug 2022,Manchester United v Liverpool,W,2-1,Premier League
27 Aug 2022,Southampton v Manchester United,W,0-1,Premier League
01 Sep 2022,Leicester City v Manchester United,W,0-1,Premier League
04 Sep 2022,Manchester United v Arsenal,W,3-1,Premier League
08 Sep 2022,Manchester United v Real Sociedad,L,0-1,UEFA Europa League
15 Sep 2022,FC Sheriff Tiraspol v Manchester United,W,0-2,UEFA Europa League
02 Oct 2022,Manchester City v Manchester United,L,6-3,Premier League
06 Oct 2022,Omonia Nicosia v Manchester United,W,2-3,UEFA Europa League
09 Oct 2022,Everton v Manchester United,W,1-2,Premier League
13 Oct 2022,Manchester United v Omonia Nicosia,W,1-0,UEFA Europa League
16 Oct 2022,Manchester United v Newcastle United,D,0-0,Premier League
19 Oct 2022,Manchester United v Tottenham Hotspur,W,2-0,Premier League
22 Oct 2022,Chelsea v Manchester United,D,1-1,Premier League
27 Oct 2022,Manchester United v FC Sheriff Tiraspol,W,3-0,UEFA Europa League
30 Oct 2022,Manchester United v West Ham United,W,1-0,Premier League
03 Nov 2022,Real Sociedad v Manchester United,W,0-1,UEFA Europa League
06 Nov 2022,Aston Villa v Manchester United,L,3-1,Premier League
10 Nov 2022,Manchester United v Aston Villa,W,4-2,League Cup
13 Nov 2022,Fulham v Manchester United,W,1-2,Premier League
21 Dec 2022,Manchester United v Burnley,W,2-0,League Cup
27 Dec 2022,Manchester United v Nottingham Forest,W,3-0,Premier League
31 Dec 2022,Wolverhampton Wanderers v Manchester United,W,0-1,Premier League
03 Jan 2023,Manchester United v AFC Bournemouth,W,3-0,Premier League
06 Jan 2023,Manchester United v Everton,W,3-1,FA Cup
10 Jan 2023,Manchester United v Charlton Athletic,W,3-0,League Cup
14 Jan 2023,Manchester United v Manchester City,W,2-1,Premier League
18 Jan 2023,Crystal Palace v Manchester United,D,1-1,Premier League
22 Jan 2023,Arsenal v Manchester United,L,3-2,Premier League
25 Jan 2023,Nottingham Forest v Manchester United,W,0-3,League Cup
28 Jan 2023,Manchester United v Reading,W,3-1,FA Cup
01 Feb 2023,Manchester United v Nottingham Forest,W,2-0,League Cup
04 Feb 2023,Manchester United v Crystal Palace,W,2-1,Premier League
08 Feb 2023,Manchester United v Leeds United,D,2-2,Premier League
12 Feb 2023,Leeds United v Manchester United,W,0-2,Premier League
16 Feb 2023,Barcelona v Manchester United,D,2-2,UEFA Europa League
19 Feb 2023,Manchester United v Leicester City,W,3-0,Premier League
23 Feb 2023,Manchester United v Barcelona,W,2-1,UEFA Europa League
26 Feb 2023,Manchester United v Newcastle United,W,2-0,League Cup
01 Mar 2023,Manchester United v West Ham United,W,3-1,FA Cup
05 Mar 2023,Liverpool v Manchester United,L,7-0,Premier League
09 Mar 2023,Manchester United v Real Betis,W,4-1,UEFA Europa League
12 Mar 2023,Manchester United v Southampton,D,0-0,Premier League
16 Mar 2023,Real Betis v Manchester United,W,0-1,UEFA Europa League
19 Mar 2023,Manchester United v Fulham,W,3-1,FA Cup
02 Apr 2023,Newcastle United v Manchester United,L,2-0,Premier League
05 Apr 2023,Manchester United v Brentford,W,1-0,Premier League
08 Apr 2023,Manchester United v Everton,W,2-0,Premier League
13 Apr 2023,Manchester United v Sevilla,D,2-2,UEFA Europa League
16 Apr 2023,Nottingham Forest v Manchester United,W,0-2,Premier League
20 Apr 2023,Sevilla v Manchester United,L,3-0,UEFA Europa League
23 Apr 2023,Brighton and Hove Albion v Manchester United,W,0-0 (6-7),FA Cup
27 Apr 2023,Tottenham Hotspur v Manchester United,D,2-2,Premier League
30 Apr 2023,Manchester United v Aston Villa,W,1-0,Premier League
04 May 2023,Brighton and Hove Albion v Manchester United,L,1-0,Premier League
07 May 2023,West Ham United v Manchester United,L,1-0,Premier League
13 May 2023,Manchester United v Wolverhampton Wanderers,W,2-0,Premier League
20 May 2023,AFC Bournemouth v Manchester United,W,0-1,Premier League
25 May 2023,Manchester United v Chelsea,W,4-1,Premier League
28 May 2023,Manchester United v Fulham,W,2-1,Premier League
03 Jun 2023,Manchester City v Manchester United,L,2-1,FA Cup
