Date,Match,Result,Score,Competition
30 Aug 1924,Manchester United v Leicester City,W,1-0,League Division Two
01 Sep 1924,Stockport County v Manchester United,L,2-1,League Division Two
06 Sep 1924,Stoke v Manchester United,D,0-0,League Division Two
08 Sep 1924,Manchester United v Barnsley,W,1-0,League Division Two
13 Sep 1924,Manchester United v Coventry City,W,5-1,League Division Two
20 Sep 1924,Oldham Athletic v Manchester United,W,0-3,League Division Two
27 Sep 1924,Manchester United v Sheffield Wednesday,W,2-0,League Division Two
04 Oct 1924,Leyton Orient v Manchester United,W,0-1,League Division Two
11 Oct 1924,Manchester United v Crystal Palace,W,1-0,League Division Two
18 Oct 1924,Southampton v Manchester United,W,0-2,League Division Two
25 Oct 1924,Wolverhampton Wanderers v Manchester United,D,0-0,League Division Two
01 Nov 1924,Manchester United v Fulham,W,2-0,League Division Two
08 Nov 1924,Portsmouth v Manchester United,D,1-1,League Division Two
15 Nov 1924,Manchester United v Hull City,W,2-0,League Division Two
22 Nov 1924,Blackpool v Manchester United,D,1-1,League Division Two
29 Nov 1924,Manchester United v Derby County,D,1-1,League Division Two
06 Dec 1924,South Shields AFC v Manchester United,W,1-2,League Division Two
13 Dec 1924,Manchester United v Bradford City,W,3-0,League Division Two
20 Dec 1924,Port Vale v Manchester United,L,2-1,League Division Two
25 Dec 1924,Middlesbrough v Manchester United,D,1-1,League Division Two
26 Dec 1924,Manchester United v Middlesbrough,W,2-0,League Division Two
27 Dec 1924,Leicester City v Manchester United,L,3-0,League Division Two
01 Jan 1925,Manchester United v Chelsea,W,1-0,League Division Two
03 Jan 1925,Manchester United v Stoke,W,2-0,League Division Two
10 Jan 1925,Sheffield Wednesday v Manchester United,L,2-0,FA Cup
17 Jan 1925,Coventry City v Manchester United,L,1-0,League Division Two
24 Jan 1925,Manchester United v Oldham Athletic,L,0-1,League Division Two
07 Feb 1925,Manchester United v Leyton Orient,W,4-2,League Division Two
14 Feb 1925,Crystal Palace v Manchester United,L,2-1,League Division Two
23 Feb 1925,Sheffield Wednesday v Manchester United,D,1-1,League Division Two
28 Feb 1925,Manchester United v Wolverhampton Wanderers,W,3-0,League Division Two
07 Mar 1925,Fulham v Manchester United,L,1-0,League Division Two
14 Mar 1925,Manchester United v Portsmouth,W,2-0,League Division Two
21 Mar 1925,Hull City v Manchester United,W,0-1,League Division Two
28 Mar 1925,Manchester United v Blackpool,D,0-0,League Division Two
04 Apr 1925,Derby County v Manchester United,L,1-0,League Division Two
10 Apr 1925,Manchester United v Stockport County,W,2-0,League Division Two
11 Apr 1925,Manchester United v South Shields AFC,W,1-0,League Division Two
13 Apr 1925,Chelsea v Manchester United,D,0-0,League Division Two
18 Apr 1925,Bradford City v Manchester United,W,0-1,League Division Two
22 Apr 1925,Manchester United v Southampton,D,1-1,League Division Two
25 Apr 1925,Manchester United v Port Vale,W,4-0,League Division Two
02 May 1925,Barnsley v Manchester United,D,0-0,League Division Two
