Date,Match,Result,Score,Competition
05 Sep 1903,Manchester United v Bristol City,D,2-2,League Division Two
07 Sep 1903,Burnley v Manchester United,L,2-0,League Division Two
12 Sep 1903,Port Vale v Manchester United,L,1-0,League Division Two
19 Sep 1903,Glossop North End v Manchester United,W,0-5,League Division Two
26 Sep 1903,Manchester United v Bradford City,W,3-1,League Division Two
03 Oct 1903,Woolwich Arsenal v Manchester United,L,4-0,League Division Two
10 Oct 1903,Manchester United v Barnsley,W,4-0,League Division Two
17 Oct 1903,Lincoln City v Manchester United,D,0-0,League Division Two
24 Oct 1903,Manchester United v Stockport County,W,3-1,League Division Two
07 Nov 1903,Manchester United v Bolton Wanderers,D,0-0,League Division Two
21 Nov 1903,Manchester United v Preston North End,L,0-2,League Division Two
12 Dec 1903,Manchester United v Small Heath,D,1-1,FA Cup
16 Dec 1903,Small Heath v Manchester United,D,1-1,FA Cup
19 Dec 1903,Manchester United v Gainsborough Trinity,W,4-2,League Division Two
21 Dec 1903,Small Heath v Manchester United,D,1-1,FA Cup
25 Dec 1903,Manchester United v Chesterfield Town,W,3-1,League Division Two
26 Dec 1903,Burton United v Manchester United,D,2-2,League Division Two
02 Jan 1904,Bristol City v Manchester United,D,1-1,League Division Two
09 Jan 1904,Manchester United v Port Vale,W,2-0,League Division Two
11 Jan 1904,Small Heath v Manchester United,W,1-3,FA Cup
16 Jan 1904,Manchester United v Glossop North End,W,3-1,League Division Two
23 Jan 1904,Bradford City v Manchester United,D,3-3,League Division Two
30 Jan 1904,Manchester United v Woolwich Arsenal,W,1-0,League Division Two
06 Feb 1904,Notts County v Manchester United,D,3-3,FA Cup
10 Feb 1904,Manchester United v Notts County,W,2-1,FA Cup
13 Feb 1904,Manchester United v Lincoln City,W,2-0,League Division Two
20 Feb 1904,Sheffield Wednesday v Manchester United,L,6-0,FA Cup
09 Mar 1904,Blackpool v Manchester United,L,2-1,League Division Two
12 Mar 1904,Manchester United v Burnley,W,3-1,League Division Two
19 Mar 1904,Preston North End v Manchester United,D,1-1,League Division Two
26 Mar 1904,Manchester United v Grimsby Town,W,2-0,League Division Two
28 Mar 1904,Stockport County v Manchester United,W,0-3,League Division Two
01 Apr 1904,Chesterfield Town v Manchester United,W,0-2,League Division Two
02 Apr 1904,Leicester City v Manchester United,W,0-1,League Division Two
05 Apr 1904,Barnsley v Manchester United,W,0-2,League Division Two
09 Apr 1904,Manchester United v Blackpool,W,3-1,League Division Two
12 Apr 1904,Grimsby Town v Manchester United,L,3-1,League Division Two
16 Apr 1904,Gainsborough Trinity v Manchester United,W,0-1,League Division Two
23 Apr 1904,Manchester United v Burton United,W,2-0,League Division Two
25 Apr 1904,Bolton Wanderers v Manchester United,D,0-0,League Division Two
30 Apr 1904,Manchester United v Leicester City,W,5-2,League Division Two
