Date,Match,Result,Score,Competition
19 Aug 1995,Aston Villa v Manchester United,L,3-1,Premier League
23 Aug 1995,Manchester United v West Ham United,W,2-1,Premier League
26 Aug 1995,Manchester United v Wimbledon,W,3-1,Premier League
28 Aug 1995,Blackburn Rovers v Manchester United,W,1-2,Premier League
09 Sep 1995,Everton v Manchester United,W,2-3,Premier League
12 Sep 1995,Rotor Volgograd v Manchester United,D,0-0,UEFA Cup
16 Sep 1995,Manchester United v Bolton Wanderers,W,3-0,Premier League
20 Sep 1995,Manchester United v York City,L,0-3,League Cup
23 Sep 1995,Sheffield Wednesday v Manchester United,D,0-0,Premier League
26 Sep 1995,Manchester United v Rotor Volgograd,D,2-2Agg: 2-2,UEFA Cup
01 Oct 1995,Manchester United v Liverpool,D,2-2,Premier League
03 Oct 1995,York City v Manchester United,W,1-3Agg: 4-3,League Cup
14 Oct 1995,Manchester United v Manchester City,W,1-0,Premier League
21 Oct 1995,Chelsea v Manchester United,W,1-4,Premier League
28 Oct 1995,Manchester United v Middlesbrough,W,2-0,Premier League
04 Nov 1995,Arsenal v Manchester United,L,1-0,Premier League
18 Nov 1995,Manchester United v Southampton,W,4-1,Premier League
22 Nov 1995,Coventry City v Manchester United,W,0-4,Premier League
27 Nov 1995,Nottingham Forest v Manchester United,D,1-1,Premier League
02 Dec 1995,Manchester United v Chelsea,D,1-1,Premier League
09 Dec 1995,Manchester United v Sheffield Wednesday,D,2-2,Premier League
17 Dec 1995,Liverpool v Manchester United,L,2-0,Premier League
24 Dec 1995,Leeds United v Manchester United,L,3-1,Premier League
27 Dec 1995,Manchester United v Newcastle United,W,2-0,Premier League
30 Dec 1995,Manchester United v Queens Park Rangers,W,2-1,Premier League
01 Jan 1996,Tottenham Hotspur v Manchester United,L,4-1,Premier League
06 Jan 1996,Manchester United v Sunderland,D,2-2,FA Cup
13 Jan 1996,Manchester United v Aston Villa,D,0-0,Premier League
16 Jan 1996,Sunderland v Manchester United,W,1-2,FA Cup
22 Jan 1996,West Ham United v Manchester United,W,0-1,Premier League
27 Jan 1996,Reading v Manchester United,W,0-3,FA Cup
03 Feb 1996,Wimbledon v Manchester United,W,2-4,Premier League
10 Feb 1996,Manchester United v Blackburn Rovers,W,1-0,Premier League
18 Feb 1996,Manchester United v Manchester City,W,2-1,FA Cup
21 Feb 1996,Manchester United v Everton,W,2-0,Premier League
25 Feb 1996,Bolton Wanderers v Manchester United,W,0-6,Premier League
04 Mar 1996,Newcastle United v Manchester United,W,0-1,Premier League
11 Mar 1996,Manchester United v Southampton,W,2-0,FA Cup
16 Mar 1996,Queens Park Rangers v Manchester United,D,1-1,Premier League
20 Mar 1996,Manchester United v Arsenal,W,1-0,Premier League
24 Mar 1996,Manchester United v Tottenham Hotspur,W,1-0,Premier League
31 Mar 1996,Manchester United v Chelsea,W,2-1,FA Cup
06 Apr 1996,Manchester City v Manchester United,W,2-3,Premier League
08 Apr 1996,Manchester United v Coventry City,W,1-0,Premier League
13 Apr 1996,Southampton v Manchester United,L,3-1,Premier League
17 Apr 1996,Manchester United v Leeds United,W,1-0,Premier League
28 Apr 1996,Manchester United v Nottingham Forest,W,5-0,Premier League
05 May 1996,Middlesbrough v Manchester United,W,0-3,Premier League
11 May 1996,Manchester United v Liverpool,W,1-0,FA Cup
