Date,Match,Result,Score,Competition
21 Aug 1954,Manchester United v Portsmouth,L,1-3,League Division One
23 Aug 1954,Sheffield Wednesday v Manchester United,W,2-4,League Division One
28 Aug 1954,Blackpool v Manchester United,W,2-4,League Division One
01 Sep 1954,Manchester United v Sheffield Wednesday,W,2-0,League Division One
04 Sep 1954,Manchester United v Charlton Athletic,W,3-1,League Division One
08 Sep 1954,Tottenham Hotspur v Manchester United,W,0-2,League Division One
11 Sep 1954,Bolton Wanderers v Manchester United,D,1-1,League Division One
15 Sep 1954,Manchester United v Tottenham Hotspur,W,2-1,League Division One
18 Sep 1954,Manchester United v Huddersfield Town,D,1-1,League Division One
25 Sep 1954,Manchester City v Manchester United,L,3-2,League Division One
02 Oct 1954,Wolverhampton Wanderers v Manchester United,L,4-2,League Division One
09 Oct 1954,Manchester United v Cardiff City,W,5-2,League Division One
16 Oct 1954,Chelsea v Manchester United,W,5-6,League Division One
23 Oct 1954,Manchester United v Newcastle United,D,2-2,League Division One
30 Oct 1954,Everton v Manchester United,L,4-2,League Division One
06 Nov 1954,Manchester United v Preston North End,W,2-1,League Division One
13 Nov 1954,Sheffield United v Manchester United,L,3-0,League Division One
20 Nov 1954,Manchester United v Arsenal,W,2-1,League Division One
27 Nov 1954,West Bromwich Albion v Manchester United,L,2-0,League Division One
04 Dec 1954,Manchester United v Leicester City,W,3-1,League Division One
11 Dec 1954,Burnley v Manchester United,W,2-4,League Division One
18 Dec 1954,Portsmouth v Manchester United,D,0-0,League Division One
27 Dec 1954,Manchester United v Aston Villa,L,0-1,League Division One
28 Dec 1954,Aston Villa v Manchester United,L,2-1,League Division One
01 Jan 1955,Manchester United v Blackpool,W,4-1,League Division One
08 Jan 1955,Reading v Manchester United,D,1-1,FA Cup
12 Jan 1955,Manchester United v Reading,W,4-1,FA Cup
22 Jan 1955,Manchester United v Bolton Wanderers,D,1-1,League Division One
29 Jan 1955,Manchester City v Manchester United,L,2-0,FA Cup
05 Feb 1955,Huddersfield Town v Manchester United,W,1-3,League Division One
12 Feb 1955,Manchester United v Manchester City,L,0-5,League Division One
23 Feb 1955,Manchester United v Wolverhampton Wanderers,L,2-4,League Division One
26 Feb 1955,Cardiff City v Manchester United,L,3-0,League Division One
05 Mar 1955,Manchester United v Burnley,W,1-0,League Division One
19 Mar 1955,Manchester United v Everton,L,1-2,League Division One
26 Mar 1955,Preston North End v Manchester United,W,0-2,League Division One
02 Apr 1955,Manchester United v Sheffield United,W,5-0,League Division One
08 Apr 1955,Sunderland v Manchester United,L,4-3,League Division One
09 Apr 1955,Leicester City v Manchester United,L,1-0,League Division One
11 Apr 1955,Manchester United v Sunderland,D,2-2,League Division One
16 Apr 1955,Manchester United v West Bromwich Albion,W,3-0,League Division One
18 Apr 1955,Newcastle United v Manchester United,L,2-0,League Division One
23 Apr 1955,Arsenal v Manchester United,W,2-3,League Division One
26 Apr 1955,Charlton Athletic v Manchester United,D,1-1,League Division One
30 Apr 1955,Manchester United v Chelsea,W,2-1,League Division One
