Date,Match,Result,Score,Competition
28 Aug 1926,Liverpool v Manchester United,L,4-2,League Division One
30 Aug 1926,Sheffield United v Manchester United,D,2-2,League Division One
04 Sep 1926,Manchester United v Leeds United,D,2-2,League Division One
11 Sep 1926,Newcastle United v Manchester United,L,4-2,League Division One
15 Sep 1926,Manchester United v Arsenal,D,2-2,League Division One
18 Sep 1926,Manchester United v Burnley,W,2-1,League Division One
25 Sep 1926,Cardiff City v Manchester United,W,0-2,League Division One
02 Oct 1926,Manchester United v Aston Villa,W,2-1,League Division One
09 Oct 1926,Bolton Wanderers v Manchester United,L,4-0,League Division One
16 Oct 1926,Bury v Manchester United,W,0-3,League Division One
23 Oct 1926,Manchester United v Birmingham City,L,0-1,League Division One
30 Oct 1926,West Ham United v Manchester United,L,4-0,League Division One
06 Nov 1926,Manchester United v Sheffield Wednesday,D,0-0,League Division One
13 Nov 1926,Leicester City v Manchester United,W,2-3,League Division One
20 Nov 1926,Manchester United v Everton,W,2-1,League Division One
27 Nov 1926,Blackburn Rovers v Manchester United,L,2-1,League Division One
04 Dec 1926,Manchester United v Huddersfield Town,D,0-0,League Division One
11 Dec 1926,Sunderland v Manchester United,L,6-0,League Division One
18 Dec 1926,Manchester United v West Bromwich Albion,W,2-0,League Division One
25 Dec 1926,Tottenham Hotspur v Manchester United,D,1-1,League Division One
27 Dec 1926,Manchester United v Tottenham Hotspur,W,2-1,League Division One
28 Dec 1926,Arsenal v Manchester United,L,1-0,League Division One
01 Jan 1927,Manchester United v Sheffield United,W,5-0,League Division One
08 Jan 1927,Reading v Manchester United,D,1-1,FA Cup
12 Jan 1927,Manchester United v Reading,D,2-2,FA Cup
15 Jan 1927,Manchester United v Liverpool,L,0-1,League Division One
17 Jan 1927,Reading v Manchester United,L,2-1,FA Cup
22 Jan 1927,Leeds United v Manchester United,W,2-3,League Division One
05 Feb 1927,Burnley v Manchester United,L,1-0,League Division One
09 Feb 1927,Manchester United v Newcastle United,W,3-1,League Division One
12 Feb 1927,Manchester United v Cardiff City,D,1-1,League Division One
19 Feb 1927,Aston Villa v Manchester United,L,2-0,League Division One
26 Feb 1927,Manchester United v Bolton Wanderers,D,0-0,League Division One
05 Mar 1927,Manchester United v Bury,L,1-2,League Division One
12 Mar 1927,Birmingham City v Manchester United,L,4-0,League Division One
19 Mar 1927,Manchester United v West Ham United,L,0-3,League Division One
26 Mar 1927,Sheffield Wednesday v Manchester United,L,2-0,League Division One
02 Apr 1927,Manchester United v Leicester City,W,1-0,League Division One
09 Apr 1927,Everton v Manchester United,D,0-0,League Division One
15 Apr 1927,Manchester United v Derby County,D,2-2,League Division One
16 Apr 1927,Manchester United v Blackburn Rovers,W,2-0,League Division One
18 Apr 1927,Derby County v Manchester United,D,2-2,League Division One
23 Apr 1927,Huddersfield Town v Manchester United,D,0-0,League Division One
30 Apr 1927,Manchester United v Sunderland,D,0-0,League Division One
07 May 1927,West Bromwich Albion v Manchester United,D,2-2,League Division One
