Date,Match,Result,Score,Competition
18 Aug 1990,Liverpool v Manchester United,D,1-1,FA Charity Shield
25 Aug 1990,Manchester United v Coventry City,W,2-0,League Division One
28 Aug 1990,Leeds United v Manchester United,D,0-0,League Division One
01 Sep 1990,Sunderland v Manchester United,L,2-1,League Division One
04 Sep 1990,Luton Town v Manchester United,W,0-1,League Division One
08 Sep 1990,Manchester United v Queens Park Rangers,W,3-1,League Division One
16 Sep 1990,Liverpool v Manchester United,L,4-0,League Division One
19 Sep 1990,Manchester United v Pecsi MFC,W,2-0,UEFA European Cup Winners Cup
22 Sep 1990,Manchester United v Southampton,W,3-2,League Division One
26 Sep 1990,Halifax Town v Manchester United,W,1-3,League Cup
29 Sep 1990,Manchester United v Nottingham Forest,L,0-1,League Division One
03 Oct 1990,Pecsi MFC v Manchester United,W,0-1Agg: 0-3,UEFA European Cup Winners Cup
10 Oct 1990,Manchester United v Halifax Town,W,2-1Agg: 5-2,League Cup
20 Oct 1990,Manchester United v Arsenal,L,0-1,League Division One
23 Oct 1990,Manchester United v Wrexham,W,3-0,UEFA European Cup Winners Cup
27 Oct 1990,Manchester City v Manchester United,D,3-3,League Division One
31 Oct 1990,Manchester United v Liverpool,W,3-1,League Cup
03 Nov 1990,Manchester United v Crystal Palace,W,2-0,League Division One
07 Nov 1990,Wrexham v Manchester United,W,0-2Agg: 0-5,UEFA European Cup Winners Cup
10 Nov 1990,Derby County v Manchester United,D,0-0,League Division One
17 Nov 1990,Manchester United v Sheffield United,W,2-0,League Division One
25 Nov 1990,Manchester United v Chelsea,L,2-3,League Division One
28 Nov 1990,Arsenal v Manchester United,W,2-6,League Cup
01 Dec 1990,Everton v Manchester United,W,0-1,League Division One
08 Dec 1990,Manchester United v Leeds United,D,1-1,League Division One
15 Dec 1990,Coventry City v Manchester United,D,2-2,League Division One
22 Dec 1990,Wimbledon v Manchester United,W,1-3,League Division One
26 Dec 1990,Manchester United v Norwich City,W,3-0,League Division One
29 Dec 1990,Manchester United v Aston Villa,D,1-1,League Division One
01 Jan 1991,Tottenham Hotspur v Manchester United,W,1-2,League Division One
07 Jan 1991,Manchester United v Queens Park Rangers,W,2-1,FA Cup
12 Jan 1991,Manchester United v Sunderland,W,3-0,League Division One
16 Jan 1991,Southampton v Manchester United,D,1-1,League Cup
19 Jan 1991,Queens Park Rangers v Manchester United,D,1-1,League Division One
23 Jan 1991,Manchester United v Southampton,W,3-2,League Cup
26 Jan 1991,Manchester United v Bolton Wanderers,W,1-0,FA Cup
03 Feb 1991,Manchester United v Liverpool,D,1-1,League Division One
10 Feb 1991,Manchester United v Leeds United,W,2-1,League Cup
18 Feb 1991,Norwich City v Manchester United,L,2-1,FA Cup
24 Feb 1991,Leeds United v Manchester United,W,0-1Agg: 1-3,League Cup
26 Feb 1991,Sheffield United v Manchester United,L,2-1,League Division One
02 Mar 1991,Manchester United v Everton,L,0-2,League Division One
06 Mar 1991,Manchester United v Montpellier,D,1-1,UEFA European Cup Winners Cup
09 Mar 1991,Chelsea v Manchester United,L,3-2,League Division One
13 Mar 1991,Southampton v Manchester United,D,1-1,League Division One
16 Mar 1991,Nottingham Forest v Manchester United,D,1-1,League Division One
19 Mar 1991,Montpellier v Manchester United,W,0-2Agg: 1-3,UEFA European Cup Winners Cup
23 Mar 1991,Manchester United v Luton Town,W,4-1,League Division One
30 Mar 1991,Norwich City v Manchester United,W,0-3,League Division One
02 Apr 1991,Manchester United v Wimbledon,W,2-1,League Division One
06 Apr 1991,Aston Villa v Manchester United,D,1-1,League Division One
10 Apr 1991,Legia Warszawa v Manchester United,W,1-3,UEFA European Cup Winners Cup
16 Apr 1991,Manchester United v Derby County,W,3-1,League Division One
21 Apr 1991,Manchester United v Sheffield Wednesday,L,0-1,League Cup
24 Apr 1991,Manchester United v Legia Warszawa,D,1-1Agg: 4-2,UEFA European Cup Winners Cup
04 May 1991,Manchester United v Manchester City,W,1-0,League Division One
06 May 1991,Arsenal v Manchester United,L,3-1,League Division One
11 May 1991,Crystal Palace v Manchester United,L,3-0,League Division One
15 May 1991,Barcelona v Manchester United,W,1-2,UEFA European Cup Winners Cup
20 May 1991,Manchester United v Tottenham Hotspur,D,1-1,League Division One
