Date,Match,Result,Score,Competition
02 Sep 1911,Manchester City v Manchester United,D,0-0,League Division One
09 Sep 1911,Manchester United v Everton,W,2-1,League Division One
16 Sep 1911,West Bromwich Albion v Manchester United,L,1-0,League Division One
23 Sep 1911,Manchester United v Sunderland,D,2-2,League Division One
25 Sep 1911,Manchester United v Swindon Town,W,8-4,FA Charity Shield
30 Sep 1911,Blackburn Rovers v Manchester United,D,2-2,League Division One
07 Oct 1911,Manchester United v Sheffield Wednesday,W,3-1,League Division One
14 Oct 1911,Bury v Manchester United,W,0-1,League Division One
21 Oct 1911,Manchester United v Middlesbrough,L,3-4,League Division One
28 Oct 1911,Notts County v Manchester United,W,0-1,League Division One
04 Nov 1911,Manchester United v Tottenham Hotspur,L,1-2,League Division One
11 Nov 1911,Manchester United v Preston North End,D,0-0,League Division One
18 Nov 1911,Liverpool v Manchester United,L,3-2,League Division One
25 Nov 1911,Manchester United v Aston Villa,W,3-1,League Division One
02 Dec 1911,Newcastle United v Manchester United,W,2-3,League Division One
09 Dec 1911,Manchester United v Sheffield United,W,1-0,League Division One
16 Dec 1911,Oldham Athletic v Manchester United,D,2-2,League Division One
23 Dec 1911,Manchester United v Bolton Wanderers,W,2-0,League Division One
25 Dec 1911,Manchester United v Bradford City,L,0-1,League Division One
26 Dec 1911,Bradford City v Manchester United,W,0-1,League Division One
30 Dec 1911,Manchester United v Manchester City,D,0-0,League Division One
01 Jan 1912,Manchester United v Woolwich Arsenal,W,2-0,League Division One
06 Jan 1912,Everton v Manchester United,L,4-0,League Division One
13 Jan 1912,Manchester United v Huddersfield Town,W,3-1,FA Cup
20 Jan 1912,Manchester United v West Bromwich Albion,L,1-2,League Division One
27 Jan 1912,Sunderland v Manchester United,L,5-0,League Division One
03 Feb 1912,Coventry City v Manchester United,W,1-5,FA Cup
10 Feb 1912,Sheffield Wednesday v Manchester United,L,3-0,League Division One
17 Feb 1912,Manchester United v Bury,D,0-0,League Division One
24 Feb 1912,Reading v Manchester United,D,1-1,FA Cup
29 Feb 1912,Manchester United v Reading,W,3-0,FA Cup
02 Mar 1912,Manchester United v Notts County,W,2-0,League Division One
09 Mar 1912,Manchester United v Blackburn Rovers,D,1-1,FA Cup
14 Mar 1912,Blackburn Rovers v Manchester United,L,4-2,FA Cup
16 Mar 1912,Preston North End v Manchester United,D,0-0,League Division One
23 Mar 1912,Manchester United v Liverpool,D,1-1,League Division One
30 Mar 1912,Aston Villa v Manchester United,L,6-0,League Division One
05 Apr 1912,Woolwich Arsenal v Manchester United,L,2-1,League Division One
06 Apr 1912,Manchester United v Newcastle United,L,0-2,League Division One
09 Apr 1912,Tottenham Hotspur v Manchester United,D,1-1,League Division One
13 Apr 1912,Sheffield United v Manchester United,L,6-1,League Division One
17 Apr 1912,Middlesbrough v Manchester United,L,3-0,League Division One
20 Apr 1912,Manchester United v Oldham Athletic,W,3-1,League Division One
27 Apr 1912,Bolton Wanderers v Manchester United,D,1-1,League Division One
29 Apr 1912,Manchester United v Blackburn Rovers,W,3-1,League Division One
