Date,Match,Result,Score,Competition
20 Aug 1966,Manchester United v West Bromwich Albion,W,5-3,League Division One
23 Aug 1966,Everton v Manchester United,W,1-2,League Division One
27 Aug 1966,Leeds United v Manchester United,L,3-1,League Division One
31 Aug 1966,Manchester United v Everton,W,3-0,League Division One
03 Sep 1966,Manchester United v Newcastle United,W,3-2,League Division One
07 Sep 1966,Stoke City v Manchester United,L,3-0,League Division One
10 Sep 1966,Tottenham Hotspur v Manchester United,L,2-1,League Division One
14 Sep 1966,Blackpool v Manchester United,L,5-1,League Cup
17 Sep 1966,Manchester United v Manchester City,W,1-0,League Division One
24 Sep 1966,Manchester United v Burnley,W,4-1,League Division One
01 Oct 1966,Nottingham Forest v Manchester United,L,4-1,League Division One
08 Oct 1966,Blackpool v Manchester United,W,1-2,League Division One
15 Oct 1966,Manchester United v Chelsea,D,1-1,League Division One
29 Oct 1966,Manchester United v Arsenal,W,1-0,League Division One
05 Nov 1966,Chelsea v Manchester United,W,1-3,League Division One
12 Nov 1966,Manchester United v Sheffield Wednesday,W,2-0,League Division One
19 Nov 1966,Southampton v Manchester United,W,1-2,League Division One
26 Nov 1966,Manchester United v Sunderland,W,5-0,League Division One
30 Nov 1966,Leicester City v Manchester United,W,1-2,League Division One
03 Dec 1966,Aston Villa v Manchester United,L,2-1,League Division One
10 Dec 1966,Manchester United v Liverpool,D,2-2,League Division One
17 Dec 1966,West Bromwich Albion v Manchester United,W,3-4,League Division One
26 Dec 1966,Sheffield United v Manchester United,L,2-1,League Division One
27 Dec 1966,Manchester United v Sheffield United,W,2-0,League Division One
31 Dec 1966,Manchester United v Leeds United,D,0-0,League Division One
14 Jan 1967,Manchester United v Tottenham Hotspur,W,1-0,League Division One
21 Jan 1967,Manchester City v Manchester United,D,1-1,League Division One
28 Jan 1967,Manchester United v Stoke City,W,2-0,FA Cup
04 Feb 1967,Burnley v Manchester United,D,1-1,League Division One
11 Feb 1967,Manchester United v Nottingham Forest,W,1-0,League Division One
18 Feb 1967,Manchester United v Norwich City,L,1-2,FA Cup
25 Feb 1967,Manchester United v Blackpool,W,4-0,League Division One
03 Mar 1967,Arsenal v Manchester United,D,1-1,League Division One
11 Mar 1967,Newcastle United v Manchester United,D,0-0,League Division One
18 Mar 1967,Manchester United v Leicester City,W,5-2,League Division One
25 Mar 1967,Liverpool v Manchester United,D,0-0,League Division One
27 Mar 1967,Fulham v Manchester United,D,2-2,League Division One
28 Mar 1967,Manchester United v Fulham,W,2-1,League Division One
01 Apr 1967,Manchester United v West Ham United,W,3-0,League Division One
10 Apr 1967,Sheffield Wednesday v Manchester United,D,2-2,League Division One
18 Apr 1967,Manchester United v Southampton,W,3-0,League Division One
22 Apr 1967,Sunderland v Manchester United,D,0-0,League Division One
29 Apr 1967,Manchester United v Aston Villa,W,3-1,League Division One
06 May 1967,West Ham United v Manchester United,W,1-6,League Division One
13 May 1967,Manchester United v Stoke City,D,0-0,League Division One
