Date,Match,Result,Score,Competition
21 Aug 1948,Manchester United v Derby County,L,1-2,League Division One
23 Aug 1948,Blackpool v Manchester United,W,0-3,League Division One
28 Aug 1948,Arsenal v Manchester United,W,0-1,League Division One
01 Sep 1948,Manchester United v Blackpool,L,3-4,League Division One
04 Sep 1948,Manchester United v Huddersfield Town,W,4-1,League Division One
08 Sep 1948,Wolverhampton Wanderers v Manchester United,L,3-2,League Division One
11 Sep 1948,Manchester City v Manchester United,D,0-0,League Division One
15 Sep 1948,Manchester United v Wolverhampton Wanderers,W,2-0,League Division One
18 Sep 1948,Sheffield United v Manchester United,D,2-2,League Division One
25 Sep 1948,Manchester United v Aston Villa,W,3-1,League Division One
02 Oct 1948,Sunderland v Manchester United,L,2-1,League Division One
06 Oct 1948,Arsenal v Manchester United,L,4-3,FA Charity Shield
09 Oct 1948,Manchester United v Charlton Athletic,D,1-1,League Division One
16 Oct 1948,Stoke City v Manchester United,L,2-1,League Division One
23 Oct 1948,Manchester United v Burnley,D,1-1,League Division One
30 Oct 1948,Preston North End v Manchester United,W,1-6,League Division One
06 Nov 1948,Manchester United v Everton,W,2-0,League Division One
13 Nov 1948,Chelsea v Manchester United,D,1-1,League Division One
20 Nov 1948,Manchester United v Birmingham City,W,3-0,League Division One
27 Nov 1948,Middlesbrough v Manchester United,W,1-4,League Division One
04 Dec 1948,Manchester United v Newcastle United,D,1-1,League Division One
11 Dec 1948,Portsmouth v Manchester United,D,2-2,League Division One
18 Dec 1948,Derby County v Manchester United,W,1-3,League Division One
25 Dec 1948,Manchester United v Liverpool,D,0-0,League Division One
27 Dec 1948,Liverpool v Manchester United,W,0-2,League Division One
01 Jan 1949,Manchester United v Arsenal,W,2-0,League Division One
08 Jan 1949,Manchester United v Bournemouth and Boscombe Athletic,W,6-0,FA Cup
22 Jan 1949,Manchester United v Manchester City,D,0-0,League Division One
29 Jan 1949,Manchester United v Bradford Park Avenue,D,1-1,FA Cup
05 Feb 1949,Bradford Park Avenue v Manchester United,D,1-1,FA Cup
07 Feb 1949,Manchester United v Bradford Park Avenue,W,5-0,FA Cup
12 Feb 1949,Manchester United v Yeovil Town,W,8-0,FA Cup
19 Feb 1949,Aston Villa v Manchester United,L,2-1,League Division One
26 Feb 1949,Hull City v Manchester United,W,0-1,FA Cup
05 Mar 1949,Charlton Athletic v Manchester United,W,2-3,League Division One
12 Mar 1949,Manchester United v Stoke City,W,3-0,League Division One
19 Mar 1949,Birmingham City v Manchester United,L,1-0,League Division One
26 Mar 1949,Manchester United v Wolverhampton Wanderers,D,1-1,FA Cup
02 Apr 1949,Wolverhampton Wanderers v Manchester United,L,1-0,FA Cup
06 Apr 1949,Huddersfield Town v Manchester United,L,2-1,League Division One
09 Apr 1949,Manchester United v Chelsea,D,1-1,League Division One
15 Apr 1949,Bolton Wanderers v Manchester United,W,0-1,League Division One
16 Apr 1949,Burnley v Manchester United,W,0-2,League Division One
18 Apr 1949,Manchester United v Bolton Wanderers,W,3-0,League Division One
21 Apr 1949,Manchester United v Sunderland,L,1-2,League Division One
23 Apr 1949,Manchester United v Preston North End,D,2-2,League Division One
27 Apr 1949,Everton v Manchester United,L,2-0,League Division One
30 Apr 1949,Newcastle United v Manchester United,W,0-1,League Division One
02 May 1949,Manchester United v Middlesbrough,W,1-0,League Division One
04 May 1949,Manchester United v Sheffield United,W,3-2,League Division One
07 May 1949,Manchester United v Portsmouth,W,3-2,League Division One
