Date,Match,Result,Score,Competition
16 Aug 2014,Manchester United v Swansea City,L,1-2,Premier League
24 Aug 2014,Sunderland v Manchester United,D,1-1,Premier League
26 Aug 2014,Milton Keynes Dons v Manchester United,L,4-0,League Cup
30 Aug 2014,Burnley v Manchester United,D,0-0,Premier League
14 Sep 2014,Manchester United v Queens Park Rangers,W,4-0,Premier League
21 Sep 2014,Leicester City v Manchester United,L,5-3,Premier League
27 Sep 2014,Manchester United v West Ham United,W,2-1,Premier League
05 Oct 2014,Manchester United v Everton,W,2-1,Premier League
20 Oct 2014,West Bromwich Albion v Manchester United,D,2-2,Premier League
26 Oct 2014,Manchester United v Chelsea,D,1-1,Premier League
02 Nov 2014,Manchester City v Manchester United,L,1-0,Premier League
08 Nov 2014,Manchester United v Crystal Palace,W,1-0,Premier League
22 Nov 2014,Arsenal v Manchester United,W,1-2,Premier League
29 Nov 2014,Manchester United v Hull City,W,3-0,Premier League
02 Dec 2014,Manchester United v Stoke City,W,2-1,Premier League
08 Dec 2014,Southampton v Manchester United,W,1-2,Premier League
14 Dec 2014,Manchester United v Liverpool,W,3-0,Premier League
20 Dec 2014,Aston Villa v Manchester United,D,1-1,Premier League
26 Dec 2014,Manchester United v Newcastle United,W,3-1,Premier League
28 Dec 2014,Tottenham Hotspur v Manchester United,D,0-0,Premier League
01 Jan 2015,Stoke City v Manchester United,D,1-1,Premier League
04 Jan 2015,Yeovil Town v Manchester United,W,0-2,FA Cup
11 Jan 2015,Manchester United v Southampton,L,0-1,Premier League
17 Jan 2015,Queens Park Rangers v Manchester United,W,0-2,Premier League
23 Jan 2015,Cambridge United v Manchester United,D,0-0,FA Cup
31 Jan 2015,Manchester United v Leicester City,W,3-1,Premier League
03 Feb 2015,Manchester United v Cambridge United,W,3-0,FA Cup
08 Feb 2015,West Ham United v Manchester United,D,1-1,Premier League
11 Feb 2015,Manchester United v Burnley,W,3-1,Premier League
16 Feb 2015,Preston North End v Manchester United,W,1-3,FA Cup
21 Feb 2015,Swansea City v Manchester United,L,2-1,Premier League
28 Feb 2015,Manchester United v Sunderland,W,2-0,Premier League
04 Mar 2015,Newcastle United v Manchester United,W,0-1,Premier League
09 Mar 2015,Manchester United v Arsenal,L,1-2,FA Cup
15 Mar 2015,Manchester United v Tottenham Hotspur,W,3-0,Premier League
22 Mar 2015,Liverpool v Manchester United,W,1-2,Premier League
04 Apr 2015,Manchester United v Aston Villa,W,3-1,Premier League
12 Apr 2015,Manchester United v Manchester City,W,4-2,Premier League
18 Apr 2015,Chelsea v Manchester United,L,1-0,Premier League
26 Apr 2015,Everton v Manchester United,L,3-0,Premier League
02 May 2015,Manchester United v West Bromwich Albion,L,0-1,Premier League
09 May 2015,Crystal Palace v Manchester United,W,1-2,Premier League
17 May 2015,Manchester United v Arsenal,D,1-1,Premier League
24 May 2015,Hull City v Manchester United,D,0-0,Premier League
