Date,Match,Result,Score,Competition
20 Aug 2012,Everton v Manchester United,L,1-0,Premier League
25 Aug 2012,Manchester United v Fulham,W,3-2,Premier League
02 Sep 2012,Southampton v Manchester United,W,2-3,Premier League
15 Sep 2012,Manchester United v Wigan Athletic,W,4-0,Premier League
19 Sep 2012,Manchester United v Galatasaray,W,1-0,UEFA Champions League
23 Sep 2012,Liverpool v Manchester United,W,1-2,Premier League
26 Sep 2012,Manchester United v Newcastle United,W,2-1,League Cup
29 Sep 2012,Manchester United v Tottenham Hotspur,L,2-3,Premier League
02 Oct 2012,CFR Cluj v Manchester United,W,1-2,UEFA Champions League
07 Oct 2012,Newcastle United v Manchester United,W,0-3,Premier League
20 Oct 2012,Manchester United v Stoke City,W,4-2,Premier League
23 Oct 2012,Manchester United v Sporting Braga,W,3-2,UEFA Champions League
28 Oct 2012,Chelsea v Manchester United,W,2-3,Premier League
31 Oct 2012,Chelsea v Manchester United,L,5-4,League Cup
03 Nov 2012,Manchester United v Arsenal,W,2-1,Premier League
07 Nov 2012,Sporting Braga v Manchester United,W,1-3,UEFA Champions League
10 Nov 2012,Aston Villa v Manchester United,W,2-3,Premier League
17 Nov 2012,Norwich City v Manchester United,L,1-0,Premier League
20 Nov 2012,Galatasaray v Manchester United,L,1-0,UEFA Champions League
24 Nov 2012,Manchester United v Queens Park Rangers,W,3-1,Premier League
28 Nov 2012,Manchester United v West Ham United,W,1-0,Premier League
01 Dec 2012,Reading v Manchester United,W,3-4,Premier League
05 Dec 2012,Manchester United v CFR Cluj,L,0-1,UEFA Champions League
09 Dec 2012,Manchester City v Manchester United,W,2-3,Premier League
15 Dec 2012,Manchester United v Sunderland,W,3-1,Premier League
23 Dec 2012,Swansea City v Manchester United,D,1-1,Premier League
26 Dec 2012,Manchester United v Newcastle United,W,4-3,Premier League
29 Dec 2012,Manchester United v West Bromwich Albion,W,2-0,Premier League
01 Jan 2013,Wigan Athletic v Manchester United,W,0-4,Premier League
05 Jan 2013,West Ham United v Manchester United,D,2-2,FA Cup
13 Jan 2013,Manchester United v Liverpool,W,2-1,Premier League
16 Jan 2013,Manchester United v West Ham United,W,1-0,FA Cup
20 Jan 2013,Tottenham Hotspur v Manchester United,D,1-1,Premier League
26 Jan 2013,Manchester United v Fulham,W,4-1,FA Cup
30 Jan 2013,Manchester United v Southampton,W,2-1,Premier League
02 Feb 2013,Fulham v Manchester United,W,0-1,Premier League
10 Feb 2013,Manchester United v Everton,W,2-0,Premier League
13 Feb 2013,Real Madrid v Manchester United,D,1-1,UEFA Champions League
18 Feb 2013,Manchester United v Reading,W,2-1,FA Cup
23 Feb 2013,Queens Park Rangers v Manchester United,W,0-2,Premier League
02 Mar 2013,Manchester United v Norwich City,W,4-0,Premier League
05 Mar 2013,Manchester United v Real Madrid,L,1-2Agg: 2-3,UEFA Champions League
10 Mar 2013,Manchester United v Chelsea,D,2-2,FA Cup
16 Mar 2013,Manchester United v Reading,W,1-0,Premier League
30 Mar 2013,Sunderland v Manchester United,W,0-1,Premier League
01 Apr 2013,Chelsea v Manchester United,L,1-0,FA Cup
08 Apr 2013,Manchester United v Manchester City,L,1-2,Premier League
14 Apr 2013,Stoke City v Manchester United,W,0-2,Premier League
17 Apr 2013,West Ham United v Manchester United,D,2-2,Premier League
22 Apr 2013,Manchester United v Aston Villa,W,3-0,Premier League
28 Apr 2013,Arsenal v Manchester United,D,1-1,Premier League
05 May 2013,Manchester United v Chelsea,L,0-1,Premier League
12 May 2013,Manchester United v Swansea City,W,2-1,Premier League
19 May 2013,West Bromwich Albion v Manchester United,D,5-5,Premier League
