Date,Match,Result,Score,Competition
15 Aug 1987,Southampton v Manchester United,D,2-2,League Division One
19 Aug 1987,Manchester United v Arsenal,D,0-0,League Division One
22 Aug 1987,Manchester United v Watford,W,2-0,League Division One
29 Aug 1987,Charlton Athletic v Manchester United,W,1-3,League Division One
31 Aug 1987,Manchester United v Chelsea,W,3-1,League Division One
05 Sep 1987,Coventry City v Manchester United,D,0-0,League Division One
12 Sep 1987,Manchester United v Newcastle United,D,2-2,League Division One
19 Sep 1987,Everton v Manchester United,L,2-1,League Division One
23 Sep 1987,Manchester United v Hull City,W,5-0,League Cup
26 Sep 1987,Manchester United v Tottenham Hotspur,W,1-0,League Division One
03 Oct 1987,Luton Town v Manchester United,D,1-1,League Division One
07 Oct 1987,Hull City v Manchester United,W,0-1Agg: 0-6,League Cup
10 Oct 1987,Sheffield Wednesday v Manchester United,W,2-4,League Division One
17 Oct 1987,Manchester United v Norwich City,W,2-1,League Division One
25 Oct 1987,West Ham United v Manchester United,D,1-1,League Division One
28 Oct 1987,Manchester United v Crystal Palace,W,2-1,League Cup
31 Oct 1987,Manchester United v Nottingham Forest,D,2-2,League Division One
15 Nov 1987,Manchester United v Liverpool,D,1-1,League Division One
18 Nov 1987,Bury v Manchester United,W,1-2,League Cup
21 Nov 1987,Wimbledon v Manchester United,L,2-1,League Division One
05 Dec 1987,Queens Park Rangers v Manchester United,W,0-2,League Division One
12 Dec 1987,Manchester United v Oxford United,W,3-1,League Division One
19 Dec 1987,Portsmouth v Manchester United,W,1-2,League Division One
26 Dec 1987,Newcastle United v Manchester United,L,1-0,League Division One
28 Dec 1987,Manchester United v Everton,W,2-1,League Division One
01 Jan 1988,Manchester United v Charlton Athletic,D,0-0,League Division One
02 Jan 1988,Watford v Manchester United,W,0-1,League Division One
10 Jan 1988,Ipswich Town v Manchester United,W,1-2,FA Cup
16 Jan 1988,Manchester United v Southampton,L,0-2,League Division One
20 Jan 1988,Oxford United v Manchester United,L,2-0,League Cup
24 Jan 1988,Arsenal v Manchester United,W,1-2,League Division One
30 Jan 1988,Manchester United v Chelsea,W,2-0,FA Cup
06 Feb 1988,Manchester United v Coventry City,W,1-0,League Division One
10 Feb 1988,Derby County v Manchester United,W,1-2,League Division One
13 Feb 1988,Chelsea v Manchester United,W,1-2,League Division One
20 Feb 1988,Arsenal v Manchester United,L,2-1,FA Cup
23 Feb 1988,Tottenham Hotspur v Manchester United,D,1-1,League Division One
05 Mar 1988,Norwich City v Manchester United,L,1-0,League Division One
12 Mar 1988,Manchester United v Sheffield Wednesday,W,4-1,League Division One
19 Mar 1988,Nottingham Forest v Manchester United,D,0-0,League Division One
26 Mar 1988,Manchester United v West Ham United,W,3-1,League Division One
02 Apr 1988,Manchester United v Derby County,W,4-1,League Division One
04 Apr 1988,Liverpool v Manchester United,D,3-3,League Division One
12 Apr 1988,Manchester United v Luton Town,W,3-0,League Division One
30 Apr 1988,Manchester United v Queens Park Rangers,W,2-1,League Division One
02 May 1988,Oxford United v Manchester United,W,0-2,League Division One
07 May 1988,Manchester United v Portsmouth,W,4-1,League Division One
09 May 1988,Manchester United v Wimbledon,W,2-1,League Division One
