Date,Match,Result,Score,Competition
18 Aug 1962,Manchester United v West Bromwich Albion,D,2-2,League Division One
22 Aug 1962,Everton v Manchester United,L,3-1,League Division One
25 Aug 1962,Arsenal v Manchester United,W,1-3,League Division One
29 Aug 1962,Manchester United v Everton,L,0-1,League Division One
01 Sep 1962,Manchester United v Birmingham City,W,2-0,League Division One
05 Sep 1962,Bolton Wanderers v Manchester United,L,3-0,League Division One
08 Sep 1962,Leyton Orient v Manchester United,L,1-0,League Division One
12 Sep 1962,Manchester United v Bolton Wanderers,W,3-0,League Division One
15 Sep 1962,Manchester United v Manchester City,L,2-3,League Division One
22 Sep 1962,Manchester United v Burnley,L,2-5,League Division One
29 Sep 1962,Sheffield Wednesday v Manchester United,L,1-0,League Division One
06 Oct 1962,Blackpool v Manchester United,D,2-2,League Division One
13 Oct 1962,Manchester United v Blackburn Rovers,L,0-3,League Division One
24 Oct 1962,Tottenham Hotspur v Manchester United,L,6-2,League Division One
27 Oct 1962,Manchester United v West Ham United,W,3-1,League Division One
03 Nov 1962,Ipswich Town v Manchester United,W,3-5,League Division One
10 Nov 1962,Manchester United v Liverpool,D,3-3,League Division One
17 Nov 1962,Wolverhampton Wanderers v Manchester United,W,2-3,League Division One
24 Nov 1962,Manchester United v Aston Villa,D,2-2,League Division One
01 Dec 1962,Sheffield United v Manchester United,D,1-1,League Division One
08 Dec 1962,Manchester United v Nottingham Forest,W,5-1,League Division One
15 Dec 1962,West Bromwich Albion v Manchester United,L,3-0,League Division One
26 Dec 1962,Fulham v Manchester United,W,0-1,League Division One
23 Feb 1963,Manchester United v Blackpool,D,1-1,League Division One
02 Mar 1963,Blackburn Rovers v Manchester United,D,2-2,League Division One
04 Mar 1963,Manchester United v Huddersfield Town,W,5-0,FA Cup
09 Mar 1963,Manchester United v Tottenham Hotspur,L,0-2,League Division One
11 Mar 1963,Manchester United v Aston Villa,W,1-0,FA Cup
16 Mar 1963,Manchester United v Chelsea,W,2-1,FA Cup
18 Mar 1963,West Ham United v Manchester United,L,3-1,League Division One
23 Mar 1963,Manchester United v Ipswich Town,L,0-1,League Division One
30 Mar 1963,Coventry City v Manchester United,W,1-3,FA Cup
01 Apr 1963,Manchester United v Fulham,L,0-2,League Division One
09 Apr 1963,Aston Villa v Manchester United,W,1-2,League Division One
13 Apr 1963,Liverpool v Manchester United,L,1-0,League Division One
15 Apr 1963,Manchester United v Leicester City,D,2-2,League Division One
16 Apr 1963,Leicester City v Manchester United,L,4-3,League Division One
20 Apr 1963,Manchester United v Sheffield United,D,1-1,League Division One
22 Apr 1963,Manchester United v Wolverhampton Wanderers,W,2-1,League Division One
27 Apr 1963,Manchester United v Southampton,W,1-0,FA Cup
01 May 1963,Manchester United v Sheffield Wednesday,L,1-3,League Division One
04 May 1963,Burnley v Manchester United,W,0-1,League Division One
06 May 1963,Manchester United v Arsenal,L,2-3,League Division One
10 May 1963,Birmingham City v Manchester United,L,2-1,League Division One
15 May 1963,Manchester City v Manchester United,D,1-1,League Division One
18 May 1963,Manchester United v Leyton Orient,W,3-1,League Division One
20 May 1963,Nottingham Forest v Manchester United,L,3-2,League Division One
25 May 1963,Manchester United v Leicester City,W,3-1,FA Cup
