Date,Match,Result,Score,Competition
04 Sep 1897,Newton Heath v Lincoln City,W,5-0,League Division Two
11 Sep 1897,Burton Swifts v Newton Heath,W,0-4,League Division Two
18 Sep 1897,Newton Heath v Luton Town,L,1-2,League Division Two
25 Sep 1897,Blackpool v Newton Heath,W,0-1,League Division Two
02 Oct 1897,Newton Heath v Leicester Fosse,W,2-0,League Division Two
09 Oct 1897,Newcastle United v Newton Heath,L,2-0,League Division Two
16 Oct 1897,Newton Heath v Manchester City,D,1-1,League Division Two
23 Oct 1897,Small Heath v Newton Heath,L,2-1,League Division Two
30 Oct 1897,Newton Heath v Walsall,W,6-0,League Division Two
06 Nov 1897,Lincoln City v Newton Heath,L,1-0,League Division Two
13 Nov 1897,Newton Heath v Newcastle United,L,0-1,League Division Two
20 Nov 1897,Leicester Fosse v Newton Heath,D,1-1,League Division Two
27 Nov 1897,Newton Heath v Grimsby Town,W,2-1,League Division Two
11 Dec 1897,Walsall v Newton Heath,D,1-1,League Division Two
25 Dec 1897,Manchester City v Newton Heath,W,0-1,League Division Two
27 Dec 1897,Gainsborough Trinity v Newton Heath,L,2-1,League Division Two
01 Jan 1898,Newton Heath v Burton Swifts,W,4-0,League Division Two
08 Jan 1898,Woolwich Arsenal v Newton Heath,L,5-1,League Division Two
12 Jan 1898,Newton Heath v Burnley,D,0-0,League Division Two
15 Jan 1898,Newton Heath v Blackpool,W,4-0,League Division Two
29 Jan 1898,Newton Heath v Walsall,W,1-0,FA Cup
12 Feb 1898,Newton Heath v Liverpool,D,0-0,FA Cup
16 Feb 1898,Liverpool v Newton Heath,L,2-1,FA Cup
26 Feb 1898,Newton Heath v Woolwich Arsenal,W,5-1,League Division Two
07 Mar 1898,Burnley v Newton Heath,L,6-3,League Division Two
19 Mar 1898,Darwen v Newton Heath,W,2-3,League Division Two
21 Mar 1898,Luton Town v Newton Heath,D,2-2,League Division Two
29 Mar 1898,Newton Heath v Loughborough,W,5-1,League Division Two
02 Apr 1898,Grimsby Town v Newton Heath,W,1-3,League Division Two
08 Apr 1898,Newton Heath v Gainsborough Trinity,W,1-0,League Division Two
09 Apr 1898,Newton Heath v Small Heath,W,3-1,League Division Two
16 Apr 1898,Loughborough v Newton Heath,D,0-0,League Division Two
23 Apr 1898,Newton Heath v Darwen,W,3-2,League Division Two
