Date,Match,Result,Score,Competition
14 Aug 2002,Zalaegerszegi TE v Manchester United,L,1-0,UEFA Champions League
17 Aug 2002,Manchester United v West Bromwich Albion,W,1-0,Premier League
23 Aug 2002,Chelsea v Manchester United,D,2-2,Premier League
27 Aug 2002,Manchester United v Zalaegerszegi TE,W,5-0Agg: 5-1,UEFA Champions League
31 Aug 2002,Sunderland v Manchester United,D,1-1,Premier League
03 Sep 2002,Manchester United v Middlesbrough,W,1-0,Premier League
11 Sep 2002,Manchester United v Bolton Wanderers,L,0-1,Premier League
14 Sep 2002,Leeds United v Manchester United,L,1-0,Premier League
18 Sep 2002,Manchester United v Maccabi Haifa,W,5-2,UEFA Champions League
21 Sep 2002,Manchester United v Tottenham Hotspur,W,1-0,Premier League
24 Sep 2002,Bayer Leverkusen v Manchester United,W,1-2,UEFA Champions League
28 Sep 2002,Charlton Athletic v Manchester United,W,1-3,Premier League
01 Oct 2002,Manchester United v Olympiakos,W,4-0,UEFA Champions League
07 Oct 2002,Manchester United v Everton,W,3-0,Premier League
19 Oct 2002,Fulham v Manchester United,D,1-1,Premier League
23 Oct 2002,Olympiakos v Manchester United,W,2-3,UEFA Champions League
26 Oct 2002,Manchester United v Aston Villa,D,1-1,Premier League
29 Oct 2002,Maccabi Haifa v Manchester United,L,3-0,UEFA Champions League
02 Nov 2002,Manchester United v Southampton,W,2-1,Premier League
05 Nov 2002,Manchester United v Leicester City,W,2-0,League Cup
09 Nov 2002,Manchester City v Manchester United,L,3-1,Premier League
13 Nov 2002,Manchester United v Bayer Leverkusen,W,2-0,UEFA Champions League
17 Nov 2002,West Ham United v Manchester United,D,1-1,Premier League
23 Nov 2002,Manchester United v Newcastle United,W,5-3,Premier League
26 Nov 2002,FC Basel v Manchester United,W,1-3,UEFA Champions League
01 Dec 2002,Liverpool v Manchester United,W,1-2,Premier League
03 Dec 2002,Burnley v Manchester United,W,0-2,League Cup
07 Dec 2002,Manchester United v Arsenal,W,2-0,Premier League
11 Dec 2002,Manchester United v Deportivo La Coruña,W,2-0,UEFA Champions League
14 Dec 2002,Manchester United v West Ham United,W,3-0,Premier League
17 Dec 2002,Manchester United v Chelsea,W,1-0,League Cup
22 Dec 2002,Blackburn Rovers v Manchester United,L,1-0,Premier League
26 Dec 2002,Middlesbrough v Manchester United,L,3-1,Premier League
28 Dec 2002,Manchester United v Birmingham City,W,2-0,Premier League
01 Jan 2003,Manchester United v Sunderland,W,2-1,Premier League
04 Jan 2003,Manchester United v Portsmouth,W,4-1,FA Cup
07 Jan 2003,Manchester United v Blackburn Rovers,D,1-1,League Cup
11 Jan 2003,West Bromwich Albion v Manchester United,W,1-3,Premier League
18 Jan 2003,Manchester United v Chelsea,W,2-1,Premier League
22 Jan 2003,Blackburn Rovers v Manchester United,W,1-3Agg: 2-4,League Cup
26 Jan 2003,Manchester United v West Ham United,W,6-0,FA Cup
01 Feb 2003,Southampton v Manchester United,W,0-2,Premier League
04 Feb 2003,Birmingham City v Manchester United,W,0-1,Premier League
09 Feb 2003,Manchester United v Manchester City,D,1-1,Premier League
15 Feb 2003,Manchester United v Arsenal,L,0-2,FA Cup
19 Feb 2003,Manchester United v Juventus,W,2-1,UEFA Champions League
22 Feb 2003,Bolton Wanderers v Manchester United,D,1-1,Premier League
25 Feb 2003,Juventus v Manchester United,W,0-3,UEFA Champions League
02 Mar 2003,Liverpool v Manchester United,L,2-0,League Cup
05 Mar 2003,Manchester United v Leeds United,W,2-1,Premier League
12 Mar 2003,Manchester United v FC Basel,D,1-1,UEFA Champions League
15 Mar 2003,Aston Villa v Manchester United,W,0-1,Premier League
18 Mar 2003,Deportivo La Coruña v Manchester United,L,2-0,UEFA Champions League
22 Mar 2003,Manchester United v Fulham,W,3-0,Premier League
05 Apr 2003,Manchester United v Liverpool,W,4-0,Premier League
08 Apr 2003,Real Madrid v Manchester United,L,3-1,UEFA Champions League
12 Apr 2003,Newcastle United v Manchester United,W,2-6,Premier League
16 Apr 2003,Arsenal v Manchester United,D,2-2,Premier League
19 Apr 2003,Manchester United v Blackburn Rovers,W,3-1,Premier League
23 Apr 2003,Manchester United v Real Madrid,W,4-3Agg: 5-6,UEFA Champions League
27 Apr 2003,Tottenham Hotspur v Manchester United,W,0-2,Premier League
03 May 2003,Manchester United v Charlton Athletic,W,4-1,Premier League
11 May 2003,Everton v Manchester United,W,1-2,Premier League
