Date,Match,Result,Score,Competition
09 Aug 1969,Crystal Palace v Manchester United,D,2-2,League Division One
13 Aug 1969,Manchester United v Everton,L,0-2,League Division One
16 Aug 1969,Manchester United v Southampton,L,1-4,League Division One
19 Aug 1969,Everton v Manchester United,L,3-0,League Division One
23 Aug 1969,Wolverhampton Wanderers v Manchester United,D,0-0,League Division One
27 Aug 1969,Manchester United v Newcastle United,D,0-0,League Division One
30 Aug 1969,Manchester United v Sunderland,W,3-1,League Division One
03 Sep 1969,Manchester United v Middlesbrough,W,1-0,League Cup
06 Sep 1969,Leeds United v Manchester United,D,2-2,League Division One
13 Sep 1969,Manchester United v Liverpool,W,1-0,League Division One
17 Sep 1969,Sheffield Wednesday v Manchester United,W,1-3,League Division One
20 Sep 1969,Arsenal v Manchester United,D,2-2,League Division One
23 Sep 1969,Manchester United v Wrexham,W,2-0,League Cup
27 Sep 1969,Manchester United v West Ham United,W,5-2,League Division One
04 Oct 1969,Derby County v Manchester United,L,2-0,League Division One
08 Oct 1969,Southampton v Manchester United,W,0-3,League Division One
11 Oct 1969,Manchester United v Ipswich Town,W,2-1,League Division One
14 Oct 1969,Burnley v Manchester United,D,0-0,League Cup
18 Oct 1969,Manchester United v Nottingham Forest,D,1-1,League Division One
20 Oct 1969,Manchester United v Burnley,W,1-0,League Cup
25 Oct 1969,West Bromwich Albion v Manchester United,L,2-1,League Division One
01 Nov 1969,Manchester United v Stoke City,D,1-1,League Division One
08 Nov 1969,Coventry City v Manchester United,W,1-2,League Division One
12 Nov 1969,Derby County v Manchester United,D,0-0,League Cup
15 Nov 1969,Manchester City v Manchester United,L,4-0,League Division One
19 Nov 1969,Manchester United v Derby County,W,1-0,League Cup
22 Nov 1969,Manchester United v Tottenham Hotspur,W,3-1,League Division One
29 Nov 1969,Burnley v Manchester United,D,1-1,League Division One
03 Dec 1969,Manchester City v Manchester United,L,2-1,League Cup
06 Dec 1969,Manchester United v Chelsea,L,0-2,League Division One
13 Dec 1969,Liverpool v Manchester United,W,1-4,League Division One
17 Dec 1969,Manchester United v Manchester City,D,2-2Agg: 3-4,League Cup
26 Dec 1969,Manchester United v Wolverhampton Wanderers,D,0-0,League Division One
27 Dec 1969,Sunderland v Manchester United,D,1-1,League Division One
03 Jan 1970,Ipswich Town v Manchester United,W,0-1,FA Cup
10 Jan 1970,Manchester United v Arsenal,W,2-1,League Division One
17 Jan 1970,West Ham United v Manchester United,D,0-0,League Division One
24 Jan 1970,Manchester United v Manchester City,W,3-0,FA Cup
26 Jan 1970,Manchester United v Leeds United,D,2-2,League Division One
31 Jan 1970,Manchester United v Derby County,W,1-0,League Division One
07 Feb 1970,Northampton Town v Manchester United,W,2-8,FA Cup
10 Feb 1970,Ipswich Town v Manchester United,W,0-1,League Division One
14 Feb 1970,Manchester United v Crystal Palace,D,1-1,League Division One
21 Feb 1970,Middlesbrough v Manchester United,D,1-1,FA Cup
25 Feb 1970,Manchester United v Middlesbrough,W,2-1,FA Cup
28 Feb 1970,Stoke City v Manchester United,D,2-2,League Division One
14 Mar 1970,Leeds United v Manchester United,D,0-0,FA Cup
17 Mar 1970,Manchester United v Burnley,D,3-3,League Division One
21 Mar 1970,Chelsea v Manchester United,L,2-1,League Division One
23 Mar 1970,Leeds United v Manchester United,D,0-0,FA Cup
26 Mar 1970,Leeds United v Manchester United,L,1-0,FA Cup
28 Mar 1970,Manchester United v Manchester City,L,1-2,League Division One
30 Mar 1970,Manchester United v Coventry City,D,1-1,League Division One
31 Mar 1970,Nottingham Forest v Manchester United,W,1-2,League Division One
04 Apr 1970,Newcastle United v Manchester United,L,5-1,League Division One
08 Apr 1970,Manchester United v West Bromwich Albion,W,7-0,League Division One
10 Apr 1970,Manchester United v Watford,W,2-0,FA Cup
13 Apr 1970,Tottenham Hotspur v Manchester United,L,2-1,League Division One
15 Apr 1970,Manchester United v Sheffield Wednesday,D,2-2,League Division One
