Date,Match,Result,Score,Competition
19 Aug 1961,West Ham United v Manchester United,D,1-1,League Division One
23 Aug 1961,Manchester United v Chelsea,W,3-2,League Division One
26 Aug 1961,Manchester United v Blackburn Rovers,W,6-1,League Division One
30 Aug 1961,Chelsea v Manchester United,L,2-0,League Division One
02 Sep 1961,Blackpool v Manchester United,W,2-3,League Division One
09 Sep 1961,Manchester United v Tottenham Hotspur,W,1-0,League Division One
16 Sep 1961,Cardiff City v Manchester United,W,1-2,League Division One
18 Sep 1961,Aston Villa v Manchester United,D,1-1,League Division One
23 Sep 1961,Manchester United v Manchester City,W,3-2,League Division One
30 Sep 1961,Manchester United v Wolverhampton Wanderers,L,0-2,League Division One
07 Oct 1961,West Bromwich Albion v Manchester United,D,1-1,League Division One
14 Oct 1961,Manchester United v Birmingham City,L,0-2,League Division One
21 Oct 1961,Arsenal v Manchester United,L,5-1,League Division One
28 Oct 1961,Manchester United v Bolton Wanderers,L,0-3,League Division One
04 Nov 1961,Sheffield Wednesday v Manchester United,L,3-1,League Division One
11 Nov 1961,Manchester United v Leicester City,D,2-2,League Division One
18 Nov 1961,Ipswich Town v Manchester United,L,4-1,League Division One
25 Nov 1961,Manchester United v Burnley,L,1-4,League Division One
02 Dec 1961,Everton v Manchester United,L,5-1,League Division One
09 Dec 1961,Manchester United v Fulham,W,3-0,League Division One
16 Dec 1961,Manchester United v West Ham United,L,1-2,League Division One
26 Dec 1961,Manchester United v Nottingham Forest,W,6-3,League Division One
06 Jan 1962,Manchester United v Bolton Wanderers,W,2-1,FA Cup
13 Jan 1962,Manchester United v Blackpool,L,0-1,League Division One
15 Jan 1962,Manchester United v Aston Villa,W,2-0,League Division One
20 Jan 1962,Tottenham Hotspur v Manchester United,D,2-2,League Division One
31 Jan 1962,Manchester United v Arsenal,W,1-0,FA Cup
03 Feb 1962,Manchester United v Cardiff City,W,3-0,League Division One
10 Feb 1962,Manchester City v Manchester United,W,0-2,League Division One
17 Feb 1962,Manchester United v Sheffield Wednesday,D,0-0,FA Cup
21 Feb 1962,Sheffield Wednesday v Manchester United,W,0-2,FA Cup
24 Feb 1962,Manchester United v West Bromwich Albion,W,4-1,League Division One
28 Feb 1962,Wolverhampton Wanderers v Manchester United,D,2-2,League Division One
03 Mar 1962,Birmingham City v Manchester United,D,1-1,League Division One
10 Mar 1962,Preston North End v Manchester United,D,0-0,FA Cup
14 Mar 1962,Manchester United v Preston North End,W,2-1,FA Cup
17 Mar 1962,Bolton Wanderers v Manchester United,L,1-0,League Division One
20 Mar 1962,Nottingham Forest v Manchester United,L,1-0,League Division One
24 Mar 1962,Manchester United v Sheffield Wednesday,D,1-1,League Division One
31 Mar 1962,Tottenham Hotspur v Manchester United,L,3-1,FA Cup
04 Apr 1962,Leicester City v Manchester United,L,4-3,League Division One
07 Apr 1962,Manchester United v Ipswich Town,W,5-0,League Division One
10 Apr 1962,Blackburn Rovers v Manchester United,L,3-0,League Division One
14 Apr 1962,Burnley v Manchester United,W,1-3,League Division One
16 Apr 1962,Manchester United v Arsenal,L,2-3,League Division One
21 Apr 1962,Manchester United v Everton,D,1-1,League Division One
23 Apr 1962,Manchester United v Sheffield United,L,0-1,League Division One
24 Apr 1962,Sheffield United v Manchester United,W,2-3,League Division One
28 Apr 1962,Fulham v Manchester United,L,2-0,League Division One
