Date,Match,Result,Score,Competition
01 Aug 1999,Arsenal v Manchester United,L,2-1,FA Charity Shield
08 Aug 1999,Everton v Manchester United,D,1-1,Premier League
11 Aug 1999,Manchester United v Sheffield Wednesday,W,4-0,Premier League
14 Aug 1999,Manchester United v Leeds United,W,2-0,Premier League
22 Aug 1999,Arsenal v Manchester United,W,1-2,Premier League
25 Aug 1999,Coventry City v Manchester United,W,1-2,Premier League
27 Aug 1999,Manchester United v Lazio,L,0-1,UEFA Super Cup
30 Aug 1999,Manchester United v Newcastle United,W,5-1,Premier League
11 Sep 1999,Liverpool v Manchester United,W,2-3,Premier League
14 Sep 1999,Manchester United v Croatia Zagreb,D,0-0,UEFA Champions League
18 Sep 1999,Manchester United v Wimbledon,D,1-1,Premier League
22 Sep 1999,Sturm Graz v Manchester United,W,0-3,UEFA Champions League
25 Sep 1999,Manchester United v Southampton,D,3-3,Premier League
29 Sep 1999,Manchester United v Olympique Marseille,W,2-1,UEFA Champions League
03 Oct 1999,Chelsea v Manchester United,L,5-0,Premier League
13 Oct 1999,Aston Villa v Manchester United,L,3-0,League Cup
16 Oct 1999,Manchester United v Watford,W,4-1,Premier League
19 Oct 1999,Olympique Marseille v Manchester United,L,1-0,UEFA Champions League
23 Oct 1999,Tottenham Hotspur v Manchester United,L,3-1,Premier League
27 Oct 1999,Croatia Zagreb v Manchester United,W,1-2,UEFA Champions League
30 Oct 1999,Manchester United v Aston Villa,W,3-0,Premier League
02 Nov 1999,Manchester United v Sturm Graz,W,2-1,UEFA Champions League
06 Nov 1999,Manchester United v Leicester City,W,2-0,Premier League
20 Nov 1999,Derby County v Manchester United,W,1-2,Premier League
23 Nov 1999,Fiorentina v Manchester United,L,2-0,UEFA Champions League
30 Nov 1999,Manchester United v Palmeiras,W,1-0,Intercontinental Cup
04 Dec 1999,Manchester United v Everton,W,5-1,Premier League
08 Dec 1999,Manchester United v Valencia,W,3-0,UEFA Champions League
18 Dec 1999,West Ham United v Manchester United,W,2-4,Premier League
26 Dec 1999,Manchester United v Bradford City,W,4-0,Premier League
28 Dec 1999,Sunderland v Manchester United,D,2-2,Premier League
06 Jan 2000,Necaxa v Manchester United,D,1-1,FIFA Club World Cup
08 Jan 2000,Vasco da Gama v Manchester United,L,3-1,FIFA Club World Cup
11 Jan 2000,South Melbourne Lakers v Manchester United,W,0-2,FIFA Club World Cup
24 Jan 2000,Manchester United v Arsenal,D,1-1,Premier League
29 Jan 2000,Manchester United v Middlesbrough,W,1-0,Premier League
02 Feb 2000,Sheffield Wednesday v Manchester United,W,0-1,Premier League
05 Feb 2000,Manchester United v Coventry City,W,3-2,Premier League
12 Feb 2000,Newcastle United v Manchester United,L,3-0,Premier League
20 Feb 2000,Leeds United v Manchester United,W,0-1,Premier League
26 Feb 2000,Wimbledon v Manchester United,D,2-2,Premier League
01 Mar 2000,Manchester United v Bordeaux,W,2-0,UEFA Champions League
04 Mar 2000,Manchester United v Liverpool,D,1-1,Premier League
07 Mar 2000,Bordeaux v Manchester United,W,1-2,UEFA Champions League
11 Mar 2000,Manchester United v Derby County,W,3-1,Premier League
15 Mar 2000,Manchester United v Fiorentina,W,3-1,UEFA Champions League
18 Mar 2000,Leicester City v Manchester United,W,0-2,Premier League
21 Mar 2000,Valencia v Manchester United,D,0-0,UEFA Champions League
25 Mar 2000,Bradford City v Manchester United,W,0-4,Premier League
01 Apr 2000,Manchester United v West Ham United,W,7-1,Premier League
04 Apr 2000,Real Madrid v Manchester United,D,0-0,UEFA Champions League
10 Apr 2000,Middlesbrough v Manchester United,W,3-4,Premier League
15 Apr 2000,Manchester United v Sunderland,W,4-0,Premier League
19 Apr 2000,Manchester United v Real Madrid,L,2-3Agg: 2-3,UEFA Champions League
22 Apr 2000,Southampton v Manchester United,W,1-3,Premier League
24 Apr 2000,Manchester United v Chelsea,W,3-2,Premier League
29 Apr 2000,Watford v Manchester United,W,2-3,Premier League
06 May 2000,Manchester United v Tottenham Hotspur,W,3-1,Premier League
14 May 2000,Aston Villa v Manchester United,W,0-1,Premier League
