Date,Match,Result,Score,Competition
19 Aug 1978,Manchester United v Birmingham City,W,1-0,League Division One
23 Aug 1978,Leeds United v Manchester United,W,2-3,League Division One
26 Aug 1978,Ipswich Town v Manchester United,L,3-0,League Division One
30 Aug 1978,Stockport County v Manchester United,W,2-3,League Cup
02 Sep 1978,Manchester United v Everton,D,1-1,League Division One
09 Sep 1978,Queens Park Rangers v Manchester United,D,1-1,League Division One
16 Sep 1978,Manchester United v Nottingham Forest,D,1-1,League Division One
23 Sep 1978,Arsenal v Manchester United,D,1-1,League Division One
30 Sep 1978,Manchester United v Manchester City,W,1-0,League Division One
04 Oct 1978,Manchester United v Watford,L,1-2,League Cup
07 Oct 1978,Manchester United v Middlesbrough,W,3-2,League Division One
14 Oct 1978,Aston Villa v Manchester United,D,2-2,League Division One
21 Oct 1978,Manchester United v Bristol City,L,1-3,League Division One
28 Oct 1978,Wolverhampton Wanderers v Manchester United,W,2-4,League Division One
04 Nov 1978,Manchester United v Southampton,D,1-1,League Division One
11 Nov 1978,Birmingham City v Manchester United,L,5-1,League Division One
18 Nov 1978,Manchester United v Ipswich Town,W,2-0,League Division One
21 Nov 1978,Everton v Manchester United,L,3-0,League Division One
25 Nov 1978,Chelsea v Manchester United,W,0-1,League Division One
09 Dec 1978,Derby County v Manchester United,W,1-3,League Division One
16 Dec 1978,Manchester United v Tottenham Hotspur,W,2-0,League Division One
22 Dec 1978,Bolton Wanderers v Manchester United,L,3-0,League Division One
26 Dec 1978,Manchester United v Liverpool,L,0-3,League Division One
30 Dec 1978,Manchester United v West Bromwich Albion,L,3-5,League Division One
15 Jan 1979,Manchester United v Chelsea,W,3-0,FA Cup
31 Jan 1979,Fulham v Manchester United,D,1-1,FA Cup
03 Feb 1979,Manchester United v Arsenal,L,0-2,League Division One
10 Feb 1979,Manchester City v Manchester United,W,0-3,League Division One
12 Feb 1979,Manchester United v Fulham,W,1-0,FA Cup
20 Feb 1979,Colchester United v Manchester United,W,0-1,FA Cup
24 Feb 1979,Manchester United v Aston Villa,D,1-1,League Division One
28 Feb 1979,Manchester United v Queens Park Rangers,W,2-0,League Division One
03 Mar 1979,Bristol City v Manchester United,W,1-2,League Division One
10 Mar 1979,Tottenham Hotspur v Manchester United,D,1-1,FA Cup
14 Mar 1979,Manchester United v Tottenham Hotspur,W,2-0,FA Cup
20 Mar 1979,Coventry City v Manchester United,L,4-3,League Division One
24 Mar 1979,Manchester United v Leeds United,W,4-1,League Division One
27 Mar 1979,Middlesbrough v Manchester United,D,2-2,League Division One
31 Mar 1979,Liverpool v Manchester United,D,2-2,FA Cup
04 Apr 1979,Liverpool v Manchester United,W,0-1,FA Cup
07 Apr 1979,Norwich City v Manchester United,D,2-2,League Division One
11 Apr 1979,Manchester United v Bolton Wanderers,L,1-2,League Division One
14 Apr 1979,Liverpool v Manchester United,L,2-0,League Division One
16 Apr 1979,Manchester United v Coventry City,D,0-0,League Division One
18 Apr 1979,Nottingham Forest v Manchester United,D,1-1,League Division One
21 Apr 1979,Tottenham Hotspur v Manchester United,D,1-1,League Division One
25 Apr 1979,Manchester United v Norwich City,W,1-0,League Division One
28 Apr 1979,Manchester United v Derby County,D,0-0,League Division One
30 Apr 1979,Southampton v Manchester United,D,1-1,League Division One
05 May 1979,West Bromwich Albion v Manchester United,L,1-0,League Division One
07 May 1979,Manchester United v Wolverhampton Wanderers,W,3-2,League Division One
12 May 1979,Arsenal v Manchester United,L,3-2,FA Cup
16 May 1979,Manchester United v Chelsea,D,1-1,League Division One
