Date,Match,Result,Score,Competition
17 Aug 1963,Everton v Manchester United,L,4-0,FA Charity Shield
24 Aug 1963,Sheffield Wednesday v Manchester United,D,3-3,League Division One
28 Aug 1963,Manchester United v Ipswich Town,W,2-0,League Division One
31 Aug 1963,Manchester United v Everton,W,5-1,League Division One
03 Sep 1963,Ipswich Town v Manchester United,W,2-7,League Division One
07 Sep 1963,Birmingham City v Manchester United,D,1-1,League Division One
11 Sep 1963,Manchester United v Blackpool,W,3-0,League Division One
14 Sep 1963,Manchester United v West Bromwich Albion,W,1-0,League Division One
16 Sep 1963,Blackpool v Manchester United,L,1-0,League Division One
21 Sep 1963,Arsenal v Manchester United,L,2-1,League Division One
25 Sep 1963,Willem II v Manchester United,D,1-1,UEFA European Cup Winners Cup
28 Sep 1963,Manchester United v Leicester City,W,3-1,League Division One
02 Oct 1963,Chelsea v Manchester United,D,1-1,League Division One
05 Oct 1963,Bolton Wanderers v Manchester United,W,0-1,League Division One
15 Oct 1963,Manchester United v Willem II,W,6-1Agg: 7-2,UEFA European Cup Winners Cup
19 Oct 1963,Nottingham Forest v Manchester United,W,1-2,League Division One
26 Oct 1963,Manchester United v West Ham United,L,0-1,League Division One
28 Oct 1963,Manchester United v Blackburn Rovers,D,2-2,League Division One
02 Nov 1963,Wolverhampton Wanderers v Manchester United,L,2-0,League Division One
09 Nov 1963,Manchester United v Tottenham Hotspur,W,4-1,League Division One
16 Nov 1963,Aston Villa v Manchester United,L,4-0,League Division One
23 Nov 1963,Manchester United v Liverpool,L,0-1,League Division One
30 Nov 1963,Sheffield United v Manchester United,W,1-2,League Division One
03 Dec 1963,Tottenham Hotspur v Manchester United,L,2-0,UEFA European Cup Winners Cup
07 Dec 1963,Manchester United v Stoke City,W,5-2,League Division One
10 Dec 1963,Manchester United v Tottenham Hotspur,W,4-1Agg: 4-3,UEFA European Cup Winners Cup
14 Dec 1963,Manchester United v Sheffield Wednesday,W,3-1,League Division One
21 Dec 1963,Everton v Manchester United,L,4-0,League Division One
26 Dec 1963,Burnley v Manchester United,L,6-1,League Division One
28 Dec 1963,Manchester United v Burnley,W,5-1,League Division One
04 Jan 1964,Southampton v Manchester United,W,2-3,FA Cup
11 Jan 1964,Manchester United v Birmingham City,L,1-2,League Division One
18 Jan 1964,West Bromwich Albion v Manchester United,W,1-4,League Division One
25 Jan 1964,Manchester United v Bristol Rovers,W,4-1,FA Cup
01 Feb 1964,Manchester United v Arsenal,W,3-1,League Division One
08 Feb 1964,Leicester City v Manchester United,L,3-2,League Division One
15 Feb 1964,Barnsley v Manchester United,W,0-4,FA Cup
19 Feb 1964,Manchester United v Bolton Wanderers,W,5-0,League Division One
22 Feb 1964,Blackburn Rovers v Manchester United,W,1-3,League Division One
26 Feb 1964,Manchester United v Sporting Lisboa,W,4-1,UEFA European Cup Winners Cup
29 Feb 1964,Manchester United v Sunderland,D,3-3,FA Cup
04 Mar 1964,Sunderland v Manchester United,D,2-2,FA Cup
07 Mar 1964,West Ham United v Manchester United,W,0-2,League Division One
09 Mar 1964,Manchester United v Sunderland,W,5-1,FA Cup
14 Mar 1964,West Ham United v Manchester United,L,3-1,FA Cup
18 Mar 1964,Sporting Lisboa v Manchester United,L,5-0Agg: 6-4,UEFA European Cup Winners Cup
21 Mar 1964,Tottenham Hotspur v Manchester United,W,2-3,League Division One
23 Mar 1964,Manchester United v Chelsea,D,1-1,League Division One
27 Mar 1964,Fulham v Manchester United,D,2-2,League Division One
28 Mar 1964,Manchester United v Wolverhampton Wanderers,D,2-2,League Division One
30 Mar 1964,Manchester United v Fulham,W,3-0,League Division One
04 Apr 1964,Liverpool v Manchester United,L,3-0,League Division One
06 Apr 1964,Manchester United v Aston Villa,W,1-0,League Division One
13 Apr 1964,Manchester United v Sheffield United,W,2-1,League Division One
18 Apr 1964,Stoke City v Manchester United,L,3-1,League Division One
25 Apr 1964,Manchester United v Nottingham Forest,W,3-1,League Division One
