Date,Match,Result,Score,Competition
14 Aug 1965,Manchester United v Liverpool,D,2-2,FA Charity Shield
21 Aug 1965,Manchester United v Sheffield Wednesday,W,1-0,League Division One
24 Aug 1965,Nottingham Forest v Manchester United,L,4-2,League Division One
28 Aug 1965,Northampton Town v Manchester United,D,1-1,League Division One
01 Sep 1965,Manchester United v Nottingham Forest,D,0-0,League Division One
04 Sep 1965,Manchester United v Stoke City,D,1-1,League Division One
08 Sep 1965,Newcastle United v Manchester United,W,1-2,League Division One
11 Sep 1965,Burnley v Manchester United,L,3-0,League Division One
15 Sep 1965,Manchester United v Newcastle United,D,1-1,League Division One
18 Sep 1965,Manchester United v Chelsea,W,4-1,League Division One
22 Sep 1965,HJK Helsinki v Manchester United,W,2-3,European Cup
25 Sep 1965,Arsenal v Manchester United,L,4-2,League Division One
06 Oct 1965,Manchester United v HJK Helsinki,W,6-0Agg: 9-2,European Cup
09 Oct 1965,Manchester United v Liverpool,W,2-0,League Division One
16 Oct 1965,Tottenham Hotspur v Manchester United,L,5-1,League Division One
23 Oct 1965,Manchester United v Fulham,W,4-1,League Division One
30 Oct 1965,Blackpool v Manchester United,W,1-2,League Division One
06 Nov 1965,Manchester United v Blackburn Rovers,D,2-2,League Division One
13 Nov 1965,Leicester City v Manchester United,W,0-5,League Division One
17 Nov 1965,ASK Vorwärts Berlin v Manchester United,W,0-2,European Cup
20 Nov 1965,Manchester United v Sheffield United,W,3-1,League Division One
01 Dec 1965,Manchester United v ASK Vorwärts Berlin,W,3-1Agg: 5-1,European Cup
04 Dec 1965,Manchester United v West Ham United,D,0-0,League Division One
11 Dec 1965,Sunderland v Manchester United,W,2-3,League Division One
15 Dec 1965,Manchester United v Everton,W,3-0,League Division One
18 Dec 1965,Manchester United v Tottenham Hotspur,W,5-1,League Division One
27 Dec 1965,Manchester United v West Bromwich Albion,D,1-1,League Division One
01 Jan 1966,Liverpool v Manchester United,L,2-1,League Division One
08 Jan 1966,Manchester United v Sunderland,D,1-1,League Division One
12 Jan 1966,Leeds United v Manchester United,D,1-1,League Division One
15 Jan 1966,Fulham v Manchester United,W,0-1,League Division One
22 Jan 1966,Derby County v Manchester United,W,2-5,FA Cup
29 Jan 1966,Sheffield Wednesday v Manchester United,D,0-0,League Division One
02 Feb 1966,Manchester United v Benfica,W,3-2,European Cup
05 Feb 1966,Manchester United v Northampton Town,W,6-2,League Division One
12 Feb 1966,Manchester United v Rotherham United,D,0-0,FA Cup
15 Feb 1966,Rotherham United v Manchester United,W,0-1,FA Cup
19 Feb 1966,Stoke City v Manchester United,D,2-2,League Division One
26 Feb 1966,Manchester United v Burnley,W,4-2,League Division One
05 Mar 1966,Wolverhampton Wanderers v Manchester United,W,2-4,FA Cup
09 Mar 1966,Benfica v Manchester United,W,1-5Agg: 3-8,European Cup
12 Mar 1966,Chelsea v Manchester United,L,2-0,League Division One
19 Mar 1966,Manchester United v Arsenal,W,2-1,League Division One
26 Mar 1966,Preston North End v Manchester United,D,1-1,FA Cup
30 Mar 1966,Manchester United v Preston North End,W,3-1,FA Cup
06 Apr 1966,Aston Villa v Manchester United,D,1-1,League Division One
09 Apr 1966,Manchester United v Leicester City,L,1-2,League Division One
13 Apr 1966,Partizan Belgrade v Manchester United,L,2-0,European Cup
16 Apr 1966,Sheffield United v Manchester United,L,3-1,League Division One
20 Apr 1966,Manchester United v Partizan Belgrade,W,1-0Agg: 1-2,European Cup
23 Apr 1966,Everton v Manchester United,L,1-0,FA Cup
25 Apr 1966,Everton v Manchester United,D,0-0,League Division One
27 Apr 1966,Manchester United v Blackpool,W,2-1,League Division One
30 Apr 1966,West Ham United v Manchester United,L,3-2,League Division One
04 May 1966,West Bromwich Albion v Manchester United,D,3-3,League Division One
07 May 1966,Blackburn Rovers v Manchester United,W,1-4,League Division One
09 May 1966,Manchester United v Aston Villa,W,6-1,League Division One
19 May 1966,Manchester United v Leeds United,D,1-1,League Division One
