Date,Match,Result,Score,Competition
05 Aug 2007,Chelsea v Manchester United,W,1-1 (0-3),FA Community Shield
12 Aug 2007,Manchester United v Reading,D,0-0,Premier League
15 Aug 2007,Portsmouth v Manchester United,D,1-1,Premier League
19 Aug 2007,Manchester City v Manchester United,L,1-0,Premier League
26 Aug 2007,Manchester United v Tottenham Hotspur,W,1-0,Premier League
01 Sep 2007,Manchester United v Sunderland,W,1-0,Premier League
15 Sep 2007,Everton v Manchester United,W,0-1,Premier League
19 Sep 2007,Sporting Lisboa v Manchester United,W,0-1,UEFA Champions League
23 Sep 2007,Manchester United v Chelsea,W,2-0,Premier League
26 Sep 2007,Manchester United v Coventry City,L,0-2,League Cup
29 Sep 2007,Birmingham City v Manchester United,W,0-1,Premier League
02 Oct 2007,Manchester United v AS Roma,W,1-0,UEFA Champions League
06 Oct 2007,Manchester United v Wigan Athletic,W,4-0,Premier League
20 Oct 2007,Aston Villa v Manchester United,W,1-4,Premier League
23 Oct 2007,Dynamo Kiev v Manchester United,W,2-4,UEFA Champions League
27 Oct 2007,Manchester United v Middlesbrough,W,4-1,Premier League
03 Nov 2007,Arsenal v Manchester United,D,2-2,Premier League
07 Nov 2007,Manchester United v Dynamo Kiev,W,4-0,UEFA Champions League
11 Nov 2007,Manchester United v Blackburn Rovers,W,2-0,Premier League
24 Nov 2007,Bolton Wanderers v Manchester United,L,1-0,Premier League
27 Nov 2007,Manchester United v Sporting Lisboa,W,2-1,UEFA Champions League
03 Dec 2007,Manchester United v Fulham,W,2-0,Premier League
08 Dec 2007,Manchester United v Derby County,W,4-1,Premier League
12 Dec 2007,AS Roma v Manchester United,D,1-1,UEFA Champions League
16 Dec 2007,Liverpool v Manchester United,W,0-1,Premier League
23 Dec 2007,Manchester United v Everton,W,2-1,Premier League
26 Dec 2007,Sunderland v Manchester United,W,0-4,Premier League
29 Dec 2007,West Ham United v Manchester United,L,2-1,Premier League
01 Jan 2008,Manchester United v Birmingham City,W,1-0,Premier League
05 Jan 2008,Aston Villa v Manchester United,W,0-2,FA Cup
12 Jan 2008,Manchester United v Newcastle United,W,6-0,Premier League
19 Jan 2008,Reading v Manchester United,W,0-2,Premier League
27 Jan 2008,Manchester United v Tottenham Hotspur,W,3-1,FA Cup
30 Jan 2008,Manchester United v Portsmouth,W,2-0,Premier League
02 Feb 2008,Tottenham Hotspur v Manchester United,D,1-1,Premier League
10 Feb 2008,Manchester United v Manchester City,L,1-2,Premier League
16 Feb 2008,Manchester United v Arsenal,W,4-0,FA Cup
20 Feb 2008,Olympique Lyonnais v Manchester United,D,1-1,UEFA Champions League
23 Feb 2008,Newcastle United v Manchester United,W,1-5,Premier League
01 Mar 2008,Fulham v Manchester United,W,0-3,Premier League
04 Mar 2008,Manchester United v Olympique Lyonnais,W,1-0Agg: 2-1,UEFA Champions League
08 Mar 2008,Manchester United v Portsmouth,L,0-1,FA Cup
15 Mar 2008,Derby County v Manchester United,W,0-1,Premier League
19 Mar 2008,Manchester United v Bolton Wanderers,W,2-0,Premier League
23 Mar 2008,Manchester United v Liverpool,W,3-0,Premier League
29 Mar 2008,Manchester United v Aston Villa,W,4-0,Premier League
01 Apr 2008,AS Roma v Manchester United,W,0-2,UEFA Champions League
06 Apr 2008,Middlesbrough v Manchester United,D,2-2,Premier League
09 Apr 2008,Manchester United v AS Roma,W,1-0Agg: 3-0,UEFA Champions League
13 Apr 2008,Manchester United v Arsenal,W,2-1,Premier League
19 Apr 2008,Blackburn Rovers v Manchester United,D,1-1,Premier League
23 Apr 2008,Barcelona v Manchester United,D,0-0,UEFA Champions League
26 Apr 2008,Chelsea v Manchester United,L,2-1,Premier League
29 Apr 2008,Manchester United v Barcelona,W,1-0Agg: 1-0,UEFA Champions League
03 May 2008,Manchester United v West Ham United,W,4-1,Premier League
11 May 2008,Wigan Athletic v Manchester United,W,0-2,Premier League
21 May 2008,Chelsea v Manchester United,W,1-1 (5-6),UEFA Champions League
