Date,Match,Result,Score,Competition
08 Aug 2004,Arsenal v Manchester United,L,3-1,FA Community Shield
11 Aug 2004,Dinamo Bucuresti v Manchester United,W,1-2,UEFA Champions League
15 Aug 2004,Chelsea v Manchester United,L,1-0,Premier League
21 Aug 2004,Manchester United v Norwich City,W,2-1,Premier League
25 Aug 2004,Manchester United v Dinamo Bucuresti,W,3-0Agg: 5-1,UEFA Champions League
28 Aug 2004,Blackburn Rovers v Manchester United,D,1-1,Premier League
30 Aug 2004,Manchester United v Everton,D,0-0,Premier League
11 Sep 2004,Bolton Wanderers v Manchester United,D,2-2,Premier League
15 Sep 2004,Olympique Lyonnais v Manchester United,D,2-2,UEFA Champions League
20 Sep 2004,Manchester United v Liverpool,W,2-1,Premier League
25 Sep 2004,Tottenham Hotspur v Manchester United,W,0-1,Premier League
28 Sep 2004,Manchester United v Fenerbahçe,W,6-2,UEFA Champions League
03 Oct 2004,Manchester United v Middlesbrough,D,1-1,Premier League
16 Oct 2004,Birmingham City v Manchester United,D,0-0,Premier League
19 Oct 2004,Sparta Praha v Manchester United,D,0-0,UEFA Champions League
24 Oct 2004,Manchester United v Arsenal,W,2-0,Premier League
26 Oct 2004,Crewe Alexandra v Manchester United,W,0-3,League Cup
30 Oct 2004,Portsmouth v Manchester United,L,2-0,Premier League
03 Nov 2004,Manchester United v Sparta Praha,W,4-1,UEFA Champions League
07 Nov 2004,Manchester United v Manchester City,D,0-0,Premier League
10 Nov 2004,Manchester United v Crystal Palace,W,2-0,League Cup
14 Nov 2004,Newcastle United v Manchester United,W,1-3,Premier League
20 Nov 2004,Manchester United v Charlton Athletic,W,2-0,Premier League
23 Nov 2004,Manchester United v Olympique Lyonnais,W,2-1,UEFA Champions League
27 Nov 2004,West Bromwich Albion v Manchester United,W,0-3,Premier League
01 Dec 2004,Manchester United v Arsenal,W,1-0,League Cup
04 Dec 2004,Manchester United v Southampton,W,3-0,Premier League
08 Dec 2004,Fenerbahçe v Manchester United,L,3-0,UEFA Champions League
13 Dec 2004,Fulham v Manchester United,D,1-1,Premier League
18 Dec 2004,Manchester United v Crystal Palace,W,5-2,Premier League
26 Dec 2004,Manchester United v Bolton Wanderers,W,2-0,Premier League
28 Dec 2004,Aston Villa v Manchester United,W,0-1,Premier League
01 Jan 2005,Middlesbrough v Manchester United,W,0-2,Premier League
04 Jan 2005,Manchester United v Tottenham Hotspur,D,0-0,Premier League
08 Jan 2005,Manchester United v Exeter City,D,0-0,FA Cup
12 Jan 2005,Chelsea v Manchester United,D,0-0,League Cup
15 Jan 2005,Liverpool v Manchester United,W,0-1,Premier League
19 Jan 2005,Exeter City v Manchester United,W,0-2,FA Cup
22 Jan 2005,Manchester United v Aston Villa,W,3-1,Premier League
26 Jan 2005,Manchester United v Chelsea,L,1-2Agg: 1-2,League Cup
29 Jan 2005,Manchester United v Middlesbrough,W,3-0,FA Cup
01 Feb 2005,Arsenal v Manchester United,W,2-4,Premier League
05 Feb 2005,Manchester United v Birmingham City,W,2-0,Premier League
13 Feb 2005,Manchester City v Manchester United,W,0-2,Premier League
19 Feb 2005,Everton v Manchester United,W,0-2,FA Cup
23 Feb 2005,Manchester United v AC Milan,L,0-1,UEFA Champions League
26 Feb 2005,Manchester United v Portsmouth,W,2-1,Premier League
05 Mar 2005,Crystal Palace v Manchester United,D,0-0,Premier League
08 Mar 2005,AC Milan v Manchester United,L,1-0Agg: 2-0,UEFA Champions League
12 Mar 2005,Southampton v Manchester United,W,0-4,FA Cup
19 Mar 2005,Manchester United v Fulham,W,1-0,Premier League
02 Apr 2005,Manchester United v Blackburn Rovers,D,0-0,Premier League
09 Apr 2005,Norwich City v Manchester United,L,2-0,Premier League
17 Apr 2005,Manchester United v Newcastle United,W,4-1,FA Cup
20 Apr 2005,Everton v Manchester United,L,1-0,Premier League
24 Apr 2005,Manchester United v Newcastle United,W,2-1,Premier League
01 May 2005,Charlton Athletic v Manchester United,W,0-4,Premier League
07 May 2005,Manchester United v West Bromwich Albion,D,1-1,Premier League
10 May 2005,Manchester United v Chelsea,L,1-3,Premier League
15 May 2005,Southampton v Manchester United,W,1-2,Premier League
21 May 2005,Arsenal v Manchester United,L,0-0 (5-4),FA Cup
