Date,Match,Result,Score,Competition
10 Aug 1985,Everton v Manchester United,L,2-0,FA Charity Shield
17 Aug 1985,Manchester United v Aston Villa,W,4-0,League Division One
20 Aug 1985,Ipswich Town v Manchester United,W,0-1,League Division One
24 Aug 1985,Arsenal v Manchester United,W,1-2,League Division One
26 Aug 1985,Manchester United v West Ham United,W,2-0,League Division One
31 Aug 1985,Nottingham Forest v Manchester United,W,1-3,League Division One
04 Sep 1985,Manchester United v Newcastle United,W,3-0,League Division One
07 Sep 1985,Manchester United v Oxford United,W,3-0,League Division One
14 Sep 1985,Manchester City v Manchester United,W,0-3,League Division One
18 Sep 1985,Manchester United v Everton,L,2-4,Screen Sports Super Cup
21 Sep 1985,West Bromwich Albion v Manchester United,W,1-5,League Division One
24 Sep 1985,Crystal Palace v Manchester United,W,0-1,League Cup
28 Sep 1985,Manchester United v Southampton,W,1-0,League Division One
05 Oct 1985,Luton Town v Manchester United,D,1-1,League Division One
08 Oct 1985,Manchester United v Crystal Palace,W,1-0Agg: 2-0,League Cup
12 Oct 1985,Manchester United v Queens Park Rangers,W,2-0,League Division One
19 Oct 1985,Manchester United v Liverpool,D,1-1,League Division One
26 Oct 1985,Chelsea v Manchester United,W,1-2,League Division One
29 Oct 1985,Manchester United v West Ham United,W,1-0,League Cup
02 Nov 1985,Manchester United v Coventry City,W,2-0,League Division One
06 Nov 1985,Manchester United v Norwich City,D,1-1,Screen Sports Super Cup
09 Nov 1985,Sheffield Wednesday v Manchester United,L,1-0,League Division One
16 Nov 1985,Manchester United v Tottenham Hotspur,D,0-0,League Division One
23 Nov 1985,Leicester City v Manchester United,L,3-0,League Division One
26 Nov 1985,Liverpool v Manchester United,L,2-1,League Cup
30 Nov 1985,Manchester United v Watford,D,1-1,League Division One
04 Dec 1985,Everton v Manchester United,L,1-0,Screen Sports Super Cup
07 Dec 1985,Manchester United v Ipswich Town,W,1-0,League Division One
11 Dec 1985,Norwich City v Manchester United,D,1-1,Screen Sports Super Cup
14 Dec 1985,Aston Villa v Manchester United,W,1-3,League Division One
21 Dec 1985,Manchester United v Arsenal,L,0-1,League Division One
26 Dec 1985,Everton v Manchester United,L,3-1,League Division One
01 Jan 1986,Manchester United v Birmingham City,W,1-0,League Division One
09 Jan 1986,Manchester United v Rochdale,W,2-0,FA Cup
11 Jan 1986,Oxford United v Manchester United,W,1-3,League Division One
18 Jan 1986,Manchester United v Nottingham Forest,L,2-3,League Division One
25 Jan 1986,Sunderland v Manchester United,D,0-0,FA Cup
29 Jan 1986,Manchester United v Sunderland,W,3-0,FA Cup
02 Feb 1986,West Ham United v Manchester United,L,2-1,League Division One
09 Feb 1986,Liverpool v Manchester United,D,1-1,League Division One
22 Feb 1986,Manchester United v West Bromwich Albion,W,3-0,League Division One
01 Mar 1986,Southampton v Manchester United,L,1-0,League Division One
05 Mar 1986,West Ham United v Manchester United,D,1-1,FA Cup
09 Mar 1986,Manchester United v West Ham United,L,0-2,FA Cup
15 Mar 1986,Queens Park Rangers v Manchester United,L,1-0,League Division One
19 Mar 1986,Manchester United v Luton Town,W,2-0,League Division One
22 Mar 1986,Manchester United v Manchester City,D,2-2,League Division One
29 Mar 1986,Birmingham City v Manchester United,D,1-1,League Division One
31 Mar 1986,Manchester United v Everton,D,0-0,League Division One
05 Apr 1986,Coventry City v Manchester United,W,1-3,League Division One
09 Apr 1986,Manchester United v Chelsea,L,1-2,League Division One
13 Apr 1986,Manchester United v Sheffield Wednesday,L,0-2,League Division One
16 Apr 1986,Newcastle United v Manchester United,W,2-4,League Division One
19 Apr 1986,Tottenham Hotspur v Manchester United,D,0-0,League Division One
26 Apr 1986,Manchester United v Leicester City,W,4-0,League Division One
03 May 1986,Watford v Manchester United,D,1-1,League Division One
