Date,Match,Result,Score,Competition
10 Aug 2024,Manchester United v Manchester City,L,1-1 (6-7),FA Community Shield
16 Aug 2024,Manchester United v Fulham,W,1-0,Premier League
24 Aug 2024,Brighton and Hove Albion v Manchester United,L,2-1,Premier League
01 Sep 2024,Manchester United v Liverpool,L,0-3,Premier League
14 Sep 2024,Southampton v Manchester United,W,0-3,Premier League
17 Sep 2024,Manchester United v Barnsley,W,7-0,League Cup
21 Sep 2024,Crystal Palace v Manchester United,D,0-0,Premier League
25 Sep 2024,Manchester United v FC Twente,D,1-1,UEFA Europa League
29 Sep 2024,Manchester United v Tottenham Hotspur,L,0-3,Premier League
03 Oct 2024,FC Porto v Manchester United,D,3-3,UEFA Europa League
06 Oct 2024,Aston Villa v Manchester United,D,0-0,Premier League
19 Oct 2024,Manchester United v Brentford,W,2-1,Premier League
24 Oct 2024,Fenerbahce v Manchester United,D,1-1,UEFA Europa League
27 Oct 2024,West Ham United v Manchester United,L,2-1,Premier League
30 Oct 2024,Manchester United v Leicester City,W,5-2,League Cup
03 Nov 2024,Manchester United v Chelsea,D,1-1,Premier League
07 Nov 2024,Manchester United v PAOK Salonika,W,2-0,UEFA Europa League
10 Nov 2024,Manchester United v Leicester City,W,3-0,Premier League
24 Nov 2024,Ipswich Town v Manchester United,D,1-1,Premier League
28 Nov 2024,Manchester United v FK Bodo Glimt,W,3-2,UEFA Europa League
01 Dec 2024,Manchester United v Everton,W,4-0,Premier League
04 Dec 2024,Arsenal v Manchester United,L,2-0,Premier League
07 Dec 2024,Manchester United v Nottingham Forest,L,2-3,Premier League
12 Dec 2024,Viktoria Plzen v Manchester United,W,1-2,UEFA Europa League
15 Dec 2024,Manchester City v Manchester United,W,1-2,Premier League
19 Dec 2024,Tottenham Hotspur v Manchester United,L,4-3,League Cup
22 Dec 2024,Manchester United v AFC Bournemouth,L,0-3,Premier League
26 Dec 2024,Wolverhampton Wanderers v Manchester United,L,2-0,Premier League
30 Dec 2024,Manchester United v Newcastle United,L,0-2,Premier League
05 Jan 2025,Liverpool v Manchester United,D,2-2,Premier League
12 Jan 2025,Arsenal v Manchester United,W,1-1 (3-5),FA Cup
16 Jan 2025,Manchester United v Southampton,W,3-1,Premier League
19 Jan 2025,Manchester United v Brighton and Hove Albion,L,1-3,Premier League
23 Jan 2025,Manchester United v Rangers,W,2-1,UEFA Europa League
26 Jan 2025,Fulham v Manchester United,W,0-1,Premier League
30 Jan 2025,FCSB v Manchester United,W,0-2,UEFA Europa League
02 Feb 2025,Manchester United v Crystal Palace,L,0-2,Premier League
