Date,Match,Result,Score,Competition
01 Aug 1970,Reading v Manchester United,W,2-3,Watney Cup
05 Aug 1970,Hull City v Manchester United,W,1-1 (3-4),Watney Cup
08 Aug 1970,Derby County v Manchester United,L,4-1,Watney Cup
15 Aug 1970,Manchester United v Leeds United,L,0-1,League Division One
19 Aug 1970,Manchester United v Chelsea,D,0-0,League Division One
22 Aug 1970,Arsenal v Manchester United,L,4-0,League Division One
25 Aug 1970,Burnley v Manchester United,W,0-2,League Division One
29 Aug 1970,Manchester United v West Ham United,D,1-1,League Division One
02 Sep 1970,Manchester United v Everton,W,2-0,League Division One
05 Sep 1970,Liverpool v Manchester United,D,1-1,League Division One
09 Sep 1970,Aldershot v Manchester United,W,1-3,League Cup
12 Sep 1970,Manchester United v Coventry City,W,2-0,League Division One
19 Sep 1970,Ipswich Town v Manchester United,L,4-0,League Division One
26 Sep 1970,Manchester United v Blackpool,D,1-1,League Division One
03 Oct 1970,Wolverhampton Wanderers v Manchester United,L,3-2,League Division One
07 Oct 1970,Manchester United v Portsmouth,W,1-0,League Cup
10 Oct 1970,Manchester United v Crystal Palace,L,0-1,League Division One
17 Oct 1970,Leeds United v Manchester United,D,2-2,League Division One
24 Oct 1970,Manchester United v West Bromwich Albion,W,2-1,League Division One
28 Oct 1970,Manchester United v Chelsea,W,2-1,League Cup
31 Oct 1970,Newcastle United v Manchester United,L,1-0,League Division One
07 Nov 1970,Manchester United v Stoke City,D,2-2,League Division One
14 Nov 1970,Nottingham Forest v Manchester United,W,1-2,League Division One
18 Nov 1970,Manchester United v Crystal Palace,W,4-2,League Cup
21 Nov 1970,Southampton v Manchester United,L,1-0,League Division One
28 Nov 1970,Manchester United v Huddersfield Town,D,1-1,League Division One
05 Dec 1970,Tottenham Hotspur v Manchester United,D,2-2,League Division One
12 Dec 1970,Manchester United v Manchester City,L,1-4,League Division One
16 Dec 1970,Manchester United v Aston Villa,D,1-1,League Cup
19 Dec 1970,Manchester United v Arsenal,L,1-3,League Division One
23 Dec 1970,Aston Villa v Manchester United,L,2-1Agg: 3-2,League Cup
26 Dec 1970,Derby County v Manchester United,D,4-4,League Division One
02 Jan 1971,Manchester United v Middlesbrough,D,0-0,FA Cup
05 Jan 1971,Middlesbrough v Manchester United,L,2-1,FA Cup
09 Jan 1971,Chelsea v Manchester United,W,1-2,League Division One
16 Jan 1971,Manchester United v Burnley,D,1-1,League Division One
30 Jan 1971,Huddersfield Town v Manchester United,W,1-2,League Division One
06 Feb 1971,Manchester United v Tottenham Hotspur,W,2-1,League Division One
20 Feb 1971,Manchester United v Southampton,W,5-1,League Division One
23 Feb 1971,Everton v Manchester United,L,1-0,League Division One
27 Feb 1971,Manchester United v Newcastle United,W,1-0,League Division One
06 Mar 1971,West Bromwich Albion v Manchester United,L,4-3,League Division One
13 Mar 1971,Manchester United v Nottingham Forest,W,2-0,League Division One
20 Mar 1971,Stoke City v Manchester United,W,1-2,League Division One
03 Apr 1971,West Ham United v Manchester United,L,2-1,League Division One
10 Apr 1971,Manchester United v Derby County,L,1-2,League Division One
12 Apr 1971,Manchester United v Wolverhampton Wanderers,W,1-0,League Division One
13 Apr 1971,Coventry City v Manchester United,L,2-1,League Division One
17 Apr 1971,Crystal Palace v Manchester United,W,3-5,League Division One
19 Apr 1971,Manchester United v Liverpool,L,0-2,League Division One
24 Apr 1971,Manchester United v Ipswich Town,W,3-2,League Division One
01 May 1971,Blackpool v Manchester United,D,1-1,League Division One
05 May 1971,Manchester City v Manchester United,W,3-4,League Division One
