Date,Match,Result,Score,Competition
08 Sep 1894,Burton Wanderers v Newton Heath,L,1-0,League Division Two
15 Sep 1894,Newton Heath v Crewe Alexandra,W,6-1,League Division Two
22 Sep 1894,Leicester Fosse v Newton Heath,W,2-3,League Division Two
06 Oct 1894,Darwen v Newton Heath,D,1-1,League Division Two
13 Oct 1894,Newton Heath v Woolwich Arsenal,D,3-3,League Division Two
20 Oct 1894,Burton Swifts v Newton Heath,W,1-2,League Division Two
27 Oct 1894,Newton Heath v Leicester Fosse,D,2-2,League Division Two
03 Nov 1894,Manchester City v Newton Heath,W,2-5,League Division Two
10 Nov 1894,Newton Heath v Rotherham Town,W,3-2,League Division Two
17 Nov 1894,Grimsby Town v Newton Heath,L,2-1,League Division Two
24 Nov 1894,Newton Heath v Darwen,D,1-1,League Division Two
01 Dec 1894,Crewe Alexandra v Newton Heath,W,0-2,League Division Two
08 Dec 1894,Newton Heath v Burton Swifts,W,5-1,League Division Two
15 Dec 1894,Notts County v Newton Heath,D,1-1,League Division Two
22 Dec 1894,Newton Heath v Lincoln City,W,3-0,League Division Two
24 Dec 1894,Burslem Port Vale v Newton Heath,W,2-5,League Division Two
26 Dec 1894,Walsall Town Swifts v Newton Heath,W,1-2,League Division Two
29 Dec 1894,Lincoln City v Newton Heath,L,3-0,League Division Two
01 Jan 1895,Newton Heath v Burslem Port Vale,W,3-0,League Division Two
05 Jan 1895,Newton Heath v Manchester City,W,4-1,League Division Two
12 Jan 1895,Rotherham Town v Newton Heath,L,2-1,League Division Two
02 Feb 1895,Newton Heath v Stoke,L,2-3,FA Cup
02 Mar 1895,Newton Heath v Burton Wanderers,D,1-1,League Division Two
23 Mar 1895,Newton Heath v Grimsby Town,W,2-0,League Division Two
30 Mar 1895,Woolwich Arsenal v Newton Heath,L,3-2,League Division Two
03 Apr 1895,Newton Heath v Walsall Town Swifts,W,9-0,League Division Two
06 Apr 1895,Newton Heath v Newcastle United,W,5-1,League Division Two
12 Apr 1895,Newton Heath v Bury,D,2-2,League Division Two
13 Apr 1895,Newcastle United v Newton Heath,L,3-0,League Division Two
15 Apr 1895,Bury v Newton Heath,L,2-1,League Division Two
20 Apr 1895,Newton Heath v Notts County,D,3-3,League Division Two
27 Apr 1895,Stoke v Newton Heath,L,3-0,Test Match
