Date,Match,Result,Score,Competition
20 Aug 1955,Birmingham City v Manchester United,D,2-2,League Division One
24 Aug 1955,Manchester United v Tottenham Hotspur,D,2-2,League Division One
27 Aug 1955,Manchester United v West Bromwich Albion,W,3-1,League Division One
31 Aug 1955,Tottenham Hotspur v Manchester United,W,1-2,League Division One
03 Sep 1955,Manchester City v Manchester United,L,1-0,League Division One
07 Sep 1955,Manchester United v Everton,W,2-1,League Division One
10 Sep 1955,Sheffield United v Manchester United,L,1-0,League Division One
14 Sep 1955,Everton v Manchester United,L,4-2,League Division One
17 Sep 1955,Manchester United v Preston North End,W,3-2,League Division One
24 Sep 1955,Burnley v Manchester United,D,0-0,League Division One
01 Oct 1955,Manchester United v Luton Town,W,3-1,League Division One
08 Oct 1955,Manchester United v Wolverhampton Wanderers,W,4-3,League Division One
15 Oct 1955,Aston Villa v Manchester United,D,4-4,League Division One
22 Oct 1955,Manchester United v Huddersfield Town,W,3-0,League Division One
29 Oct 1955,Cardiff City v Manchester United,W,0-1,League Division One
05 Nov 1955,Manchester United v Arsenal,D,1-1,League Division One
12 Nov 1955,Bolton Wanderers v Manchester United,L,3-1,League Division One
19 Nov 1955,Manchester United v Chelsea,W,3-0,League Division One
26 Nov 1955,Blackpool v Manchester United,D,0-0,League Division One
03 Dec 1955,Manchester United v Sunderland,W,2-1,League Division One
10 Dec 1955,Portsmouth v Manchester United,L,3-2,League Division One
17 Dec 1955,Manchester United v Birmingham City,W,2-1,League Division One
24 Dec 1955,West Bromwich Albion v Manchester United,W,1-4,League Division One
26 Dec 1955,Manchester United v Charlton Athletic,W,5-1,League Division One
27 Dec 1955,Charlton Athletic v Manchester United,L,3-0,League Division One
31 Dec 1955,Manchester United v Manchester City,W,2-1,League Division One
07 Jan 1956,Bristol Rovers v Manchester United,L,4-0,FA Cup
14 Jan 1956,Manchester United v Sheffield United,W,3-1,League Division One
21 Jan 1956,Preston North End v Manchester United,L,3-1,League Division One
04 Feb 1956,Manchester United v Burnley,W,2-0,League Division One
11 Feb 1956,Luton Town v Manchester United,W,0-2,League Division One
18 Feb 1956,Wolverhampton Wanderers v Manchester United,W,0-2,League Division One
25 Feb 1956,Manchester United v Aston Villa,W,1-0,League Division One
03 Mar 1956,Chelsea v Manchester United,W,2-4,League Division One
10 Mar 1956,Manchester United v Cardiff City,D,1-1,League Division One
17 Mar 1956,Arsenal v Manchester United,D,1-1,League Division One
24 Mar 1956,Manchester United v Bolton Wanderers,W,1-0,League Division One
30 Mar 1956,Manchester United v Newcastle United,W,5-2,League Division One
31 Mar 1956,Huddersfield Town v Manchester United,W,0-2,League Division One
02 Apr 1956,Newcastle United v Manchester United,D,0-0,League Division One
07 Apr 1956,Manchester United v Blackpool,W,2-1,League Division One
14 Apr 1956,Sunderland v Manchester United,D,2-2,League Division One
21 Apr 1956,Manchester United v Portsmouth,W,1-0,League Division One
