Date,Match,Result,Score,Competition
09 Aug 1998,Arsenal v Manchester United,L,3-0,FA Charity Shield
12 Aug 1998,Manchester United v LKS Lódz,W,2-0,UEFA Champions League
15 Aug 1998,Manchester United v Leicester City,D,2-2,Premier League
22 Aug 1998,West Ham United v Manchester United,D,0-0,Premier League
26 Aug 1998,LKS Lódz v Manchester United,D,0-0Agg: 0-2,UEFA Champions League
09 Sep 1998,Manchester United v Charlton Athletic,W,4-1,Premier League
12 Sep 1998,Manchester United v Coventry City,W,2-0,Premier League
16 Sep 1998,Manchester United v Barcelona,D,3-3,UEFA Champions League
20 Sep 1998,Arsenal v Manchester United,L,3-0,Premier League
24 Sep 1998,Manchester United v Liverpool,W,2-0,Premier League
30 Sep 1998,Bayern München v Manchester United,D,2-2,UEFA Champions League
03 Oct 1998,Southampton v Manchester United,W,0-3,Premier League
17 Oct 1998,Manchester United v Wimbledon,W,5-1,Premier League
21 Oct 1998,Brøndby v Manchester United,W,2-6,UEFA Champions League
24 Oct 1998,Derby County v Manchester United,D,1-1,Premier League
28 Oct 1998,Manchester United v Bury,W,2-0,League Cup
31 Oct 1998,Everton v Manchester United,W,1-4,Premier League
04 Nov 1998,Manchester United v Brøndby,W,5-0,UEFA Champions League
08 Nov 1998,Manchester United v Newcastle United,D,0-0,Premier League
11 Nov 1998,Manchester United v Nottingham Forest,W,2-1,League Cup
14 Nov 1998,Manchester United v Blackburn Rovers,W,3-2,Premier League
21 Nov 1998,Sheffield Wednesday v Manchester United,L,3-1,Premier League
25 Nov 1998,Barcelona v Manchester United,D,3-3,UEFA Champions League
29 Nov 1998,Manchester United v Leeds United,W,3-2,Premier League
02 Dec 1998,Tottenham Hotspur v Manchester United,L,3-1,League Cup
05 Dec 1998,Aston Villa v Manchester United,D,1-1,Premier League
09 Dec 1998,Manchester United v Bayern München,D,1-1,UEFA Champions League
12 Dec 1998,Tottenham Hotspur v Manchester United,D,2-2,Premier League
16 Dec 1998,Manchester United v Chelsea,D,1-1,Premier League
19 Dec 1998,Manchester United v Middlesbrough,L,2-3,Premier League
26 Dec 1998,Manchester United v Nottingham Forest,W,3-0,Premier League
29 Dec 1998,Chelsea v Manchester United,D,0-0,Premier League
03 Jan 1999,Manchester United v Middlesbrough,W,3-1,FA Cup
10 Jan 1999,Manchester United v West Ham United,W,4-1,Premier League
16 Jan 1999,Leicester City v Manchester United,W,2-6,Premier League
24 Jan 1999,Manchester United v Liverpool,W,2-1,FA Cup
31 Jan 1999,Charlton Athletic v Manchester United,W,0-1,Premier League
03 Feb 1999,Manchester United v Derby County,W,1-0,Premier League
06 Feb 1999,Nottingham Forest v Manchester United,W,1-8,Premier League
14 Feb 1999,Manchester United v Fulham,W,1-0,FA Cup
17 Feb 1999,Manchester United v Arsenal,D,1-1,Premier League
20 Feb 1999,Coventry City v Manchester United,W,0-1,Premier League
27 Feb 1999,Manchester United v Southampton,W,2-1,Premier League
03 Mar 1999,Manchester United v Inter Milano,W,2-0,UEFA Champions League
07 Mar 1999,Manchester United v Chelsea,D,0-0,FA Cup
10 Mar 1999,Chelsea v Manchester United,W,0-2,FA Cup
13 Mar 1999,Newcastle United v Manchester United,W,1-2,Premier League
17 Mar 1999,Inter Milano v Manchester United,D,1-1Agg: 1-3,UEFA Champions League
21 Mar 1999,Manchester United v Everton,W,3-1,Premier League
03 Apr 1999,Wimbledon v Manchester United,D,1-1,Premier League
07 Apr 1999,Manchester United v Juventus,D,1-1,UEFA Champions League
11 Apr 1999,Manchester United v Arsenal,D,0-0,FA Cup
14 Apr 1999,Arsenal v Manchester United,W,1-2,FA Cup
17 Apr 1999,Manchester United v Sheffield Wednesday,W,3-0,Premier League
21 Apr 1999,Juventus v Manchester United,W,2-3Agg: 3-4,UEFA Champions League
25 Apr 1999,Leeds United v Manchester United,D,1-1,Premier League
01 May 1999,Manchester United v Aston Villa,W,2-1,Premier League
05 May 1999,Liverpool v Manchester United,D,2-2,Premier League
09 May 1999,Middlesbrough v Manchester United,W,0-1,Premier League
12 May 1999,Blackburn Rovers v Manchester United,D,0-0,Premier League
16 May 1999,Manchester United v Tottenham Hotspur,W,2-1,Premier League
22 May 1999,Manchester United v Newcastle United,W,2-0,FA Cup
26 May 1999,Manchester United v Bayern München,W,2-1,UEFA Champions League
