Date,Match,Result,Score,Competition
17 Aug 1991,Manchester United v Notts County,W,2-0,League Division One
21 Aug 1991,Aston Villa v Manchester United,W,0-1,League Division One
24 Aug 1991,Everton v Manchester United,D,0-0,League Division One
28 Aug 1991,Manchester United v Oldham Athletic,W,1-0,League Division One
31 Aug 1991,Manchester United v Leeds United,D,1-1,League Division One
03 Sep 1991,Wimbledon v Manchester United,W,1-2,League Division One
07 Sep 1991,Manchester United v Norwich City,W,3-0,League Division One
14 Sep 1991,Southampton v Manchester United,W,0-1,League Division One
18 Sep 1991,Athinaikos v Manchester United,D,0-0,UEFA European Cup Winners Cup
21 Sep 1991,Manchester United v Luton Town,W,5-0,League Division One
25 Sep 1991,Manchester United v Cambridge United,W,3-0,League Cup
28 Sep 1991,Tottenham Hotspur v Manchester United,W,1-2,League Division One
02 Oct 1991,Manchester United v Athinaikos,W,2-0Agg: 2-0,UEFA European Cup Winners Cup
06 Oct 1991,Manchester United v Liverpool,D,0-0,League Division One
09 Oct 1991,Cambridge United v Manchester United,D,1-1Agg: 1-4,League Cup
19 Oct 1991,Manchester United v Arsenal,D,1-1,League Division One
23 Oct 1991,Atletico Madrid v Manchester United,L,3-0,UEFA European Cup Winners Cup
26 Oct 1991,Sheffield Wednesday v Manchester United,L,3-2,League Division One
30 Oct 1991,Manchester United v Portsmouth,W,3-1,League Cup
02 Nov 1991,Manchester United v Sheffield United,W,2-0,League Division One
06 Nov 1991,Manchester United v Atletico Madrid,D,1-1Agg: 1-4,UEFA European Cup Winners Cup
16 Nov 1991,Manchester City v Manchester United,D,0-0,League Division One
19 Nov 1991,Manchester United v Crvena Zvezda,W,1-0,UEFA Super Cup
23 Nov 1991,Manchester United v West Ham United,W,2-1,League Division One
30 Nov 1991,Crystal Palace v Manchester United,W,1-3,League Division One
04 Dec 1991,Manchester United v Oldham Athletic,W,2-0,League Cup
07 Dec 1991,Manchester United v Coventry City,W,4-0,League Division One
15 Dec 1991,Chelsea v Manchester United,W,1-3,League Division One
26 Dec 1991,Oldham Athletic v Manchester United,W,3-6,League Division One
29 Dec 1991,Leeds United v Manchester United,D,1-1,League Division One
01 Jan 1992,Manchester United v Queens Park Rangers,L,1-4,League Division One
08 Jan 1992,Leeds United v Manchester United,W,1-3,League Cup
11 Jan 1992,Manchester United v Everton,W,1-0,League Division One
15 Jan 1992,Leeds United v Manchester United,W,0-1,FA Cup
18 Jan 1992,Notts County v Manchester United,D,1-1,League Division One
22 Jan 1992,Manchester United v Aston Villa,W,1-0,League Division One
27 Jan 1992,Southampton v Manchester United,D,0-0,FA Cup
01 Feb 1992,Arsenal v Manchester United,D,1-1,League Division One
05 Feb 1992,Manchester United v Southampton,L,2-2 (2-4),FA Cup
08 Feb 1992,Manchester United v Sheffield Wednesday,D,1-1,League Division One
22 Feb 1992,Manchester United v Crystal Palace,W,2-0,League Division One
26 Feb 1992,Manchester United v Chelsea,D,1-1,League Division One
29 Feb 1992,Coventry City v Manchester United,D,0-0,League Division One
04 Mar 1992,Middlesbrough v Manchester United,D,0-0,League Cup
11 Mar 1992,Manchester United v Middlesbrough,W,2-1Agg: 2-1,League Cup
14 Mar 1992,Sheffield United v Manchester United,W,1-2,League Division One
18 Mar 1992,Nottingham Forest v Manchester United,L,1-0,League Division One
21 Mar 1992,Manchester United v Wimbledon,D,0-0,League Division One
28 Mar 1992,Queens Park Rangers v Manchester United,D,0-0,League Division One
31 Mar 1992,Norwich City v Manchester United,W,1-3,League Division One
07 Apr 1992,Manchester United v Manchester City,D,1-1,League Division One
12 Apr 1992,Manchester United v Nottingham Forest,W,1-0,League Cup
16 Apr 1992,Manchester United v Southampton,W,1-0,League Division One
18 Apr 1992,Luton Town v Manchester United,D,1-1,League Division One
20 Apr 1992,Manchester United v Nottingham Forest,L,1-2,League Division One
22 Apr 1992,West Ham United v Manchester United,L,1-0,League Division One
26 Apr 1992,Liverpool v Manchester United,L,2-0,League Division One
02 May 1992,Manchester United v Tottenham Hotspur,W,3-1,League Division One
