Date,Match,Result,Score,Competition
18 Aug 1951,West Bromwich Albion v Manchester United,D,3-3,League Division One
22 Aug 1951,Manchester United v Middlesbrough,W,4-2,League Division One
25 Aug 1951,Manchester United v Newcastle United,W,2-1,League Division One
29 Aug 1951,Middlesbrough v Manchester United,W,1-4,League Division One
01 Sep 1951,Bolton Wanderers v Manchester United,L,1-0,League Division One
05 Sep 1951,Manchester United v Charlton Athletic,W,3-2,League Division One
08 Sep 1951,Manchester United v Stoke City,W,4-0,League Division One
12 Sep 1951,Charlton Athletic v Manchester United,D,2-2,League Division One
15 Sep 1951,Manchester City v Manchester United,W,1-2,League Division One
22 Sep 1951,Tottenham Hotspur v Manchester United,L,2-0,League Division One
29 Sep 1951,Manchester United v Preston North End,L,1-2,League Division One
06 Oct 1951,Manchester United v Derby County,W,2-1,League Division One
13 Oct 1951,Aston Villa v Manchester United,W,2-5,League Division One
20 Oct 1951,Manchester United v Sunderland,L,0-1,League Division One
27 Oct 1951,Wolverhampton Wanderers v Manchester United,W,0-2,League Division One
03 Nov 1951,Manchester United v Huddersfield Town,D,1-1,League Division One
10 Nov 1951,Chelsea v Manchester United,L,4-2,League Division One
17 Nov 1951,Manchester United v Portsmouth,L,1-3,League Division One
24 Nov 1951,Liverpool v Manchester United,D,0-0,League Division One
01 Dec 1951,Manchester United v Blackpool,W,3-1,League Division One
08 Dec 1951,Arsenal v Manchester United,W,1-3,League Division One
15 Dec 1951,Manchester United v West Bromwich Albion,W,5-1,League Division One
22 Dec 1951,Newcastle United v Manchester United,D,2-2,League Division One
25 Dec 1951,Manchester United v Fulham,W,3-2,League Division One
26 Dec 1951,Fulham v Manchester United,D,3-3,League Division One
29 Dec 1951,Manchester United v Bolton Wanderers,W,1-0,League Division One
05 Jan 1952,Stoke City v Manchester United,D,0-0,League Division One
12 Jan 1952,Manchester United v Hull City,L,0-2,FA Cup
19 Jan 1952,Manchester United v Manchester City,D,1-1,League Division One
26 Jan 1952,Manchester United v Tottenham Hotspur,W,2-0,League Division One
09 Feb 1952,Preston North End v Manchester United,W,1-2,League Division One
16 Feb 1952,Derby County v Manchester United,W,0-3,League Division One
01 Mar 1952,Manchester United v Aston Villa,D,1-1,League Division One
08 Mar 1952,Sunderland v Manchester United,W,1-2,League Division One
15 Mar 1952,Manchester United v Wolverhampton Wanderers,W,2-0,League Division One
22 Mar 1952,Huddersfield Town v Manchester United,L,3-2,League Division One
05 Apr 1952,Portsmouth v Manchester United,L,1-0,League Division One
11 Apr 1952,Burnley v Manchester United,D,1-1,League Division One
12 Apr 1952,Manchester United v Liverpool,W,4-0,League Division One
14 Apr 1952,Manchester United v Burnley,W,6-1,League Division One
19 Apr 1952,Blackpool v Manchester United,D,2-2,League Division One
21 Apr 1952,Manchester United v Chelsea,W,3-0,League Division One
26 Apr 1952,Manchester United v Arsenal,W,6-1,League Division One
