Date,Match,Result,Score,Competition
19 Aug 1989,Manchester United v Arsenal,W,4-1,League Division One
22 Aug 1989,Crystal Palace v Manchester United,D,1-1,League Division One
26 Aug 1989,Derby County v Manchester United,L,2-0,League Division One
30 Aug 1989,Manchester United v Norwich City,L,0-2,League Division One
09 Sep 1989,Everton v Manchester United,L,3-2,League Division One
16 Sep 1989,Manchester United v Millwall,W,5-1,League Division One
20 Sep 1989,Portsmouth v Manchester United,W,2-3,League Cup
23 Sep 1989,Manchester City v Manchester United,L,5-1,League Division One
03 Oct 1989,Manchester United v Portsmouth,D,0-0Agg: 3-2,League Cup
14 Oct 1989,Manchester United v Sheffield Wednesday,D,0-0,League Division One
21 Oct 1989,Coventry City v Manchester United,W,1-4,League Division One
25 Oct 1989,Manchester United v Tottenham Hotspur,L,0-3,League Cup
28 Oct 1989,Manchester United v Southampton,W,2-1,League Division One
04 Nov 1989,Charlton Athletic v Manchester United,L,2-0,League Division One
12 Nov 1989,Manchester United v Nottingham Forest,W,1-0,League Division One
18 Nov 1989,Luton Town v Manchester United,W,1-3,League Division One
25 Nov 1989,Manchester United v Chelsea,D,0-0,League Division One
03 Dec 1989,Arsenal v Manchester United,L,1-0,League Division One
09 Dec 1989,Manchester United v Crystal Palace,L,1-2,League Division One
16 Dec 1989,Manchester United v Tottenham Hotspur,L,0-1,League Division One
23 Dec 1989,Liverpool v Manchester United,D,0-0,League Division One
26 Dec 1989,Aston Villa v Manchester United,L,3-0,League Division One
30 Dec 1989,Wimbledon v Manchester United,D,2-2,League Division One
01 Jan 1990,Manchester United v Queens Park Rangers,D,0-0,League Division One
07 Jan 1990,Nottingham Forest v Manchester United,W,0-1,FA Cup
13 Jan 1990,Manchester United v Derby County,L,1-2,League Division One
21 Jan 1990,Norwich City v Manchester United,L,2-0,League Division One
28 Jan 1990,Hereford United v Manchester United,W,0-1,FA Cup
03 Feb 1990,Manchester United v Manchester City,D,1-1,League Division One
10 Feb 1990,Millwall v Manchester United,W,1-2,League Division One
18 Feb 1990,Newcastle United v Manchester United,W,2-3,FA Cup
24 Feb 1990,Chelsea v Manchester United,L,1-0,League Division One
03 Mar 1990,Manchester United v Luton Town,W,4-1,League Division One
11 Mar 1990,Sheffield United v Manchester United,W,0-1,FA Cup
14 Mar 1990,Manchester United v Everton,D,0-0,League Division One
18 Mar 1990,Manchester United v Liverpool,L,1-2,League Division One
21 Mar 1990,Sheffield Wednesday v Manchester United,L,1-0,League Division One
24 Mar 1990,Southampton v Manchester United,W,0-2,League Division One
31 Mar 1990,Manchester United v Coventry City,W,3-0,League Division One
08 Apr 1990,Manchester United v Oldham Athletic,D,3-3,FA Cup
11 Apr 1990,Manchester United v Oldham Athletic,W,2-1,FA Cup
14 Apr 1990,Queens Park Rangers v Manchester United,W,1-2,League Division One
17 Apr 1990,Manchester United v Aston Villa,W,2-0,League Division One
21 Apr 1990,Tottenham Hotspur v Manchester United,L,2-1,League Division One
30 Apr 1990,Manchester United v Wimbledon,D,0-0,League Division One
02 May 1990,Nottingham Forest v Manchester United,L,4-0,League Division One
05 May 1990,Manchester United v Charlton Athletic,W,1-0,League Division One
12 May 1990,Manchester United v Crystal Palace,D,3-3,FA Cup
17 May 1990,Manchester United v Crystal Palace,W,1-0,FA Cup
