Date,Match,Result,Score,Competition
09 Aug 2009,Chelsea v Manchester United,L,2-2 (4-1),FA Community Shield
16 Aug 2009,Manchester United v Birmingham City,W,1-0,Premier League
19 Aug 2009,Burnley v Manchester United,L,1-0,Premier League
22 Aug 2009,Wigan Athletic v Manchester United,W,0-5,Premier League
29 Aug 2009,Manchester United v Arsenal,W,2-1,Premier League
12 Sep 2009,Tottenham Hotspur v Manchester United,W,1-3,Premier League
15 Sep 2009,Besiktas v Manchester United,W,0-1,UEFA Champions League
20 Sep 2009,Manchester United v Manchester City,W,4-3,Premier League
23 Sep 2009,Manchester United v Wolverhampton Wanderers,W,1-0,League Cup
26 Sep 2009,Stoke City v Manchester United,W,0-2,Premier League
30 Sep 2009,Manchester United v VfL Wolfsburg,W,2-1,UEFA Champions League
03 Oct 2009,Manchester United v Sunderland,D,2-2,Premier League
17 Oct 2009,Manchester United v Bolton Wanderers,W,2-1,Premier League
21 Oct 2009,CSKA Moscow v Manchester United,W,0-1,UEFA Champions League
25 Oct 2009,Liverpool v Manchester United,L,2-0,Premier League
27 Oct 2009,Barnsley v Manchester United,W,0-2,League Cup
31 Oct 2009,Manchester United v Blackburn Rovers,W,2-0,Premier League
03 Nov 2009,Manchester United v CSKA Moscow,D,3-3,UEFA Champions League
08 Nov 2009,Chelsea v Manchester United,L,1-0,Premier League
21 Nov 2009,Manchester United v Everton,W,3-0,Premier League
25 Nov 2009,Manchester United v Besiktas,L,0-1,UEFA Champions League
28 Nov 2009,Portsmouth v Manchester United,W,1-4,Premier League
01 Dec 2009,Manchester United v Tottenham Hotspur,W,2-0,League Cup
05 Dec 2009,West Ham United v Manchester United,W,0-4,Premier League
08 Dec 2009,VfL Wolfsburg v Manchester United,W,1-3,UEFA Champions League
12 Dec 2009,Manchester United v Aston Villa,L,0-1,Premier League
15 Dec 2009,Manchester United v Wolverhampton Wanderers,W,3-0,Premier League
19 Dec 2009,Fulham v Manchester United,L,3-0,Premier League
27 Dec 2009,Hull City v Manchester United,W,1-3,Premier League
30 Dec 2009,Manchester United v Wigan Athletic,W,5-0,Premier League
03 Jan 2010,Manchester United v Leeds United,L,0-1,FA Cup
09 Jan 2010,Birmingham City v Manchester United,D,1-1,Premier League
16 Jan 2010,Manchester United v Burnley,W,3-0,Premier League
19 Jan 2010,Manchester City v Manchester United,L,2-1,League Cup
23 Jan 2010,Manchester United v Hull City,W,4-0,Premier League
27 Jan 2010,Manchester United v Manchester City,W,3-1Agg: 4-3,League Cup
31 Jan 2010,Arsenal v Manchester United,W,1-3,Premier League
06 Feb 2010,Manchester United v Portsmouth,W,5-0,Premier League
10 Feb 2010,Aston Villa v Manchester United,D,1-1,Premier League
16 Feb 2010,AC Milan v Manchester United,W,2-3,UEFA Champions League
20 Feb 2010,Everton v Manchester United,L,3-1,Premier League
23 Feb 2010,Manchester United v West Ham United,W,3-0,Premier League
28 Feb 2010,Aston Villa v Manchester United,W,1-2,League Cup
06 Mar 2010,Wolverhampton Wanderers v Manchester United,W,0-1,Premier League
10 Mar 2010,Manchester United v AC Milan,W,4-0Agg: 7-2,UEFA Champions League
14 Mar 2010,Manchester United v Fulham,W,3-0,Premier League
21 Mar 2010,Manchester United v Liverpool,W,2-1,Premier League
27 Mar 2010,Bolton Wanderers v Manchester United,W,0-4,Premier League
30 Mar 2010,Bayern Munchen v Manchester United,L,2-1,UEFA Champions League
03 Apr 2010,Manchester United v Chelsea,L,1-2,Premier League
07 Apr 2010,Manchester United v Bayern Munchen,W,3-2Agg: 4-4,UEFA Champions League
11 Apr 2010,Blackburn Rovers v Manchester United,D,0-0,Premier League
17 Apr 2010,Manchester City v Manchester United,W,0-1,Premier League
24 Apr 2010,Manchester United v Tottenham Hotspur,W,3-1,Premier League
02 May 2010,Sunderland v Manchester United,W,0-1,Premier League
09 May 2010,Manchester United v Stoke City,W,4-0,Premier League
