Date,Match,Result,Score,Competition
02 Sep 1905,Manchester United v Bristol City,W,5-1,League Division Two
04 Sep 1905,Manchester United v Blackpool,W,2-1,League Division Two
09 Sep 1905,Grimsby Town v Manchester United,W,0-1,League Division Two
16 Sep 1905,Glossop North End v Manchester United,W,1-2,League Division Two
23 Sep 1905,Manchester United v Stockport County,W,3-1,League Division Two
30 Sep 1905,Blackpool v Manchester United,W,0-1,League Division Two
07 Oct 1905,Manchester United v Bradford City,D,0-0,League Division Two
14 Oct 1905,West Bromwich Albion v Manchester United,L,1-0,League Division Two
21 Oct 1905,Manchester United v Leicester City,W,3-2,League Division Two
25 Oct 1905,Gainsborough Trinity v Manchester United,D,2-2,League Division Two
28 Oct 1905,Hull City v Manchester United,W,0-1,League Division Two
04 Nov 1905,Manchester United v Lincoln City,W,2-1,League Division Two
11 Nov 1905,Chesterfield Town v Manchester United,L,1-0,League Division Two
18 Nov 1905,Manchester United v Port Vale,W,3-0,League Division Two
25 Nov 1905,Barnsley v Manchester United,W,0-3,League Division Two
02 Dec 1905,Manchester United v Leyton Orient,W,4-0,League Division Two
09 Dec 1905,Burnley v Manchester United,W,1-3,League Division Two
23 Dec 1905,Burton United v Manchester United,W,0-2,League Division Two
25 Dec 1905,Manchester United v Chelsea,D,0-0,League Division Two
30 Dec 1905,Bristol City v Manchester United,D,1-1,League Division Two
06 Jan 1906,Manchester United v Grimsby Town,W,5-0,League Division Two
13 Jan 1906,Manchester United v Staple Hill,W,7-2,FA Cup
15 Jan 1906,Manchester United v Leeds City,L,0-3,League Division Two
20 Jan 1906,Manchester United v Glossop North End,W,5-2,League Division Two
27 Jan 1906,Stockport County v Manchester United,W,0-1,League Division Two
03 Feb 1906,Manchester United v Norwich City,W,3-0,FA Cup
10 Feb 1906,Bradford City v Manchester United,W,1-5,League Division Two
17 Feb 1906,Manchester United v West Bromwich Albion,D,0-0,League Division Two
24 Feb 1906,Manchester United v Aston Villa,W,5-1,FA Cup
03 Mar 1906,Manchester United v Hull City,W,5-0,League Division Two
10 Mar 1906,Manchester United v Woolwich Arsenal,L,2-3,FA Cup
17 Mar 1906,Manchester United v Chesterfield Town,W,4-1,League Division Two
24 Mar 1906,Port Vale v Manchester United,L,1-0,League Division Two
29 Mar 1906,Leicester City v Manchester United,W,2-5,League Division Two
31 Mar 1906,Manchester United v Barnsley,W,5-1,League Division Two
07 Apr 1906,Leyton Orient v Manchester United,W,0-1,League Division Two
13 Apr 1906,Chelsea v Manchester United,D,1-1,League Division Two
14 Apr 1906,Manchester United v Burnley,W,1-0,League Division Two
16 Apr 1906,Manchester United v Gainsborough Trinity,W,2-0,League Division Two
21 Apr 1906,Leeds City v Manchester United,W,1-3,League Division Two
25 Apr 1906,Lincoln City v Manchester United,W,2-3,League Division Two
28 Apr 1906,Manchester United v Burton United,W,6-0,League Division Two
