Date,Match,Result,Score,Competition
28 Aug 1920,Manchester United v Bolton Wanderers,L,2-3,League Division One
30 Aug 1920,Arsenal v Manchester United,L,2-0,League Division One
04 Sep 1920,Bolton Wanderers v Manchester United,D,1-1,League Division One
06 Sep 1920,Manchester United v Arsenal,D,1-1,League Division One
11 Sep 1920,Manchester United v Chelsea,W,3-1,League Division One
18 Sep 1920,Chelsea v Manchester United,W,1-2,League Division One
25 Sep 1920,Manchester United v Tottenham Hotspur,L,0-1,League Division One
02 Oct 1920,Tottenham Hotspur v Manchester United,L,4-1,League Division One
09 Oct 1920,Manchester United v Oldham Athletic,W,4-1,League Division One
16 Oct 1920,Oldham Athletic v Manchester United,D,2-2,League Division One
23 Oct 1920,Manchester United v Preston North End,W,1-0,League Division One
30 Oct 1920,Preston North End v Manchester United,D,0-0,League Division One
06 Nov 1920,Manchester United v Sheffield United,W,2-1,League Division One
13 Nov 1920,Sheffield United v Manchester United,D,0-0,League Division One
20 Nov 1920,Manchester United v Manchester City,D,1-1,League Division One
27 Nov 1920,Manchester City v Manchester United,L,3-0,League Division One
04 Dec 1920,Manchester United v Bradford Park Avenue,W,5-1,League Division One
11 Dec 1920,Bradford Park Avenue v Manchester United,W,2-4,League Division One
18 Dec 1920,Manchester United v Newcastle United,W,2-0,League Division One
25 Dec 1920,Aston Villa v Manchester United,W,3-4,League Division One
27 Dec 1920,Manchester United v Aston Villa,L,1-3,League Division One
01 Jan 1921,Newcastle United v Manchester United,L,6-3,League Division One
08 Jan 1921,Liverpool v Manchester United,D,1-1,FA Cup
12 Jan 1921,Manchester United v Liverpool,L,1-2,FA Cup
15 Jan 1921,Manchester United v West Bromwich Albion,L,1-4,League Division One
22 Jan 1921,West Bromwich Albion v Manchester United,W,0-2,League Division One
05 Feb 1921,Manchester United v Liverpool,D,1-1,League Division One
09 Feb 1921,Liverpool v Manchester United,L,2-0,League Division One
12 Feb 1921,Manchester United v Everton,L,1-2,League Division One
20 Feb 1921,Manchester United v Sunderland,W,3-0,League Division One
05 Mar 1921,Sunderland v Manchester United,W,2-3,League Division One
09 Mar 1921,Everton v Manchester United,L,2-0,League Division One
12 Mar 1921,Manchester United v Bradford City,D,1-1,League Division One
19 Mar 1921,Bradford City v Manchester United,D,1-1,League Division One
25 Mar 1921,Burnley v Manchester United,L,1-0,League Division One
26 Mar 1921,Huddersfield Town v Manchester United,L,5-2,League Division One
28 Mar 1921,Manchester United v Burnley,L,0-3,League Division One
02 Apr 1921,Manchester United v Huddersfield Town,W,2-0,League Division One
09 Apr 1921,Middlesbrough v Manchester United,W,2-4,League Division One
16 Apr 1921,Manchester United v Middlesbrough,L,0-1,League Division One
23 Apr 1921,Blackburn Rovers v Manchester United,L,2-0,League Division One
30 Apr 1921,Manchester United v Blackburn Rovers,L,0-1,League Division One
02 May 1921,Derby County v Manchester United,D,1-1,League Division One
07 May 1921,Manchester United v Derby County,W,3-0,League Division One
