Date,Match,Result,Score,Competition
30 Aug 1930,Manchester United v Aston Villa,L,3-4,League Division One
03 Sep 1930,Middlesbrough v Manchester United,L,3-1,League Division One
06 Sep 1930,Chelsea v Manchester United,L,6-2,League Division One
10 Sep 1930,Manchester United v Huddersfield Town,L,0-6,League Division One
13 Sep 1930,Manchester United v Newcastle United,L,4-7,League Division One
15 Sep 1930,Huddersfield Town v Manchester United,L,3-0,League Division One
20 Sep 1930,Sheffield Wednesday v Manchester United,L,3-0,League Division One
27 Sep 1930,Manchester United v Grimsby Town,L,0-2,League Division One
04 Oct 1930,Manchester City v Manchester United,L,4-1,League Division One
11 Oct 1930,West Ham United v Manchester United,L,5-1,League Division One
18 Oct 1930,Manchester United v Arsenal,L,1-2,League Division One
25 Oct 1930,Portsmouth v Manchester United,L,4-1,League Division One
01 Nov 1930,Manchester United v Birmingham City,W,2-0,League Division One
08 Nov 1930,Leicester City v Manchester United,L,5-4,League Division One
15 Nov 1930,Manchester United v Blackpool,D,0-0,League Division One
22 Nov 1930,Sheffield United v Manchester United,L,3-1,League Division One
29 Nov 1930,Manchester United v Sunderland,D,1-1,League Division One
06 Dec 1930,Blackburn Rovers v Manchester United,L,4-1,League Division One
13 Dec 1930,Manchester United v Derby County,W,2-1,League Division One
20 Dec 1930,Leeds United v Manchester United,L,5-0,League Division One
25 Dec 1930,Bolton Wanderers v Manchester United,L,3-1,League Division One
26 Dec 1930,Manchester United v Bolton Wanderers,D,1-1,League Division One
27 Dec 1930,Aston Villa v Manchester United,L,7-0,League Division One
01 Jan 1931,Manchester United v Leeds United,D,0-0,League Division One
03 Jan 1931,Manchester United v Chelsea,W,1-0,League Division One
10 Jan 1931,Stoke City v Manchester United,D,3-3,FA Cup
14 Jan 1931,Manchester United v Stoke City,D,0-0,FA Cup
17 Jan 1931,Newcastle United v Manchester United,L,4-3,League Division One
19 Jan 1931,Stoke City v Manchester United,W,2-4,FA Cup
24 Jan 1931,Grimsby Town v Manchester United,L,1-0,FA Cup
28 Jan 1931,Manchester United v Sheffield Wednesday,W,4-1,League Division One
31 Jan 1931,Grimsby Town v Manchester United,L,2-1,League Division One
07 Feb 1931,Manchester United v Manchester City,L,1-3,League Division One
14 Feb 1931,Manchester United v West Ham United,W,1-0,League Division One
21 Feb 1931,Arsenal v Manchester United,L,4-1,League Division One
07 Mar 1931,Birmingham City v Manchester United,D,0-0,League Division One
16 Mar 1931,Manchester United v Portsmouth,L,0-1,League Division One
21 Mar 1931,Blackpool v Manchester United,L,5-1,League Division One
25 Mar 1931,Manchester United v Leicester City,D,0-0,League Division One
28 Mar 1931,Manchester United v Sheffield United,L,1-2,League Division One
03 Apr 1931,Liverpool v Manchester United,D,1-1,League Division One
04 Apr 1931,Sunderland v Manchester United,W,1-2,League Division One
06 Apr 1931,Manchester United v Liverpool,W,4-1,League Division One
11 Apr 1931,Manchester United v Blackburn Rovers,L,0-1,League Division One
18 Apr 1931,Derby County v Manchester United,L,6-1,League Division One
02 May 1931,Manchester United v Middlesbrough,D,4-4,League Division One
