Date,Match,Result,Score,Competition
31 Aug 1935,Plymouth Argyle v Manchester United,L,3-1,League Division Two
04 Sep 1935,Manchester United v Charlton Athletic,W,3-0,League Division Two
07 Sep 1935,Manchester United v Bradford City,W,3-1,League Division Two
09 Sep 1935,Charlton Athletic v Manchester United,D,0-0,League Division Two
14 Sep 1935,Newcastle United v Manchester United,W,0-2,League Division Two
18 Sep 1935,Manchester United v Hull City,W,2-0,League Division Two
21 Sep 1935,Manchester United v Tottenham Hotspur,D,0-0,League Division Two
28 Sep 1935,Southampton v Manchester United,L,2-1,League Division Two
05 Oct 1935,Port Vale v Manchester United,W,0-3,League Division Two
12 Oct 1935,Manchester United v Fulham,W,1-0,League Division Two
19 Oct 1935,Manchester United v Sheffield United,W,3-1,League Division Two
26 Oct 1935,Bradford Park Avenue v Manchester United,L,1-0,League Division Two
02 Nov 1935,Manchester United v Leicester City,L,0-1,League Division Two
09 Nov 1935,Swansea Town v Manchester United,L,2-1,League Division Two
16 Nov 1935,Manchester United v West Ham United,L,2-3,League Division Two
23 Nov 1935,Norwich City v Manchester United,W,3-5,League Division Two
30 Nov 1935,Manchester United v Doncaster Rovers,D,0-0,League Division Two
07 Dec 1935,Blackpool v Manchester United,L,4-1,League Division Two
14 Dec 1935,Manchester United v Nottingham Forest,W,5-0,League Division Two
26 Dec 1935,Manchester United v Barnsley,D,1-1,League Division Two
28 Dec 1935,Manchester United v Plymouth Argyle,W,3-2,League Division Two
01 Jan 1936,Barnsley v Manchester United,W,0-3,League Division Two
04 Jan 1936,Bradford City v Manchester United,L,1-0,League Division Two
11 Jan 1936,Reading v Manchester United,W,1-3,FA Cup
18 Jan 1936,Manchester United v Newcastle United,W,3-1,League Division Two
25 Jan 1936,Stoke City v Manchester United,D,0-0,FA Cup
29 Jan 1936,Manchester United v Stoke City,L,0-2,FA Cup
01 Feb 1936,Manchester United v Southampton,W,4-0,League Division Two
05 Feb 1936,Tottenham Hotspur v Manchester United,D,0-0,League Division Two
08 Feb 1936,Manchester United v Port Vale,W,7-2,League Division Two
22 Feb 1936,Sheffield United v Manchester United,D,1-1,League Division Two
29 Feb 1936,Manchester United v Blackpool,W,3-2,League Division Two
07 Mar 1936,West Ham United v Manchester United,W,1-2,League Division Two
14 Mar 1936,Manchester United v Swansea Town,W,3-0,League Division Two
21 Mar 1936,Leicester City v Manchester United,D,1-1,League Division Two
28 Mar 1936,Manchester United v Norwich City,W,2-1,League Division Two
01 Apr 1936,Fulham v Manchester United,D,2-2,League Division Two
04 Apr 1936,Doncaster Rovers v Manchester United,D,0-0,League Division Two
10 Apr 1936,Burnley v Manchester United,D,2-2,League Division Two
11 Apr 1936,Manchester United v Bradford Park Avenue,W,4-0,League Division Two
13 Apr 1936,Manchester United v Burnley,W,4-0,League Division Two
18 Apr 1936,Nottingham Forest v Manchester United,D,1-1,League Division Two
25 Apr 1936,Manchester United v Bury,W,2-1,League Division Two
29 Apr 1936,Bury v Manchester United,W,2-3,League Division Two
02 May 1936,Hull City v Manchester United,D,1-1,League Division Two
