Date,Match,Result,Score,Competition
31 Aug 1946,Manchester United v Grimsby Town,W,2-1,League Division One
04 Sep 1946,Chelsea v Manchester United,W,0-3,League Division One
07 Sep 1946,Charlton Athletic v Manchester United,W,1-3,League Division One
11 Sep 1946,Manchester United v Liverpool,W,5-0,League Division One
14 Sep 1946,Manchester United v Middlesbrough,W,1-0,League Division One
18 Sep 1946,Manchester United v Chelsea,D,1-1,League Division One
21 Sep 1946,Stoke City v Manchester United,L,3-2,League Division One
28 Sep 1946,Manchester United v Arsenal,W,5-2,League Division One
05 Oct 1946,Manchester United v Preston North End,D,1-1,League Division One
12 Oct 1946,Sheffield United v Manchester United,D,2-2,League Division One
19 Oct 1946,Blackpool v Manchester United,L,3-1,League Division One
26 Oct 1946,Manchester United v Sunderland,L,0-3,League Division One
02 Nov 1946,Aston Villa v Manchester United,D,0-0,League Division One
09 Nov 1946,Manchester United v Derby County,W,4-1,League Division One
16 Nov 1946,Everton v Manchester United,D,2-2,League Division One
23 Nov 1946,Manchester United v Huddersfield Town,W,5-2,League Division One
30 Nov 1946,Wolverhampton Wanderers v Manchester United,L,3-2,League Division One
07 Dec 1946,Manchester United v Brentford,W,4-1,League Division One
14 Dec 1946,Blackburn Rovers v Manchester United,L,2-1,League Division One
25 Dec 1946,Bolton Wanderers v Manchester United,D,2-2,League Division One
26 Dec 1946,Manchester United v Bolton Wanderers,W,1-0,League Division One
28 Dec 1946,Grimsby Town v Manchester United,D,0-0,League Division One
04 Jan 1947,Manchester United v Charlton Athletic,W,4-1,League Division One
11 Jan 1947,Bradford Park Avenue v Manchester United,W,0-3,FA Cup
18 Jan 1947,Middlesbrough v Manchester United,W,2-4,League Division One
25 Jan 1947,Manchester United v Nottingham Forest,L,0-2,FA Cup
01 Feb 1947,Arsenal v Manchester United,L,6-2,League Division One
05 Feb 1947,Manchester United v Stoke City,D,1-1,League Division One
22 Feb 1947,Manchester United v Blackpool,W,3-0,League Division One
01 Mar 1947,Sunderland v Manchester United,D,1-1,League Division One
08 Mar 1947,Manchester United v Aston Villa,W,2-1,League Division One
15 Mar 1947,Derby County v Manchester United,L,4-3,League Division One
22 Mar 1947,Manchester United v Everton,W,3-0,League Division One
29 Mar 1947,Huddersfield Town v Manchester United,D,2-2,League Division One
05 Apr 1947,Manchester United v Wolverhampton Wanderers,W,3-1,League Division One
07 Apr 1947,Manchester United v Leeds United,W,3-1,League Division One
08 Apr 1947,Leeds United v Manchester United,W,0-2,League Division One
12 Apr 1947,Brentford v Manchester United,D,0-0,League Division One
19 Apr 1947,Manchester United v Blackburn Rovers,W,4-0,League Division One
26 Apr 1947,Portsmouth v Manchester United,W,0-1,League Division One
03 May 1947,Liverpool v Manchester United,L,1-0,League Division One
10 May 1947,Preston North End v Manchester United,D,1-1,League Division One
17 May 1947,Manchester United v Portsmouth,W,3-0,League Division One
26 May 1947,Manchester United v Sheffield United,W,6-2,League Division One
