Date,Match,Result,Score,Competition
07 Sep 1895,Newton Heath v Crewe Alexandra,W,5-0,League Division Two
14 Sep 1895,Loughborough v Newton Heath,D,3-3,League Division Two
21 Sep 1895,Newton Heath v Burton Swifts,W,5-0,League Division Two
28 Sep 1895,Crewe Alexandra v Newton Heath,W,0-2,League Division Two
05 Oct 1895,Newton Heath v Manchester City,D,1-1,League Division Two
12 Oct 1895,Liverpool v Newton Heath,L,7-1,League Division Two
19 Oct 1895,Newton Heath v Newcastle United,W,2-1,League Division Two
26 Oct 1895,Newcastle United v Newton Heath,L,2-1,League Division Two
02 Nov 1895,Newton Heath v Liverpool,W,5-2,League Division Two
09 Nov 1895,Woolwich Arsenal v Newton Heath,L,2-1,League Division Two
16 Nov 1895,Newton Heath v Lincoln City,D,5-5,League Division Two
23 Nov 1895,Notts County v Newton Heath,W,0-2,League Division Two
30 Nov 1895,Newton Heath v Woolwich Arsenal,W,5-1,League Division Two
07 Dec 1895,Manchester City v Newton Heath,L,2-1,League Division Two
14 Dec 1895,Newton Heath v Notts County,W,3-0,League Division Two
21 Dec 1895,Darwen v Newton Heath,L,3-0,League Division Two
01 Jan 1896,Newton Heath v Grimsby Town,W,3-2,League Division Two
04 Jan 1896,Leicester Fosse v Newton Heath,L,3-0,League Division Two
11 Jan 1896,Newton Heath v Rotherham Town,W,3-0,League Division Two
01 Feb 1896,Newton Heath v Kettering Town,W,2-1,FA Cup
03 Feb 1896,Newton Heath v Leicester Fosse,W,2-0,League Division Two
08 Feb 1896,Burton Swifts v Newton Heath,L,4-1,League Division Two
15 Feb 1896,Newton Heath v Derby County,D,1-1,FA Cup
19 Feb 1896,Derby County v Newton Heath,L,5-1,FA Cup
29 Feb 1896,Newton Heath v Burton Wanderers,L,1-2,League Division Two
07 Mar 1896,Rotherham Town v Newton Heath,W,2-3,League Division Two
14 Mar 1896,Grimsby Town v Newton Heath,L,4-2,League Division Two
18 Mar 1896,Burton Wanderers v Newton Heath,L,5-1,League Division Two
23 Mar 1896,Burslem Port Vale v Newton Heath,L,3-0,League Division Two
03 Apr 1896,Newton Heath v Darwen,W,4-0,League Division Two
04 Apr 1896,Newton Heath v Loughborough,W,2-0,League Division Two
06 Apr 1896,Newton Heath v Burslem Port Vale,W,2-1,League Division Two
11 Apr 1896,Lincoln City v Newton Heath,L,2-0,League Division Two
