Date,Match,Result,Score,Competition
25 Aug 1973,Arsenal v Manchester United,L,3-0,League Division One
29 Aug 1973,Manchester United v Stoke City,W,1-0,League Division One
01 Sep 1973,Manchester United v Queens Park Rangers,W,2-1,League Division One
05 Sep 1973,Leicester City v Manchester United,L,1-0,League Division One
08 Sep 1973,Ipswich Town v Manchester United,L,2-1,League Division One
12 Sep 1973,Manchester United v Leicester City,L,1-2,League Division One
15 Sep 1973,Manchester United v West Ham United,W,3-1,League Division One
22 Sep 1973,Leeds United v Manchester United,D,0-0,League Division One
29 Sep 1973,Manchester United v Liverpool,D,0-0,League Division One
06 Oct 1973,Wolverhampton Wanderers v Manchester United,L,2-1,League Division One
08 Oct 1973,Manchester United v Middlesbrough,L,0-1,League Cup
13 Oct 1973,Manchester United v Derby County,L,0-1,League Division One
20 Oct 1973,Manchester United v Birmingham City,W,1-0,League Division One
27 Oct 1973,Burnley v Manchester United,D,0-0,League Division One
03 Nov 1973,Manchester United v Chelsea,D,2-2,League Division One
10 Nov 1973,Tottenham Hotspur v Manchester United,L,2-1,League Division One
17 Nov 1973,Newcastle United v Manchester United,L,3-2,League Division One
24 Nov 1973,Manchester United v Norwich City,D,0-0,League Division One
08 Dec 1973,Manchester United v Southampton,D,0-0,League Division One
15 Dec 1973,Manchester United v Coventry City,L,2-3,League Division One
22 Dec 1973,Liverpool v Manchester United,L,2-0,League Division One
26 Dec 1973,Manchester United v Sheffield United,L,1-2,League Division One
29 Dec 1973,Manchester United v Ipswich Town,W,2-0,League Division One
01 Jan 1974,Queens Park Rangers v Manchester United,L,3-0,League Division One
05 Jan 1974,Manchester United v Plymouth Argyle,W,1-0,FA Cup
12 Jan 1974,West Ham United v Manchester United,L,2-1,League Division One
19 Jan 1974,Manchester United v Arsenal,D,1-1,League Division One
26 Jan 1974,Manchester United v Ipswich Town,L,0-1,FA Cup
02 Feb 1974,Coventry City v Manchester United,L,1-0,League Division One
09 Feb 1974,Manchester United v Leeds United,L,0-2,League Division One
16 Feb 1974,Derby County v Manchester United,D,2-2,League Division One
23 Feb 1974,Manchester United v Wolverhampton Wanderers,D,0-0,League Division One
02 Mar 1974,Sheffield United v Manchester United,W,0-1,League Division One
13 Mar 1974,Manchester City v Manchester United,D,0-0,League Division One
16 Mar 1974,Birmingham City v Manchester United,L,1-0,League Division One
23 Mar 1974,Manchester United v Tottenham Hotspur,L,0-1,League Division One
30 Mar 1974,Chelsea v Manchester United,W,1-3,League Division One
03 Apr 1974,Manchester United v Burnley,D,3-3,League Division One
06 Apr 1974,Norwich City v Manchester United,W,0-2,League Division One
13 Apr 1974,Manchester United v Newcastle United,W,1-0,League Division One
15 Apr 1974,Manchester United v Everton,W,3-0,League Division One
20 Apr 1974,Southampton v Manchester United,D,1-1,League Division One
23 Apr 1974,Everton v Manchester United,L,1-0,League Division One
27 Apr 1974,Manchester United v Manchester City,L,0-1,League Division One
29 Apr 1974,Stoke City v Manchester United,L,1-0,League Division One
