Date,Match,Result,Score,Competition
15 Aug 1992,Sheffield United v Manchester United,L,2-1,Premier League
19 Aug 1992,Manchester United v Everton,L,0-3,Premier League
22 Aug 1992,Manchester United v Ipswich Town,D,1-1,Premier League
24 Aug 1992,Southampton v Manchester United,W,0-1,Premier League
29 Aug 1992,Nottingham Forest v Manchester United,W,0-2,Premier League
02 Sep 1992,Manchester United v Crystal Palace,W,1-0,Premier League
06 Sep 1992,Manchester United v Leeds United,W,2-0,Premier League
12 Sep 1992,Everton v Manchester United,W,0-2,Premier League
16 Sep 1992,Manchester United v Torpedo Moskva,D,0-0,UEFA Cup
19 Sep 1992,Tottenham Hotspur v Manchester United,D,1-1,Premier League
23 Sep 1992,Brighton and Hove Albion v Manchester United,D,1-1,League Cup
26 Sep 1992,Manchester United v Queens Park Rangers,D,0-0,Premier League
29 Sep 1992,Torpedo Moskva v Manchester United,D,0-0Agg: 0-0 (4-3),UEFA Cup
03 Oct 1992,Middlesbrough v Manchester United,D,1-1,Premier League
07 Oct 1992,Manchester United v Brighton and Hove Albion,W,1-0Agg: 2-1,League Cup
18 Oct 1992,Manchester United v Liverpool,D,2-2,Premier League
24 Oct 1992,Blackburn Rovers v Manchester United,D,0-0,Premier League
28 Oct 1992,Aston Villa v Manchester United,L,1-0,League Cup
31 Oct 1992,Manchester United v Wimbledon,L,0-1,Premier League
07 Nov 1992,Aston Villa v Manchester United,L,1-0,Premier League
21 Nov 1992,Manchester United v Oldham Athletic,W,3-0,Premier League
28 Nov 1992,Arsenal v Manchester United,W,0-1,Premier League
06 Dec 1992,Manchester United v Manchester City,W,2-1,Premier League
12 Dec 1992,Manchester United v Norwich City,W,1-0,Premier League
19 Dec 1992,Chelsea v Manchester United,D,1-1,Premier League
26 Dec 1992,Sheffield Wednesday v Manchester United,D,3-3,Premier League
28 Dec 1992,Manchester United v Coventry City,W,5-0,Premier League
05 Jan 1993,Manchester United v Bury,W,2-0,FA Cup
09 Jan 1993,Manchester United v Tottenham Hotspur,W,4-1,Premier League
18 Jan 1993,Queens Park Rangers v Manchester United,W,1-3,Premier League
23 Jan 1993,Manchester United v Brighton and Hove Albion,W,1-0,FA Cup
27 Jan 1993,Manchester United v Nottingham Forest,W,2-0,Premier League
30 Jan 1993,Ipswich Town v Manchester United,L,2-1,Premier League
06 Feb 1993,Manchester United v Sheffield United,W,2-1,Premier League
08 Feb 1993,Leeds United v Manchester United,D,0-0,Premier League
14 Feb 1993,Sheffield United v Manchester United,L,2-1,FA Cup
20 Feb 1993,Manchester United v Southampton,W,2-1,Premier League
27 Feb 1993,Manchester United v Middlesbrough,W,3-0,Premier League
06 Mar 1993,Liverpool v Manchester United,W,1-2,Premier League
09 Mar 1993,Oldham Athletic v Manchester United,L,1-0,Premier League
14 Mar 1993,Manchester United v Aston Villa,D,1-1,Premier League
20 Mar 1993,Manchester City v Manchester United,D,1-1,Premier League
24 Mar 1993,Manchester United v Arsenal,D,0-0,Premier League
05 Apr 1993,Norwich City v Manchester United,W,1-3,Premier League
10 Apr 1993,Manchester United v Sheffield Wednesday,W,2-1,Premier League
12 Apr 1993,Coventry City v Manchester United,W,0-1,Premier League
17 Apr 1993,Manchester United v Chelsea,W,3-0,Premier League
21 Apr 1993,Crystal Palace v Manchester United,W,0-2,Premier League
03 May 1993,Manchester United v Blackburn Rovers,W,3-1,Premier League
09 May 1993,Wimbledon v Manchester United,W,1-2,Premier League
