Date,Match,Result,Score,Competition
14 Aug 2021,Manchester United v Leeds United,W,5-1,Premier League
22 Aug 2021,Southampton v Manchester United,D,1-1,Premier League
29 Aug 2021,Wolverhampton Wanderers v Manchester United,W,0-1,Premier League
11 Sep 2021,Manchester United v Newcastle United,W,4-1,Premier League
14 Sep 2021,Young Boys Berne v Manchester United,L,2-1,UEFA Champions League
19 Sep 2021,West Ham United v Manchester United,W,1-2,Premier League
22 Sep 2021,Manchester United v West Ham United,L,0-1,League Cup
25 Sep 2021,Manchester United v Aston Villa,L,0-1,Premier League
29 Sep 2021,Manchester United v Villarreal,W,2-1,UEFA Champions League
02 Oct 2021,Manchester United v Everton,D,1-1,Premier League
16 Oct 2021,Leicester City v Manchester United,L,4-2,Premier League
20 Oct 2021,Manchester United v Atalanta,W,3-2,UEFA Champions League
24 Oct 2021,Manchester United v Liverpool,L,0-5,Premier League
30 Oct 2021,Tottenham Hotspur v Manchester United,W,0-3,Premier League
02 Nov 2021,Atalanta v Manchester United,D,2-2,UEFA Champions League
06 Nov 2021,Manchester United v Manchester City,L,0-2,Premier League
20 Nov 2021,Watford v Manchester United,L,4-1,Premier League
23 Nov 2021,Villarreal v Manchester United,W,0-2,UEFA Champions League
28 Nov 2021,Chelsea v Manchester United,D,1-1,Premier League
02 Dec 2021,Manchester United v Arsenal,W,3-2,Premier League
05 Dec 2021,Manchester United v Crystal Palace,W,1-0,Premier League
08 Dec 2021,Manchester United v Young Boys Berne,D,1-1,UEFA Champions League
11 Dec 2021,Norwich City v Manchester United,W,0-1,Premier League
27 Dec 2021,Newcastle United v Manchester United,D,1-1,Premier League
30 Dec 2021,Manchester United v Burnley,W,3-1,Premier League
03 Jan 2022,Manchester United v Wolverhampton Wanderers,L,0-1,Premier League
10 Jan 2022,Manchester United v Aston Villa,W,1-0,FA Cup
15 Jan 2022,Aston Villa v Manchester United,D,2-2,Premier League
19 Jan 2022,Brentford v Manchester United,W,1-3,Premier League
22 Jan 2022,Manchester United v West Ham United,W,1-0,Premier League
04 Feb 2022,Manchester United v Middlesbrough,L,1-1 (7-8),FA Cup
08 Feb 2022,Burnley v Manchester United,D,1-1,Premier League
12 Feb 2022,Manchester United v Southampton,D,1-1,Premier League
15 Feb 2022,Manchester United v Brighton and Hove Albion,W,2-0,Premier League
20 Feb 2022,Leeds United v Manchester United,W,2-4,Premier League
23 Feb 2022,Atlético Madrid v Manchester United,D,1-1,UEFA Champions League
26 Feb 2022,Manchester United v Watford,D,0-0,Premier League
06 Mar 2022,Manchester City v Manchester United,L,4-1,Premier League
12 Mar 2022,Manchester United v Tottenham Hotspur,W,3-2,Premier League
15 Mar 2022,Manchester United v Atlético Madrid,L,0-1,UEFA Champions League
02 Apr 2022,Manchester United v Leicester City,D,1-1,Premier League
09 Apr 2022,Everton v Manchester United,L,1-0,Premier League
16 Apr 2022,Manchester United v Norwich City,W,3-2,Premier League
19 Apr 2022,Liverpool v Manchester United,L,4-0,Premier League
23 Apr 2022,Arsenal v Manchester United,L,3-1,Premier League
28 Apr 2022,Manchester United v Chelsea,D,1-1,Premier League
02 May 2022,Manchester United v Brentford,W,3-0,Premier League
07 May 2022,Brighton and Hove Albion v Manchester United,L,4-0,Premier League
22 May 2022,Crystal Palace v Manchester United,L,1-0,Premier League
