Date,Match,Result,Score,Competition
03 Sep 1898,Gainsborough Trinity v Newton Heath,W,0-2,League Division Two
10 Sep 1898,Newton Heath v Manchester City,W,3-0,League Division Two
17 Sep 1898,Glossop North End v Newton Heath,W,1-2,League Division Two
24 Sep 1898,Newton Heath v Walsall,W,1-0,League Division Two
01 Oct 1898,Burton Swifts v Newton Heath,L,5-1,League Division Two
08 Oct 1898,Newton Heath v Burslem Port Vale,W,2-1,League Division Two
15 Oct 1898,Small Heath v Newton Heath,L,4-1,League Division Two
22 Oct 1898,Newton Heath v Loughborough,W,6-1,League Division Two
05 Nov 1898,Newton Heath v Grimsby Town,W,3-2,League Division Two
12 Nov 1898,Newton Heath v Barnsley,D,0-0,League Division Two
19 Nov 1898,New Brighton Tower v Newton Heath,W,0-3,League Division Two
26 Nov 1898,Newton Heath v Lincoln City,W,1-0,League Division Two
03 Dec 1898,Woolwich Arsenal v Newton Heath,L,5-1,League Division Two
10 Dec 1898,Newton Heath v Blackpool,W,3-1,League Division Two
17 Dec 1898,Leicester Fosse v Newton Heath,L,1-0,League Division Two
24 Dec 1898,Newton Heath v Darwen,W,9-0,League Division Two
26 Dec 1898,Manchester City v Newton Heath,L,4-0,League Division Two
31 Dec 1898,Newton Heath v Gainsborough Trinity,W,6-1,League Division Two
02 Jan 1899,Newton Heath v Burton Swifts,D,2-2,League Division Two
14 Jan 1899,Newton Heath v Glossop North End,W,3-0,League Division Two
21 Jan 1899,Walsall v Newton Heath,L,2-0,League Division Two
28 Jan 1899,Tottenham Hotspur v Newton Heath,D,1-1,FA Cup
01 Feb 1899,Newton Heath v Tottenham Hotspur,L,3-5,FA Cup
04 Feb 1899,Burslem Port Vale v Newton Heath,L,1-0,League Division Two
18 Feb 1899,Loughborough v Newton Heath,W,0-1,League Division Two
25 Feb 1899,Newton Heath v Small Heath,W,2-0,League Division Two
04 Mar 1899,Grimsby Town v Newton Heath,L,3-0,League Division Two
18 Mar 1899,Newton Heath v New Brighton Tower,L,1-2,League Division Two
25 Mar 1899,Lincoln City v Newton Heath,L,2-0,League Division Two
01 Apr 1899,Newton Heath v Woolwich Arsenal,D,2-2,League Division Two
03 Apr 1899,Blackpool v Newton Heath,W,0-1,League Division Two
04 Apr 1899,Barnsley v Newton Heath,W,0-2,League Division Two
08 Apr 1899,Luton Town v Newton Heath,W,0-1,League Division Two
12 Apr 1899,Newton Heath v Luton Town,W,5-0,League Division Two
15 Apr 1899,Newton Heath v Leicester Fosse,D,2-2,League Division Two
22 Apr 1899,Darwen v Newton Heath,D,1-1,League Division Two
