Date,Match,Result,Score,Competition
26 Aug 1933,Plymouth Argyle v Manchester United,L,4-0,League Division Two
30 Aug 1933,Manchester United v Nottingham Forest,L,0-1,League Division Two
02 Sep 1933,Manchester United v Lincoln City,D,1-1,League Division Two
07 Sep 1933,Nottingham Forest v Manchester United,D,1-1,League Division Two
09 Sep 1933,Manchester United v Bolton Wanderers,L,1-5,League Division Two
16 Sep 1933,Brentford v Manchester United,W,3-4,League Division Two
23 Sep 1933,Manchester United v Burnley,W,5-2,League Division Two
30 Sep 1933,Oldham Athletic v Manchester United,L,2-0,League Division Two
07 Oct 1933,Manchester United v Preston North End,W,1-0,League Division Two
14 Oct 1933,Bradford Park Avenue v Manchester United,L,6-1,League Division Two
21 Oct 1933,Bury v Manchester United,L,2-1,League Division Two
28 Oct 1933,Manchester United v Hull City,W,4-1,League Division Two
04 Nov 1933,Fulham v Manchester United,W,0-2,League Division Two
11 Nov 1933,Manchester United v Southampton,W,1-0,League Division Two
18 Nov 1933,Blackpool v Manchester United,L,3-1,League Division Two
25 Nov 1933,Manchester United v Bradford City,W,2-1,League Division Two
02 Dec 1933,Port Vale v Manchester United,W,2-3,League Division Two
09 Dec 1933,Manchester United v Notts County,L,1-2,League Division Two
16 Dec 1933,Swansea Town v Manchester United,L,2-1,League Division Two
23 Dec 1933,Manchester United v Millwall,D,1-1,League Division Two
25 Dec 1933,Manchester United v Grimsby Town,L,1-3,League Division Two
26 Dec 1933,Grimsby Town v Manchester United,L,7-3,League Division Two
30 Dec 1933,Manchester United v Plymouth Argyle,L,0-3,League Division Two
06 Jan 1934,Lincoln City v Manchester United,L,5-1,League Division Two
13 Jan 1934,Manchester United v Portsmouth,D,1-1,FA Cup
17 Jan 1934,Portsmouth v Manchester United,L,4-1,FA Cup
20 Jan 1934,Bolton Wanderers v Manchester United,L,3-1,League Division Two
27 Jan 1934,Manchester United v Brentford,L,1-3,League Division Two
03 Feb 1934,Burnley v Manchester United,W,1-4,League Division Two
10 Feb 1934,Manchester United v Oldham Athletic,L,2-3,League Division Two
21 Feb 1934,Preston North End v Manchester United,L,3-2,League Division Two
24 Feb 1934,Manchester United v Bradford Park Avenue,L,0-4,League Division Two
03 Mar 1934,Manchester United v Bury,W,2-1,League Division Two
10 Mar 1934,Hull City v Manchester United,L,4-1,League Division Two
17 Mar 1934,Manchester United v Fulham,W,1-0,League Division Two
24 Mar 1934,Southampton v Manchester United,L,1-0,League Division Two
30 Mar 1934,Manchester United v West Ham United,L,0-1,League Division Two
31 Mar 1934,Manchester United v Blackpool,W,2-0,League Division Two
02 Apr 1934,West Ham United v Manchester United,L,2-1,League Division Two
07 Apr 1934,Bradford City v Manchester United,D,1-1,League Division Two
14 Apr 1934,Manchester United v Port Vale,W,2-0,League Division Two
21 Apr 1934,Notts County v Manchester United,D,0-0,League Division Two
28 Apr 1934,Manchester United v Swansea Town,D,1-1,League Division Two
05 May 1934,Millwall v Manchester United,W,0-2,League Division Two
