Date,Match,Result,Score,Competition
22 Aug 1959,West Bromwich Albion v Manchester United,L,3-2,League Division One
26 Aug 1959,Manchester United v Chelsea,L,0-1,League Division One
29 Aug 1959,Manchester United v Newcastle United,W,3-2,League Division One
02 Sep 1959,Chelsea v Manchester United,W,3-6,League Division One
05 Sep 1959,Birmingham City v Manchester United,D,1-1,League Division One
09 Sep 1959,Manchester United v Leeds United,W,6-0,League Division One
12 Sep 1959,Manchester United v Tottenham Hotspur,L,1-5,League Division One
16 Sep 1959,Leeds United v Manchester United,D,2-2,League Division One
19 Sep 1959,Manchester City v Manchester United,L,3-0,League Division One
26 Sep 1959,Preston North End v Manchester United,L,4-0,League Division One
03 Oct 1959,Manchester United v Leicester City,W,4-1,League Division One
10 Oct 1959,Manchester United v Arsenal,W,4-2,League Division One
17 Oct 1959,Wolverhampton Wanderers v Manchester United,L,3-2,League Division One
24 Oct 1959,Manchester United v Sheffield Wednesday,W,3-1,League Division One
31 Oct 1959,Blackburn Rovers v Manchester United,D,1-1,League Division One
07 Nov 1959,Manchester United v Fulham,D,3-3,League Division One
14 Nov 1959,Bolton Wanderers v Manchester United,D,1-1,League Division One
21 Nov 1959,Manchester United v Luton Town,W,4-1,League Division One
28 Nov 1959,Everton v Manchester United,L,2-1,League Division One
05 Dec 1959,Manchester United v Blackpool,W,3-1,League Division One
12 Dec 1959,Nottingham Forest v Manchester United,W,1-5,League Division One
19 Dec 1959,Manchester United v West Bromwich Albion,L,2-3,League Division One
26 Dec 1959,Manchester United v Burnley,L,1-2,League Division One
28 Dec 1959,Burnley v Manchester United,W,1-4,League Division One
02 Jan 1960,Newcastle United v Manchester United,L,7-3,League Division One
09 Jan 1960,Derby County v Manchester United,W,2-4,FA Cup
16 Jan 1960,Manchester United v Birmingham City,W,2-1,League Division One
23 Jan 1960,Tottenham Hotspur v Manchester United,L,2-1,League Division One
30 Jan 1960,Liverpool v Manchester United,W,1-3,FA Cup
06 Feb 1960,Manchester United v Manchester City,D,0-0,League Division One
13 Feb 1960,Manchester United v Preston North End,D,1-1,League Division One
20 Feb 1960,Manchester United v Sheffield Wednesday,L,0-1,FA Cup
24 Feb 1960,Leicester City v Manchester United,L,3-1,League Division One
27 Feb 1960,Blackpool v Manchester United,W,0-6,League Division One
05 Mar 1960,Manchester United v Wolverhampton Wanderers,L,0-2,League Division One
19 Mar 1960,Manchester United v Nottingham Forest,W,3-1,League Division One
26 Mar 1960,Fulham v Manchester United,W,0-5,League Division One
30 Mar 1960,Sheffield Wednesday v Manchester United,L,4-2,League Division One
02 Apr 1960,Manchester United v Bolton Wanderers,W,2-0,League Division One
09 Apr 1960,Luton Town v Manchester United,W,2-3,League Division One
15 Apr 1960,West Ham United v Manchester United,L,2-1,League Division One
16 Apr 1960,Manchester United v Blackburn Rovers,W,1-0,League Division One
18 Apr 1960,Manchester United v West Ham United,W,5-3,League Division One
23 Apr 1960,Arsenal v Manchester United,L,5-2,League Division One
30 Apr 1960,Manchester United v Everton,W,5-0,League Division One
