Date,Match,Result,Score,Competition
29 Aug 1936,Manchester United v Wolverhampton Wanderers,D,1-1,League Division One
02 Sep 1936,Huddersfield Town v Manchester United,L,3-1,League Division One
05 Sep 1936,Derby County v Manchester United,L,5-4,League Division One
09 Sep 1936,Manchester United v Huddersfield Town,W,3-1,League Division One
12 Sep 1936,Manchester United v Manchester City,W,3-2,League Division One
19 Sep 1936,Manchester United v Sheffield Wednesday,D,1-1,League Division One
26 Sep 1936,Preston North End v Manchester United,L,3-1,League Division One
03 Oct 1936,Manchester United v Arsenal,W,2-0,League Division One
10 Oct 1936,Brentford v Manchester United,L,4-0,League Division One
17 Oct 1936,Portsmouth v Manchester United,L,2-1,League Division One
24 Oct 1936,Manchester United v Chelsea,D,0-0,League Division One
31 Oct 1936,Stoke City v Manchester United,L,3-0,League Division One
07 Nov 1936,Manchester United v Charlton Athletic,D,0-0,League Division One
14 Nov 1936,Grimsby Town v Manchester United,L,6-2,League Division One
21 Nov 1936,Manchester United v Liverpool,L,2-5,League Division One
28 Nov 1936,Leeds United v Manchester United,L,2-1,League Division One
05 Dec 1936,Manchester United v Birmingham City,L,1-2,League Division One
12 Dec 1936,Middlesbrough v Manchester United,L,3-2,League Division One
19 Dec 1936,Manchester United v West Bromwich Albion,D,2-2,League Division One
25 Dec 1936,Manchester United v Bolton Wanderers,W,1-0,League Division One
26 Dec 1936,Wolverhampton Wanderers v Manchester United,L,3-1,League Division One
28 Dec 1936,Bolton Wanderers v Manchester United,W,0-4,League Division One
01 Jan 1937,Manchester United v Sunderland,W,2-1,League Division One
02 Jan 1937,Manchester United v Derby County,D,2-2,League Division One
09 Jan 1937,Manchester City v Manchester United,L,1-0,League Division One
16 Jan 1937,Manchester United v Reading,W,1-0,FA Cup
23 Jan 1937,Sheffield Wednesday v Manchester United,L,1-0,League Division One
30 Jan 1937,Arsenal v Manchester United,L,5-0,FA Cup
03 Feb 1937,Manchester United v Preston North End,D,1-1,League Division One
06 Feb 1937,Arsenal v Manchester United,D,1-1,League Division One
13 Feb 1937,Manchester United v Brentford,L,1-3,League Division One
20 Feb 1937,Manchester United v Portsmouth,L,0-1,League Division One
27 Feb 1937,Chelsea v Manchester United,L,4-2,League Division One
06 Mar 1937,Manchester United v Stoke City,W,2-1,League Division One
13 Mar 1937,Charlton Athletic v Manchester United,L,3-0,League Division One
20 Mar 1937,Manchester United v Grimsby Town,D,1-1,League Division One
26 Mar 1937,Manchester United v Everton,W,2-1,League Division One
27 Mar 1937,Liverpool v Manchester United,L,2-0,League Division One
29 Mar 1937,Everton v Manchester United,W,2-3,League Division One
03 Apr 1937,Manchester United v Leeds United,D,0-0,League Division One
10 Apr 1937,Birmingham City v Manchester United,D,2-2,League Division One
17 Apr 1937,Manchester United v Middlesbrough,W,2-1,League Division One
21 Apr 1937,Sunderland v Manchester United,D,1-1,League Division One
24 Apr 1937,West Bromwich Albion v Manchester United,L,1-0,League Division One
