Date,Match,Result,Score,Competition
18 Aug 1956,Manchester United v Birmingham City,D,2-2,League Division One
20 Aug 1956,Preston North End v Manchester United,W,1-3,League Division One
25 Aug 1956,West Bromwich Albion v Manchester United,W,2-3,League Division One
29 Aug 1956,Manchester United v Preston North End,W,3-2,League Division One
01 Sep 1956,Manchester United v Portsmouth,W,3-0,League Division One
05 Sep 1956,Chelsea v Manchester United,W,1-2,League Division One
08 Sep 1956,Newcastle United v Manchester United,D,1-1,League Division One
12 Sep 1956,Anderlecht v Manchester United,W,0-2,European Cup
15 Sep 1956,Manchester United v Sheffield Wednesday,W,4-1,League Division One
22 Sep 1956,Manchester United v Manchester City,W,2-0,League Division One
26 Sep 1956,Anderlecht v Manchester United,W,0-10Agg: 0-12,European Cup
29 Sep 1956,Arsenal v Manchester United,W,1-2,League Division One
06 Oct 1956,Manchester United v Charlton Athletic,W,4-2,League Division One
13 Oct 1956,Sunderland v Manchester United,W,1-3,League Division One
17 Oct 1956,Borussia Dortmund v Manchester United,W,2-3,European Cup
20 Oct 1956,Manchester United v Everton,L,2-5,League Division One
24 Oct 1956,Manchester City v Manchester United,W,0-1,FA Charity Shield
27 Oct 1956,Blackpool v Manchester United,D,2-2,League Division One
03 Nov 1956,Manchester United v Wolverhampton Wanderers,W,3-0,League Division One
10 Nov 1956,Bolton Wanderers v Manchester United,L,2-0,League Division One
17 Nov 1956,Manchester United v Leeds United,W,3-2,League Division One
21 Nov 1956,Borussia Dortmund v Manchester United,D,0-0Agg: 2-3,European Cup
24 Nov 1956,Tottenham Hotspur v Manchester United,D,2-2,League Division One
01 Dec 1956,Manchester United v Luton Town,W,3-1,League Division One
08 Dec 1956,Aston Villa v Manchester United,W,1-3,League Division One
15 Dec 1956,Birmingham City v Manchester United,L,3-1,League Division One
26 Dec 1956,Manchester United v Cardiff City,W,3-1,League Division One
29 Dec 1956,Portsmouth v Manchester United,W,1-3,League Division One
01 Jan 1957,Manchester United v Chelsea,W,3-0,League Division One
05 Jan 1957,Hartlepools United v Manchester United,W,3-4,FA Cup
12 Jan 1957,Manchester United v Newcastle United,W,6-1,League Division One
16 Jan 1957,Athletic Bilbao v Manchester United,L,5-3,European Cup
19 Jan 1957,Sheffield Wednesday v Manchester United,L,2-1,League Division One
26 Jan 1957,Wrexham v Manchester United,W,0-5,FA Cup
02 Feb 1957,Manchester City v Manchester United,W,2-4,League Division One
06 Feb 1957,Athletic Bilbao v Manchester United,W,0-3Agg: 5-6,European Cup
09 Feb 1957,Manchester United v Arsenal,W,6-2,League Division One
16 Feb 1957,Manchester United v Everton,W,1-0,FA Cup
18 Feb 1957,Charlton Athletic v Manchester United,W,1-5,League Division One
23 Feb 1957,Manchester United v Blackpool,L,0-2,League Division One
02 Mar 1957,Bournemouth and Boscombe Athletic v Manchester United,W,1-2,FA Cup
06 Mar 1957,Everton v Manchester United,W,1-2,League Division One
09 Mar 1957,Manchester United v Aston Villa,D,1-1,League Division One
16 Mar 1957,Wolverhampton Wanderers v Manchester United,D,1-1,League Division One
23 Mar 1957,Manchester United v Birmingham City,W,2-0,FA Cup
25 Mar 1957,Manchester United v Bolton Wanderers,L,0-2,League Division One
30 Mar 1957,Leeds United v Manchester United,W,1-2,League Division One
06 Apr 1957,Manchester United v Tottenham Hotspur,D,0-0,League Division One
11 Apr 1957,Real Madrid v Manchester United,L,3-1,European Cup
13 Apr 1957,Luton Town v Manchester United,W,0-2,League Division One
19 Apr 1957,Burnley v Manchester United,W,1-3,League Division One
20 Apr 1957,Manchester United v Sunderland,W,4-0,League Division One
22 Apr 1957,Manchester United v Burnley,W,2-0,League Division One
25 Apr 1957,Manchester United v Real Madrid,D,2-2Agg: 3-5,European Cup
27 Apr 1957,Cardiff City v Manchester United,W,2-3,League Division One
29 Apr 1957,Manchester United v West Bromwich Albion,D,1-1,League Division One
04 May 1957,Aston Villa v Manchester United,L,2-1,FA Cup
