Date,Match,Result,Score,Competition
27 Aug 1932,Manchester United v Stoke City,L,0-2,League Division Two
29 Aug 1932,Charlton Athletic v Manchester United,W,0-1,League Division Two
03 Sep 1932,Southampton v Manchester United,L,4-2,League Division Two
07 Sep 1932,Manchester United v Charlton Athletic,D,1-1,League Division Two
10 Sep 1932,Tottenham Hotspur v Manchester United,L,6-1,League Division Two
17 Sep 1932,Manchester United v Grimsby Town,D,1-1,League Division Two
24 Sep 1932,Oldham Athletic v Manchester United,D,1-1,League Division Two
01 Oct 1932,Manchester United v Preston North End,D,0-0,League Division Two
08 Oct 1932,Burnley v Manchester United,W,2-3,League Division Two
15 Oct 1932,Manchester United v Bradford Park Avenue,W,2-1,League Division Two
22 Oct 1932,Manchester United v Millwall,W,7-1,League Division Two
29 Oct 1932,Port Vale v Manchester United,D,3-3,League Division Two
05 Nov 1932,Manchester United v Notts County,W,2-0,League Division Two
12 Nov 1932,Bury v Manchester United,D,2-2,League Division Two
19 Nov 1932,Manchester United v Fulham,W,4-3,League Division Two
26 Nov 1932,Chesterfield v Manchester United,D,1-1,League Division Two
03 Dec 1932,Manchester United v Bradford City,L,0-1,League Division Two
10 Dec 1932,West Ham United v Manchester United,L,3-1,League Division Two
17 Dec 1932,Manchester United v Lincoln City,W,4-1,League Division Two
24 Dec 1932,Swansea Town v Manchester United,L,2-1,League Division Two
26 Dec 1932,Plymouth Argyle v Manchester United,W,2-3,League Division Two
31 Dec 1932,Stoke City v Manchester United,D,0-0,League Division Two
02 Jan 1933,Manchester United v Plymouth Argyle,W,4-0,League Division Two
07 Jan 1933,Manchester United v Southampton,L,1-2,League Division Two
14 Jan 1933,Manchester United v Middlesbrough,L,1-4,FA Cup
21 Jan 1933,Manchester United v Tottenham Hotspur,W,2-1,League Division Two
31 Jan 1933,Grimsby Town v Manchester United,D,1-1,League Division Two
04 Feb 1933,Manchester United v Oldham Athletic,W,2-0,League Division Two
11 Feb 1933,Preston North End v Manchester United,D,3-3,League Division Two
22 Feb 1933,Manchester United v Burnley,W,2-1,League Division Two
04 Mar 1933,Millwall v Manchester United,L,2-0,League Division Two
11 Mar 1933,Manchester United v Port Vale,D,1-1,League Division Two
18 Mar 1933,Notts County v Manchester United,L,1-0,League Division Two
25 Mar 1933,Manchester United v Bury,L,1-3,League Division Two
01 Apr 1933,Fulham v Manchester United,L,3-1,League Division Two
05 Apr 1933,Bradford Park Avenue v Manchester United,D,1-1,League Division Two
08 Apr 1933,Manchester United v Chesterfield,W,2-1,League Division Two
14 Apr 1933,Nottingham Forest v Manchester United,L,3-2,League Division Two
15 Apr 1933,Bradford City v Manchester United,W,1-2,League Division Two
17 Apr 1933,Manchester United v Nottingham Forest,W,2-1,League Division Two
22 Apr 1933,Manchester United v West Ham United,L,1-2,League Division Two
29 Apr 1933,Lincoln City v Manchester United,L,3-2,League Division Two
06 May 1933,Manchester United v Swansea Town,D,1-1,League Division Two
