Date,Match,Result,Score,Competition
25 Aug 1923,Bristol City v Manchester United,W,1-2,League Division Two
27 Aug 1923,Manchester United v Southampton,W,1-0,League Division Two
01 Sep 1923,Manchester United v Bristol City,W,2-1,League Division Two
03 Sep 1923,Southampton v Manchester United,D,0-0,League Division Two
08 Sep 1923,Bury v Manchester United,L,2-0,League Division Two
15 Sep 1923,Manchester United v Bury,L,0-1,League Division Two
22 Sep 1923,South Shields AFC v Manchester United,L,1-0,League Division Two
29 Sep 1923,Manchester United v South Shields AFC,D,1-1,League Division Two
06 Oct 1923,Oldham Athletic v Manchester United,L,3-2,League Division Two
13 Oct 1923,Manchester United v Oldham Athletic,W,2-0,League Division Two
20 Oct 1923,Manchester United v Stockport County,W,3-0,League Division Two
27 Oct 1923,Stockport County v Manchester United,L,3-2,League Division Two
03 Nov 1923,Leicester City v Manchester United,D,2-2,League Division Two
10 Nov 1923,Manchester United v Leicester City,W,3-0,League Division Two
17 Nov 1923,Coventry City v Manchester United,D,1-1,League Division Two
01 Dec 1923,Leeds United v Manchester United,D,0-0,League Division Two
08 Dec 1923,Manchester United v Leeds United,W,3-1,League Division Two
15 Dec 1923,Port Vale v Manchester United,W,0-1,League Division Two
22 Dec 1923,Manchester United v Port Vale,W,5-0,League Division Two
25 Dec 1923,Manchester United v Barnsley,L,1-2,League Division Two
26 Dec 1923,Barnsley v Manchester United,L,1-0,League Division Two
29 Dec 1923,Bradford City v Manchester United,D,0-0,League Division Two
02 Jan 1924,Manchester United v Coventry City,L,1-2,League Division Two
05 Jan 1924,Manchester United v Bradford City,W,3-0,League Division Two
12 Jan 1924,Manchester United v Plymouth Argyle,W,1-0,FA Cup
19 Jan 1924,Fulham v Manchester United,L,3-1,League Division Two
26 Jan 1924,Manchester United v Fulham,D,0-0,League Division Two
02 Feb 1924,Manchester United v Huddersfield Town,L,0-3,FA Cup
06 Feb 1924,Blackpool v Manchester United,L,1-0,League Division Two
09 Feb 1924,Manchester United v Blackpool,D,0-0,League Division Two
16 Feb 1924,Derby County v Manchester United,L,3-0,League Division Two
23 Feb 1924,Manchester United v Derby County,D,0-0,League Division Two
01 Mar 1924,Nelson v Manchester United,W,0-2,League Division Two
08 Mar 1924,Manchester United v Nelson,L,0-1,League Division Two
15 Mar 1924,Manchester United v Hull City,D,1-1,League Division Two
22 Mar 1924,Hull City v Manchester United,D,1-1,League Division Two
29 Mar 1924,Manchester United v Stoke,D,2-2,League Division Two
05 Apr 1924,Stoke v Manchester United,L,3-0,League Division Two
12 Apr 1924,Manchester United v Crystal Palace,W,5-1,League Division Two
18 Apr 1924,Leyton Orient v Manchester United,L,1-0,League Division Two
19 Apr 1924,Crystal Palace v Manchester United,D,1-1,League Division Two
21 Apr 1924,Manchester United v Leyton Orient,D,2-2,League Division Two
26 Apr 1924,Manchester United v Sheffield Wednesday,W,2-0,League Division Two
03 May 1924,Sheffield Wednesday v Manchester United,L,2-0,League Division Two
