Date,Match,Result,Score,Competition
30 Aug 1919,Derby County v Manchester United,D,1-1,League Division One
01 Sep 1919,Manchester United v Sheffield Wednesday,D,0-0,League Division One
06 Sep 1919,Manchester United v Derby County,L,0-2,League Division One
08 Sep 1919,Sheffield Wednesday v Manchester United,W,1-3,League Division One
13 Sep 1919,Preston North End v Manchester United,W,2-3,League Division One
20 Sep 1919,Manchester United v Preston North End,W,5-1,League Division One
27 Sep 1919,Middlesbrough v Manchester United,D,1-1,League Division One
04 Oct 1919,Manchester United v Middlesbrough,D,1-1,League Division One
11 Oct 1919,Manchester City v Manchester United,D,3-3,League Division One
18 Oct 1919,Manchester United v Manchester City,W,1-0,League Division One
25 Oct 1919,Sheffield United v Manchester United,D,2-2,League Division One
01 Nov 1919,Manchester United v Sheffield United,W,3-0,League Division One
08 Nov 1919,Burnley v Manchester United,L,2-1,League Division One
15 Nov 1919,Manchester United v Burnley,L,0-1,League Division One
22 Nov 1919,Oldham Athletic v Manchester United,W,0-3,League Division One
06 Dec 1919,Aston Villa v Manchester United,L,2-0,League Division One
13 Dec 1919,Manchester United v Aston Villa,L,1-2,League Division One
20 Dec 1919,Manchester United v Newcastle United,W,2-1,League Division One
26 Dec 1919,Manchester United v Liverpool,D,0-0,League Division One
27 Dec 1919,Newcastle United v Manchester United,L,2-1,League Division One
01 Jan 1920,Liverpool v Manchester United,D,0-0,League Division One
03 Jan 1920,Manchester United v Chelsea,L,0-2,League Division One
10 Jan 1920,Port Vale v Manchester United,W,1-2,FA Cup
17 Jan 1920,Chelsea v Manchester United,L,1-0,League Division One
24 Jan 1920,West Bromwich Albion v Manchester United,L,2-1,League Division One
31 Jan 1920,Manchester United v Aston Villa,L,1-2,FA Cup
07 Feb 1920,Sunderland v Manchester United,L,3-0,League Division One
11 Feb 1920,Manchester United v Oldham Athletic,D,1-1,League Division One
14 Feb 1920,Manchester United v Sunderland,W,2-0,League Division One
21 Feb 1920,Arsenal v Manchester United,W,0-3,League Division One
25 Feb 1920,Manchester United v West Bromwich Albion,L,1-2,League Division One
28 Feb 1920,Manchester United v Arsenal,L,0-1,League Division One
06 Mar 1920,Manchester United v Everton,W,1-0,League Division One
13 Mar 1920,Everton v Manchester United,D,0-0,League Division One
20 Mar 1920,Manchester United v Bradford City,D,0-0,League Division One
27 Mar 1920,Bradford City v Manchester United,L,2-1,League Division One
02 Apr 1920,Manchester United v Bradford Park Avenue,L,0-1,League Division One
03 Apr 1920,Manchester United v Bolton Wanderers,D,1-1,League Division One
06 Apr 1920,Bradford Park Avenue v Manchester United,W,1-4,League Division One
10 Apr 1920,Bolton Wanderers v Manchester United,W,3-5,League Division One
17 Apr 1920,Manchester United v Blackburn Rovers,D,1-1,League Division One
24 Apr 1920,Blackburn Rovers v Manchester United,L,5-0,League Division One
26 Apr 1920,Manchester United v Notts County,D,0-0,League Division One
01 May 1920,Notts County v Manchester United,W,0-2,League Division One
