Date,Match,Result,Score,Competition
29 Aug 1931,Bradford Park Avenue v Manchester United,L,3-1,League Division Two
02 Sep 1931,Manchester United v Southampton,L,2-3,League Division Two
05 Sep 1931,Manchester United v Swansea Town,W,2-1,League Division Two
07 Sep 1931,Stoke City v Manchester United,L,3-0,League Division Two
12 Sep 1931,Manchester United v Tottenham Hotspur,D,1-1,League Division Two
16 Sep 1931,Manchester United v Stoke City,D,1-1,League Division Two
19 Sep 1931,Nottingham Forest v Manchester United,L,2-1,League Division Two
26 Sep 1931,Manchester United v Chesterfield,W,3-1,League Division Two
03 Oct 1931,Burnley v Manchester United,L,2-0,League Division Two
10 Oct 1931,Manchester United v Preston North End,W,3-2,League Division Two
17 Oct 1931,Barnsley v Manchester United,D,0-0,League Division Two
24 Oct 1931,Manchester United v Notts County,D,3-3,League Division Two
31 Oct 1931,Plymouth Argyle v Manchester United,L,3-1,League Division Two
07 Nov 1931,Manchester United v Leeds United,L,2-5,League Division Two
14 Nov 1931,Oldham Athletic v Manchester United,W,1-5,League Division Two
21 Nov 1931,Manchester United v Bury,L,1-2,League Division Two
28 Nov 1931,Port Vale v Manchester United,W,1-2,League Division Two
05 Dec 1931,Manchester United v Millwall,W,2-0,League Division Two
12 Dec 1931,Bradford City v Manchester United,L,4-3,League Division Two
19 Dec 1931,Manchester United v Bristol City,L,0-1,League Division Two
25 Dec 1931,Manchester United v Wolverhampton Wanderers,W,3-2,League Division Two
26 Dec 1931,Wolverhampton Wanderers v Manchester United,L,7-0,League Division Two
02 Jan 1932,Manchester United v Bradford Park Avenue,L,0-2,League Division Two
09 Jan 1932,Plymouth Argyle v Manchester United,L,4-1,FA Cup
16 Jan 1932,Swansea Town v Manchester United,L,3-1,League Division Two
23 Jan 1932,Tottenham Hotspur v Manchester United,L,4-1,League Division Two
30 Jan 1932,Manchester United v Nottingham Forest,W,3-2,League Division Two
06 Feb 1932,Chesterfield v Manchester United,W,1-3,League Division Two
17 Feb 1932,Manchester United v Burnley,W,5-1,League Division Two
20 Feb 1932,Preston North End v Manchester United,D,0-0,League Division Two
27 Feb 1932,Manchester United v Barnsley,W,3-0,League Division Two
05 Mar 1932,Notts County v Manchester United,W,1-2,League Division Two
12 Mar 1932,Manchester United v Plymouth Argyle,W,2-1,League Division Two
19 Mar 1932,Leeds United v Manchester United,W,1-4,League Division Two
25 Mar 1932,Manchester United v Charlton Athletic,L,0-2,League Division Two
26 Mar 1932,Manchester United v Oldham Athletic,W,5-1,League Division Two
28 Mar 1932,Charlton Athletic v Manchester United,L,1-0,League Division Two
02 Apr 1932,Bury v Manchester United,D,0-0,League Division Two
09 Apr 1932,Manchester United v Port Vale,W,2-0,League Division Two
16 Apr 1932,Millwall v Manchester United,D,1-1,League Division Two
23 Apr 1932,Manchester United v Bradford City,W,1-0,League Division Two
30 Apr 1932,Bristol City v Manchester United,L,2-1,League Division Two
07 May 1932,Southampton v Manchester United,D,1-1,League Division Two
