Date,Match,Result,Score,Competition
31 Aug 1929,Newcastle United v Manchester United,L,4-1,League Division One
02 Sep 1929,Leicester City v Manchester United,L,4-1,League Division One
07 Sep 1929,Manchester United v Blackburn Rovers,W,1-0,League Division One
11 Sep 1929,Manchester United v Leicester City,W,2-1,League Division One
14 Sep 1929,Middlesbrough v Manchester United,W,2-3,League Division One
21 Sep 1929,Manchester United v Liverpool,L,1-2,League Division One
28 Sep 1929,West Ham United v Manchester United,L,2-1,League Division One
05 Oct 1929,Manchester United v Manchester City,L,1-3,League Division One
07 Oct 1929,Sheffield United v Manchester United,L,3-1,League Division One
12 Oct 1929,Manchester United v Grimsby Town,L,2-5,League Division One
19 Oct 1929,Portsmouth v Manchester United,L,3-0,League Division One
26 Oct 1929,Manchester United v Arsenal,W,1-0,League Division One
02 Nov 1929,Aston Villa v Manchester United,L,1-0,League Division One
09 Nov 1929,Manchester United v Derby County,W,3-2,League Division One
16 Nov 1929,Sheffield Wednesday v Manchester United,L,7-2,League Division One
23 Nov 1929,Manchester United v Burnley,W,1-0,League Division One
30 Nov 1929,Sunderland v Manchester United,W,2-4,League Division One
07 Dec 1929,Manchester United v Bolton Wanderers,D,1-1,League Division One
14 Dec 1929,Everton v Manchester United,D,0-0,League Division One
21 Dec 1929,Manchester United v Leeds United,W,3-1,League Division One
25 Dec 1929,Manchester United v Birmingham City,D,0-0,League Division One
26 Dec 1929,Birmingham City v Manchester United,W,0-1,League Division One
28 Dec 1929,Manchester United v Newcastle United,W,5-0,League Division One
04 Jan 1930,Blackburn Rovers v Manchester United,L,5-4,League Division One
11 Jan 1930,Manchester United v Swindon Town,L,0-2,FA Cup
18 Jan 1930,Manchester United v Middlesbrough,L,0-3,League Division One
25 Jan 1930,Liverpool v Manchester United,L,1-0,League Division One
01 Feb 1930,Manchester United v West Ham United,W,4-2,League Division One
08 Feb 1930,Manchester City v Manchester United,W,0-1,League Division One
15 Feb 1930,Grimsby Town v Manchester United,D,2-2,League Division One
22 Feb 1930,Manchester United v Portsmouth,W,3-0,League Division One
01 Mar 1930,Bolton Wanderers v Manchester United,L,4-1,League Division One
08 Mar 1930,Manchester United v Aston Villa,L,2-3,League Division One
12 Mar 1930,Arsenal v Manchester United,L,4-2,League Division One
15 Mar 1930,Derby County v Manchester United,D,1-1,League Division One
29 Mar 1930,Burnley v Manchester United,L,4-0,League Division One
05 Apr 1930,Manchester United v Sunderland,W,2-1,League Division One
14 Apr 1930,Manchester United v Sheffield Wednesday,D,2-2,League Division One
18 Apr 1930,Manchester United v Huddersfield Town,W,1-0,League Division One
19 Apr 1930,Manchester United v Everton,D,3-3,League Division One
22 Apr 1930,Huddersfield Town v Manchester United,D,2-2,League Division One
26 Apr 1930,Leeds United v Manchester United,L,3-1,League Division One
03 May 1930,Manchester United v Sheffield United,L,1-5,League Division One
