Date,Match,Result,Score,Competition
12 Aug 1972,Manchester United v Ipswich Town,L,1-2,League Division One
15 Aug 1972,Liverpool v Manchester United,L,2-0,League Division One
19 Aug 1972,Everton v Manchester United,L,2-0,League Division One
23 Aug 1972,Manchester United v Leicester City,D,1-1,League Division One
26 Aug 1972,Manchester United v Arsenal,D,0-0,League Division One
30 Aug 1972,Manchester United v Chelsea,D,0-0,League Division One
02 Sep 1972,West Ham United v Manchester United,D,2-2,League Division One
06 Sep 1972,Oxford United v Manchester United,D,2-2,League Cup
09 Sep 1972,Manchester United v Coventry City,L,0-1,League Division One
12 Sep 1972,Manchester United v Oxford United,W,3-1,League Cup
16 Sep 1972,Wolverhampton Wanderers v Manchester United,L,2-0,League Division One
23 Sep 1972,Manchester United v Derby County,W,3-0,League Division One
30 Sep 1972,Sheffield United v Manchester United,L,1-0,League Division One
03 Oct 1972,Bristol Rovers v Manchester United,D,1-1,League Cup
07 Oct 1972,West Bromwich Albion v Manchester United,D,2-2,League Division One
11 Oct 1972,Manchester United v Bristol Rovers,L,1-2,League Cup
14 Oct 1972,Manchester United v Birmingham City,W,1-0,League Division One
21 Oct 1972,Newcastle United v Manchester United,L,2-1,League Division One
28 Oct 1972,Manchester United v Tottenham Hotspur,L,1-4,League Division One
04 Nov 1972,Leicester City v Manchester United,D,2-2,League Division One
11 Nov 1972,Manchester United v Liverpool,W,2-0,League Division One
18 Nov 1972,Manchester City v Manchester United,L,3-0,League Division One
25 Nov 1972,Manchester United v Southampton,W,2-1,League Division One
02 Dec 1972,Norwich City v Manchester United,W,0-2,League Division One
09 Dec 1972,Manchester United v Stoke City,L,0-2,League Division One
16 Dec 1972,Crystal Palace v Manchester United,L,5-0,League Division One
23 Dec 1972,Manchester United v Leeds United,D,1-1,League Division One
26 Dec 1972,Derby County v Manchester United,L,3-1,League Division One
06 Jan 1973,Arsenal v Manchester United,L,3-1,League Division One
13 Jan 1973,Wolverhampton Wanderers v Manchester United,L,1-0,FA Cup
20 Jan 1973,Manchester United v West Ham United,D,2-2,League Division One
24 Jan 1973,Manchester United v Everton,D,0-0,League Division One
27 Jan 1973,Coventry City v Manchester United,D,1-1,League Division One
10 Feb 1973,Manchester United v Wolverhampton Wanderers,W,2-1,League Division One
14 Feb 1973,Manchester United v Fiorentina,D,1-1,Anglo-Italian Cup
17 Feb 1973,Ipswich Town v Manchester United,L,4-1,League Division One
03 Mar 1973,Manchester United v West Bromwich Albion,W,2-1,League Division One
10 Mar 1973,Birmingham City v Manchester United,L,3-1,League Division One
17 Mar 1973,Manchester United v Newcastle United,W,2-1,League Division One
21 Mar 1973,Lazio v Manchester United,D,0-0,Anglo-Italian Cup
24 Mar 1973,Tottenham Hotspur v Manchester United,D,1-1,League Division One
31 Mar 1973,Southampton v Manchester United,W,0-2,League Division One
04 Apr 1973,Manchester United v Bari,W,3-1,Anglo-Italian Cup
07 Apr 1973,Manchester United v Norwich City,W,1-0,League Division One
11 Apr 1973,Manchester United v Crystal Palace,W,2-0,League Division One
14 Apr 1973,Stoke City v Manchester United,D,2-2,League Division One
18 Apr 1973,Leeds United v Manchester United,W,0-1,League Division One
21 Apr 1973,Manchester United v Manchester City,D,0-0,League Division One
23 Apr 1973,Manchester United v Sheffield United,L,1-2,League Division One
28 Apr 1973,Chelsea v Manchester United,L,1-0,League Division One
02 May 1973,Hellas Verona v Manchester United,W,1-4,Anglo-Italian Cup
