Date,Match,Result,Score,Competition
19 Aug 1950,Manchester United v Fulham,W,1-0,League Division One
23 Aug 1950,Liverpool v Manchester United,L,2-1,League Division One
26 Aug 1950,Bolton Wanderers v Manchester United,L,1-0,League Division One
30 Aug 1950,Manchester United v Liverpool,W,1-0,League Division One
02 Sep 1950,Manchester United v Blackpool,W,1-0,League Division One
04 Sep 1950,Aston Villa v Manchester United,W,1-3,League Division One
09 Sep 1950,Tottenham Hotspur v Manchester United,L,1-0,League Division One
13 Sep 1950,Manchester United v Aston Villa,D,0-0,League Division One
16 Sep 1950,Manchester United v Charlton Athletic,W,3-0,League Division One
23 Sep 1950,Middlesbrough v Manchester United,W,1-2,League Division One
30 Sep 1950,Wolverhampton Wanderers v Manchester United,D,0-0,League Division One
07 Oct 1950,Manchester United v Sheffield Wednesday,W,3-1,League Division One
14 Oct 1950,Arsenal v Manchester United,L,3-0,League Division One
21 Oct 1950,Manchester United v Portsmouth,D,0-0,League Division One
28 Oct 1950,Everton v Manchester United,W,1-4,League Division One
04 Nov 1950,Manchester United v Burnley,D,1-1,League Division One
11 Nov 1950,Chelsea v Manchester United,L,1-0,League Division One
18 Nov 1950,Manchester United v Stoke City,D,0-0,League Division One
25 Nov 1950,West Bromwich Albion v Manchester United,W,0-1,League Division One
02 Dec 1950,Manchester United v Newcastle United,L,1-2,League Division One
09 Dec 1950,Huddersfield Town v Manchester United,W,2-3,League Division One
16 Dec 1950,Fulham v Manchester United,D,2-2,League Division One
23 Dec 1950,Manchester United v Bolton Wanderers,L,2-3,League Division One
25 Dec 1950,Sunderland v Manchester United,L,2-1,League Division One
26 Dec 1950,Manchester United v Sunderland,L,3-5,League Division One
06 Jan 1951,Manchester United v Oldham Athletic,W,4-1,FA Cup
13 Jan 1951,Manchester United v Tottenham Hotspur,W,2-1,League Division One
20 Jan 1951,Charlton Athletic v Manchester United,W,1-2,League Division One
27 Jan 1951,Manchester United v Leeds United,W,4-0,FA Cup
03 Feb 1951,Manchester United v Middlesbrough,W,1-0,League Division One
10 Feb 1951,Manchester United v Arsenal,W,1-0,FA Cup
17 Feb 1951,Manchester United v Wolverhampton Wanderers,W,2-1,League Division One
24 Feb 1951,Birmingham City v Manchester United,L,1-0,FA Cup
26 Feb 1951,Sheffield Wednesday v Manchester United,W,0-4,League Division One
03 Mar 1951,Manchester United v Arsenal,W,3-1,League Division One
10 Mar 1951,Portsmouth v Manchester United,D,0-0,League Division One
17 Mar 1951,Manchester United v Everton,W,3-0,League Division One
23 Mar 1951,Manchester United v Derby County,W,2-0,League Division One
24 Mar 1951,Burnley v Manchester United,W,1-2,League Division One
26 Mar 1951,Derby County v Manchester United,W,2-4,League Division One
31 Mar 1951,Manchester United v Chelsea,W,4-1,League Division One
07 Apr 1951,Stoke City v Manchester United,L,2-0,League Division One
14 Apr 1951,Manchester United v West Bromwich Albion,W,3-0,League Division One
21 Apr 1951,Newcastle United v Manchester United,W,0-2,League Division One
28 Apr 1951,Manchester United v Huddersfield Town,W,6-0,League Division One
05 May 1951,Blackpool v Manchester United,D,1-1,League Division One
