Date,Match,Result,Score,Competition
29 Aug 1981,Coventry City v Manchester United,L,2-1,League Division One
31 Aug 1981,Manchester United v Nottingham Forest,D,0-0,League Division One
05 Sep 1981,Manchester United v Ipswich Town,L,1-2,League Division One
12 Sep 1981,Aston Villa v Manchester United,D,1-1,League Division One
19 Sep 1981,Manchester United v Swansea City,W,1-0,League Division One
22 Sep 1981,Middlesbrough v Manchester United,W,0-2,League Division One
26 Sep 1981,Arsenal v Manchester United,D,0-0,League Division One
30 Sep 1981,Manchester United v Leeds United,W,1-0,League Division One
03 Oct 1981,Manchester United v Wolverhampton Wanderers,W,5-0,League Division One
07 Oct 1981,Tottenham Hotspur v Manchester United,L,1-0,League Cup
10 Oct 1981,Manchester City v Manchester United,D,0-0,League Division One
17 Oct 1981,Manchester United v Birmingham City,D,1-1,League Division One
21 Oct 1981,Manchester United v Middlesbrough,W,1-0,League Division One
24 Oct 1981,Liverpool v Manchester United,W,1-2,League Division One
28 Oct 1981,Manchester United v Tottenham Hotspur,L,0-1Agg: 0-2,League Cup
31 Oct 1981,Manchester United v Notts County,W,2-1,League Division One
07 Nov 1981,Sunderland v Manchester United,W,1-5,League Division One
21 Nov 1981,Tottenham Hotspur v Manchester United,L,3-1,League Division One
28 Nov 1981,Manchester United v Brighton and Hove Albion,W,2-0,League Division One
05 Dec 1981,Southampton v Manchester United,L,3-2,League Division One
02 Jan 1982,Watford v Manchester United,L,1-0,FA Cup
06 Jan 1982,Manchester United v Everton,D,1-1,League Division One
23 Jan 1982,Stoke City v Manchester United,W,0-3,League Division One
27 Jan 1982,Manchester United v West Ham United,W,1-0,League Division One
30 Jan 1982,Swansea City v Manchester United,L,2-0,League Division One
06 Feb 1982,Manchester United v Aston Villa,W,4-1,League Division One
13 Feb 1982,Wolverhampton Wanderers v Manchester United,W,0-1,League Division One
20 Feb 1982,Manchester United v Arsenal,D,0-0,League Division One
27 Feb 1982,Manchester United v Manchester City,D,1-1,League Division One
06 Mar 1982,Birmingham City v Manchester United,W,0-1,League Division One
17 Mar 1982,Manchester United v Coventry City,L,0-1,League Division One
20 Mar 1982,Notts County v Manchester United,W,1-3,League Division One
27 Mar 1982,Manchester United v Sunderland,D,0-0,League Division One
03 Apr 1982,Leeds United v Manchester United,D,0-0,League Division One
07 Apr 1982,Manchester United v Liverpool,L,0-1,League Division One
10 Apr 1982,Everton v Manchester United,D,3-3,League Division One
12 Apr 1982,Manchester United v West Bromwich Albion,W,1-0,League Division One
17 Apr 1982,Manchester United v Tottenham Hotspur,W,2-0,League Division One
20 Apr 1982,Ipswich Town v Manchester United,L,2-1,League Division One
24 Apr 1982,Brighton and Hove Albion v Manchester United,W,0-1,League Division One
01 May 1982,Manchester United v Southampton,W,1-0,League Division One
05 May 1982,Nottingham Forest v Manchester United,W,0-1,League Division One
08 May 1982,West Ham United v Manchester United,D,1-1,League Division One
12 May 1982,West Bromwich Albion v Manchester United,W,0-3,League Division One
15 May 1982,Manchester United v Stoke City,W,2-0,League Division One
