Date,Match,Result,Score,Competition
10 Aug 2008,Manchester United v Portsmouth,W,0-0 (3-1),FA Community Shield
17 Aug 2008,Manchester United v Newcastle United,D,1-1,Premier League
25 Aug 2008,Portsmouth v Manchester United,W,0-1,Premier League
29 Aug 2008,Manchester United v Zenit St Petersburg,L,1-2,UEFA Super Cup
13 Sep 2008,Liverpool v Manchester United,L,2-1,Premier League
17 Sep 2008,Manchester United v Villarreal,D,0-0,UEFA Champions League
21 Sep 2008,Chelsea v Manchester United,D,1-1,Premier League
23 Sep 2008,Manchester United v Middlesbrough,W,3-1,League Cup
27 Sep 2008,Manchester United v Bolton Wanderers,W,2-0,Premier League
30 Sep 2008,Aab Aalborg v Manchester United,W,0-3,UEFA Champions League
04 Oct 2008,Blackburn Rovers v Manchester United,W,0-2,Premier League
18 Oct 2008,Manchester United v West Bromwich Albion,W,4-0,Premier League
21 Oct 2008,Manchester United v Celtic,W,3-0,UEFA Champions League
25 Oct 2008,Everton v Manchester United,D,1-1,Premier League
29 Oct 2008,Manchester United v West Ham United,W,2-0,Premier League
01 Nov 2008,Manchester United v Hull City,W,4-3,Premier League
05 Nov 2008,Celtic v Manchester United,D,1-1,UEFA Champions League
08 Nov 2008,Arsenal v Manchester United,L,2-1,Premier League
11 Nov 2008,Manchester United v Queens Park Rangers,W,1-0,League Cup
15 Nov 2008,Manchester United v Stoke City,W,5-0,Premier League
22 Nov 2008,Aston Villa v Manchester United,D,0-0,Premier League
25 Nov 2008,Villarreal v Manchester United,D,0-0,UEFA Champions League
30 Nov 2008,Manchester City v Manchester United,W,0-1,Premier League
03 Dec 2008,Manchester United v Blackburn Rovers,W,5-3,League Cup
06 Dec 2008,Manchester United v Sunderland,W,1-0,Premier League
10 Dec 2008,Manchester United v Aab Aalborg,D,2-2,UEFA Champions League
13 Dec 2008,Tottenham Hotspur v Manchester United,D,0-0,Premier League
18 Dec 2008,Gamba Osaka v Manchester United,W,3-5,FIFA Club World Cup
21 Dec 2008,Liga de Quito v Manchester United,W,0-1,FIFA Club World Cup
26 Dec 2008,Stoke City v Manchester United,W,0-1,Premier League
29 Dec 2008,Manchester United v Middlesbrough,W,1-0,Premier League
04 Jan 2009,Southampton v Manchester United,W,0-3,FA Cup
07 Jan 2009,Derby County v Manchester United,L,1-0,League Cup
11 Jan 2009,Manchester United v Chelsea,W,3-0,Premier League
14 Jan 2009,Manchester United v Wigan Athletic,W,1-0,Premier League
17 Jan 2009,Bolton Wanderers v Manchester United,W,0-1,Premier League
20 Jan 2009,Manchester United v Derby County,W,4-2Agg: 4-3,League Cup
24 Jan 2009,Manchester United v Tottenham Hotspur,W,2-1,FA Cup
27 Jan 2009,West Bromwich Albion v Manchester United,W,0-5,Premier League
31 Jan 2009,Manchester United v Everton,W,1-0,Premier League
08 Feb 2009,West Ham United v Manchester United,W,0-1,Premier League
15 Feb 2009,Derby County v Manchester United,W,1-4,FA Cup
18 Feb 2009,Manchester United v Fulham,W,3-0,Premier League
21 Feb 2009,Manchester United v Blackburn Rovers,W,2-1,Premier League
24 Feb 2009,Internazionale v Manchester United,D,0-0,UEFA Champions League
01 Mar 2009,Manchester United v Tottenham Hotspur,W,0-0 (4-1),League Cup
04 Mar 2009,Newcastle United v Manchester United,W,1-2,Premier League
07 Mar 2009,Fulham v Manchester United,W,0-4,FA Cup
11 Mar 2009,Manchester United v Internazionale,W,2-0Agg: 2-0,UEFA Champions League
14 Mar 2009,Manchester United v Liverpool,L,1-4,Premier League
21 Mar 2009,Fulham v Manchester United,L,2-0,Premier League
05 Apr 2009,Manchester United v Aston Villa,W,3-2,Premier League
07 Apr 2009,Manchester United v FC Porto,D,2-2,UEFA Champions League
11 Apr 2009,Sunderland v Manchester United,W,1-2,Premier League
15 Apr 2009,FC Porto v Manchester United,W,0-1Agg: 2-3,UEFA Champions League
19 Apr 2009,Everton v Manchester United,L,0-0 (4-2),FA Cup
22 Apr 2009,Manchester United v Portsmouth,W,2-0,Premier League
25 Apr 2009,Manchester United v Tottenham Hotspur,W,5-2,Premier League
29 Apr 2009,Manchester United v Arsenal,W,1-0,UEFA Champions League
02 May 2009,Middlesbrough v Manchester United,W,0-2,Premier League
05 May 2009,Arsenal v Manchester United,W,1-3Agg: 1-4,UEFA Champions League
10 May 2009,Manchester United v Manchester City,W,2-0,Premier League
13 May 2009,Wigan Athletic v Manchester United,W,1-2,Premier League
16 May 2009,Manchester United v Arsenal,D,0-0,Premier League
24 May 2009,Hull City v Manchester United,W,0-1,Premier League
27 May 2009,Barcelona v Manchester United,L,2-0,UEFA Champions League
