Date,Match,Result,Score,Competition
10 Aug 1968,Manchester United v Everton,W,2-1,League Division One
14 Aug 1968,West Bromwich Albion v Manchester United,L,3-1,League Division One
17 Aug 1968,Manchester City v Manchester United,D,0-0,League Division One
21 Aug 1968,Manchester United v Coventry City,W,1-0,League Division One
24 Aug 1968,Manchester United v Chelsea,L,0-4,League Division One
28 Aug 1968,Manchester United v Tottenham Hotspur,W,3-1,League Division One
31 Aug 1968,Sheffield Wednesday v Manchester United,L,5-4,League Division One
07 Sep 1968,Manchester United v West Ham United,D,1-1,League Division One
14 Sep 1968,Burnley v Manchester United,L,1-0,League Division One
18 Sep 1968,Waterford v Manchester United,W,1-3,European Cup
21 Sep 1968,Manchester United v Newcastle United,W,3-1,League Division One
25 Sep 1968,Estudiantes de La Plata v Manchester United,L,1-0,Intercontinental Cup
02 Oct 1968,Manchester United v Waterford,W,7-1Agg: 10-2,European Cup
05 Oct 1968,Manchester United v Arsenal,D,0-0,League Division One
09 Oct 1968,Tottenham Hotspur v Manchester United,D,2-2,League Division One
12 Oct 1968,Liverpool v Manchester United,L,2-0,League Division One
16 Oct 1968,Manchester United v Estudiantes de La Plata,D,1-1Agg: 1-2,Intercontinental Cup
19 Oct 1968,Manchester United v Southampton,L,1-2,League Division One
26 Oct 1968,Queens Park Rangers v Manchester United,W,2-3,League Division One
02 Nov 1968,Manchester United v Leeds United,D,0-0,League Division One
09 Nov 1968,Sunderland v Manchester United,D,1-1,League Division One
13 Nov 1968,Manchester United v Anderlecht,W,3-0,European Cup
16 Nov 1968,Manchester United v Ipswich Town,D,0-0,League Division One
23 Nov 1968,Stoke City v Manchester United,D,0-0,League Division One
27 Nov 1968,Anderlecht v Manchester United,L,3-1Agg: 3-4,European Cup
30 Nov 1968,Manchester United v Wolverhampton Wanderers,W,2-0,League Division One
07 Dec 1968,Leicester City v Manchester United,L,2-1,League Division One
14 Dec 1968,Manchester United v Liverpool,W,1-0,League Division One
21 Dec 1968,Southampton v Manchester United,L,2-0,League Division One
26 Dec 1968,Arsenal v Manchester United,L,3-0,League Division One
04 Jan 1969,Exeter City v Manchester United,W,1-3,FA Cup
11 Jan 1969,Leeds United v Manchester United,L,2-1,League Division One
18 Jan 1969,Manchester United v Sunderland,W,4-1,League Division One
25 Jan 1969,Manchester United v Watford,D,1-1,FA Cup
01 Feb 1969,Ipswich Town v Manchester United,L,1-0,League Division One
03 Feb 1969,Watford v Manchester United,W,0-2,FA Cup
11 Feb 1969,Birmingham City v Manchester United,D,2-2,FA Cup
15 Feb 1969,Wolverhampton Wanderers v Manchester United,D,2-2,League Division One
24 Feb 1969,Manchester United v Birmingham City,W,6-2,FA Cup
26 Feb 1969,Manchester United v Rapid Wien,W,3-0,European Cup
01 Mar 1969,Manchester United v Everton,L,0-1,FA Cup
05 Mar 1969,Rapid Wien v Manchester United,D,0-0Agg: 0-3,European Cup
08 Mar 1969,Manchester United v Manchester City,L,0-1,League Division One
10 Mar 1969,Everton v Manchester United,D,0-0,League Division One
15 Mar 1969,Chelsea v Manchester United,L,3-2,League Division One
19 Mar 1969,Manchester United v Queens Park Rangers,W,8-1,League Division One
22 Mar 1969,Manchester United v Sheffield Wednesday,W,1-0,League Division One
24 Mar 1969,Manchester United v Stoke City,D,1-1,League Division One
29 Mar 1969,West Ham United v Manchester United,D,0-0,League Division One
31 Mar 1969,Nottingham Forest v Manchester United,W,0-1,League Division One
02 Apr 1969,Manchester United v West Bromwich Albion,W,2-1,League Division One
05 Apr 1969,Manchester United v Nottingham Forest,W,3-1,League Division One
08 Apr 1969,Coventry City v Manchester United,L,2-1,League Division One
12 Apr 1969,Newcastle United v Manchester United,L,2-0,League Division One
19 Apr 1969,Manchester United v Burnley,W,2-0,League Division One
23 Apr 1969,AC Milan v Manchester United,L,2-0,European Cup
15 May 1969,Manchester United v AC Milan,W,1-0Agg: 1-2,European Cup
17 May 1969,Manchester United v Leicester City,W,3-2,League Division One
