Date,Match,Result,Score,Competition
02 Sep 1912,Woolwich Arsenal v Manchester United,D,0-0,League Division One
07 Sep 1912,Manchester United v Manchester City,L,0-1,League Division One
14 Sep 1912,West Bromwich Albion v Manchester United,W,1-2,League Division One
21 Sep 1912,Manchester United v Everton,W,2-0,League Division One
28 Sep 1912,Sheffield Wednesday v Manchester United,D,3-3,League Division One
05 Oct 1912,Manchester United v Blackburn Rovers,D,1-1,League Division One
12 Oct 1912,Derby County v Manchester United,L,2-1,League Division One
19 Oct 1912,Manchester United v Tottenham Hotspur,W,2-0,League Division One
26 Oct 1912,Middlesbrough v Manchester United,L,3-2,League Division One
02 Nov 1912,Manchester United v Notts County,W,2-1,League Division One
09 Nov 1912,Sunderland v Manchester United,L,3-1,League Division One
16 Nov 1912,Aston Villa v Manchester United,L,4-2,League Division One
23 Nov 1912,Manchester United v Liverpool,W,3-1,League Division One
30 Nov 1912,Bolton Wanderers v Manchester United,L,2-1,League Division One
07 Dec 1912,Manchester United v Sheffield United,W,4-0,League Division One
14 Dec 1912,Newcastle United v Manchester United,W,1-3,League Division One
21 Dec 1912,Manchester United v Oldham Athletic,D,0-0,League Division One
25 Dec 1912,Chelsea v Manchester United,W,1-4,League Division One
26 Dec 1912,Manchester United v Chelsea,W,4-2,League Division One
28 Dec 1912,Manchester City v Manchester United,W,0-2,League Division One
01 Jan 1913,Manchester United v Bradford City,W,2-0,League Division One
04 Jan 1913,Manchester United v West Bromwich Albion,D,1-1,League Division One
11 Jan 1913,Manchester United v Coventry City,D,1-1,FA Cup
16 Jan 1913,Coventry City v Manchester United,W,1-2,FA Cup
18 Jan 1913,Everton v Manchester United,L,4-1,League Division One
25 Jan 1913,Manchester United v Sheffield Wednesday,W,2-0,League Division One
01 Feb 1913,Plymouth Argyle v Manchester United,W,0-2,FA Cup
08 Feb 1913,Blackburn Rovers v Manchester United,D,0-0,League Division One
15 Feb 1913,Manchester United v Derby County,W,4-0,League Division One
22 Feb 1913,Oldham Athletic v Manchester United,D,0-0,FA Cup
26 Feb 1913,Manchester United v Oldham Athletic,L,1-2,FA Cup
01 Mar 1913,Manchester United v Middlesbrough,L,2-3,League Division One
08 Mar 1913,Notts County v Manchester United,W,1-2,League Division One
15 Mar 1913,Manchester United v Sunderland,L,1-3,League Division One
21 Mar 1913,Manchester United v Woolwich Arsenal,W,2-0,League Division One
22 Mar 1913,Manchester United v Aston Villa,W,4-0,League Division One
25 Mar 1913,Bradford City v Manchester United,L,1-0,League Division One
29 Mar 1913,Liverpool v Manchester United,W,0-2,League Division One
31 Mar 1913,Tottenham Hotspur v Manchester United,D,1-1,League Division One
05 Apr 1913,Manchester United v Bolton Wanderers,W,2-1,League Division One
12 Apr 1913,Sheffield United v Manchester United,L,2-1,League Division One
19 Apr 1913,Manchester United v Newcastle United,W,3-0,League Division One
26 Apr 1913,Oldham Athletic v Manchester United,D,0-0,League Division One
