Date,Match,Result,Score,Competition
27 Aug 1988,Manchester United v Queens Park Rangers,D,0-0,League Division One
03 Sep 1988,Liverpool v Manchester United,L,1-0,League Division One
10 Sep 1988,Manchester United v Middlesbrough,W,1-0,League Division One
17 Sep 1988,Luton Town v Manchester United,W,0-2,League Division One
24 Sep 1988,Manchester United v West Ham United,W,2-0,League Division One
28 Sep 1988,Rotherham United v Manchester United,W,0-1,League Cup
01 Oct 1988,Tottenham Hotspur v Manchester United,D,2-2,League Division One
12 Oct 1988,Manchester United v Rotherham United,W,5-0Agg: 6-0,League Cup
22 Oct 1988,Wimbledon v Manchester United,D,1-1,League Division One
26 Oct 1988,Manchester United v Norwich City,L,1-2,League Division One
30 Oct 1988,Everton v Manchester United,D,1-1,League Division One
02 Nov 1988,Wimbledon v Manchester United,L,2-1,League Cup
05 Nov 1988,Manchester United v Aston Villa,D,1-1,League Division One
12 Nov 1988,Derby County v Manchester United,D,2-2,League Division One
19 Nov 1988,Manchester United v Southampton,D,2-2,League Division One
23 Nov 1988,Manchester United v Sheffield Wednesday,D,1-1,League Division One
27 Nov 1988,Newcastle United v Manchester United,D,0-0,League Division One
03 Dec 1988,Manchester United v Charlton Athletic,W,3-0,League Division One
10 Dec 1988,Coventry City v Manchester United,L,1-0,League Division One
17 Dec 1988,Arsenal v Manchester United,L,2-1,League Division One
26 Dec 1988,Manchester United v Nottingham Forest,W,2-0,League Division One
01 Jan 1989,Manchester United v Liverpool,W,3-1,League Division One
02 Jan 1989,Middlesbrough v Manchester United,L,1-0,League Division One
07 Jan 1989,Manchester United v Queens Park Rangers,D,0-0,FA Cup
11 Jan 1989,Queens Park Rangers v Manchester United,D,2-2,FA Cup
14 Jan 1989,Manchester United v Millwall,W,3-0,League Division One
21 Jan 1989,West Ham United v Manchester United,W,1-3,League Division One
23 Jan 1989,Manchester United v Queens Park Rangers,W,3-0,FA Cup
28 Jan 1989,Manchester United v Oxford United,W,4-0,FA Cup
05 Feb 1989,Manchester United v Tottenham Hotspur,W,1-0,League Division One
11 Feb 1989,Sheffield Wednesday v Manchester United,W,0-2,League Division One
18 Feb 1989,AFC Bournemouth v Manchester United,D,1-1,FA Cup
22 Feb 1989,Manchester United v AFC Bournemouth,W,1-0,FA Cup
25 Feb 1989,Norwich City v Manchester United,L,2-1,League Division One
12 Mar 1989,Aston Villa v Manchester United,D,0-0,League Division One
18 Mar 1989,Manchester United v Nottingham Forest,L,0-1,FA Cup
25 Mar 1989,Manchester United v Luton Town,W,2-0,League Division One
27 Mar 1989,Nottingham Forest v Manchester United,L,2-0,League Division One
02 Apr 1989,Manchester United v Arsenal,D,1-1,League Division One
08 Apr 1989,Millwall v Manchester United,D,0-0,League Division One
15 Apr 1989,Manchester United v Derby County,L,0-2,League Division One
22 Apr 1989,Charlton Athletic v Manchester United,L,1-0,League Division One
29 Apr 1989,Manchester United v Coventry City,L,0-1,League Division One
02 May 1989,Manchester United v Wimbledon,W,1-0,League Division One
06 May 1989,Southampton v Manchester United,L,2-1,League Division One
08 May 1989,Queens Park Rangers v Manchester United,L,3-2,League Division One
10 May 1989,Manchester United v Everton,L,1-2,League Division One
13 May 1989,Manchester United v Newcastle United,W,2-0,League Division One
